formulary_name,med_name_generic,med_action_dose_unit,volume_given,count
Calcium Gluconate 1 gm/10 mL inj ADD,calcium gluconate,Grams/Hour,,29686
Calcium chloride 5.1gm granules,calcium chloride,Not Recorded,none,1
Calcium gluconate 50mg/mL/NS neonate syringe,calcium gluconate in NS syringe,Not Recorded,none,168
Carbidopa-Levodopa 25/100 CR tab,carbidopa-levodopa cr 25/100,Not Recorded,,1
Carbidopa-Levodopa 25/100 tab,carbidopa-levodopa 25/100,Not Recorded,,1
Carbidopa/Entacapone/Levodopa 37.5 mg-200 mg-150 mg tabl,carbidopa/entacapone/levodopa 37.5/200/150,Not Recorded,none,1
Carboprost Trm 250 mcg/ 1 mL,carboprost,Not Recorded,,8
Carfilzomib 60 mg inj,carfilzomib,Not Recorded,none,19
Carmustine 100 mg inj,carmustine,Not Recorded,none,321
CeFAZOLIN 2 g/50 mL,ceFAZolin in iso-dex,Not Recorded,,90075
CeFAZOLIN 2 g/50 mL,ceFAZolin ivpb,Not Recorded,,104079
CeFAZolin 500mg (10gm vial),ceFAZolin,Not Recorded,none,3100
CeTUXimab 2 mg/mL 50 mL inj,ceTUXimab,Not Recorded,,3
CefEPIME 1 gm/D5W 50mL IVPB,cefepime in D5W,Not Recorded,,8193
CefEPIME 1 gm/ns 100ml,cefEPIME in NS,Not Recorded,,496
CefEPIME 20mg/mL neonate syringe,cefEPIME in syringe,Not Recorded,none,32
CefEPIME 2gm/D5W 50mL IVPB,cefEPIME in d5W,Not Recorded,,73715
CefTAZIDime 1gm IVPB,cefTAZIDime in ns,Not Recorded,none,8950
CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime IVPB,Not Recorded,,506
CefTAZIDime 1gm/50 mL IVPB,cefTAZIDime ivpb,Not Recorded,,109
CefTAZIDime 1gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,Not Recorded,,31
CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime in ns,Not Recorded,,5
CefTAZIDime 2gm/100 mL IVPB,cefTAZIDime ivpb,Not Recorded,,1008
CefTAZIDime 2gm/50 mL IVPB,cefTAZIDime ivpb,Not Recorded,,6021
CefTAZIDime 2gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,Not Recorded,,4467
CefTAZIDime 2gm/NS IVPB,cefTAZIDime in ns,Not Recorded,none,45946
CefTAZIDime 40mg/mL NS neonate syringe,cefTAZIDime in NS syringe,Not Recorded,none,74
CefTAZIDime 40mg/mL NS neonate syringe,cefTAZidime in NS syringe,Not Recorded,none,212
CefTAZidime 2.25mg/0.1mL for Intravitreal inj.,cefTAZidime intravitreal,Not Recorded,,9
CefaZOLIN 1gm/50 mL Iso-Dex,cefaZOLIN in iso-dex,Not Recorded,,98944
CefaZOLIN 20mg/mL/NS neonate syringe,cefaZOLIN in NS syringe,Not Recorded,none,25
Cefazolin 2 gm/NS IVPB,cefazolin in ns,Not Recorded,none,3551
Cefepime 2gm Desensitization Rx Protocol- initiate,Cefepime 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,2
Cefotaxime 1 gm inj,cefotaxime,Not Recorded,none,6
Cefotaxime 50mg/mL neonate syringe,cefotaxime in syringe,Not Recorded,none,108
Cefoxitin 1gm in Iso Dex,cefoxitin in iso dex,Not Recorded,none,2264
Cefoxitin 1gm in NS,cefOXitin in NS,Not Recorded,none,57
Cefoxitin 2gm in Iso Dex,cefoxitin in iso dex,Not Recorded,none,8513
Cefoxitin 2gm in NS,cefOXitin in NS,Not Recorded,none,1000
Ceftaroline 400 mg inj,ceftaroline,Not Recorded,none,6123
Ceftaroline 600 mg inj,ceftaroline,Not Recorded,none,17749
Ceftazidime 10mg/mL 2mL lock soln.,ceftazidime lock soln.,Not Recorded,,5
Ceftolozane-Tazobactam 1500mg inj,ceftolozane-tazobactam,Not Recorded,none,6239
Ceftriaxone 1gm/ 50mL NS,ceftriaxone in NS,Not Recorded,,2105
Ceftriaxone 1gm/50 mL Iso-Dex,ceftriaxone in iso-dex,Not Recorded,,52262
Ceftriaxone 1gm/50 mL NS,ceftriaxone in NS,Not Recorded,,20410
Ceftriaxone 250 mg for neonate,ceftriaxone,Not Recorded,none,2
Ceftriaxone 250 mg inj,ceftriaxone,Not Recorded,none,208
Ceftriaxone 250mg/mL IM neonate syringe,ceftriaxone,Not Recorded,none,9
Ceftriaxone 2gm/50 mL Iso-Dex,ceftriaxone in Iso-Dex,Not Recorded,,47463
Ceftriaxone 2gm/50 mL NS,ceftriaxone in NS,Not Recorded,,11746
Ceftriaxone 40mg/mL/ neonate syringe,ceftriaxone in syringe,Not Recorded,none,2
Ceftriaxone 40mg/mL/NS neonate syringe,ceftriaxone in NS syringe,Not Recorded,none,1
Cefuroxime 1500 mg inj,cefuroxime,Not Recorded,none,10250
Cefuroxime 1500mg/NS 100mL IVPB,cefuroxime in ns,Not Recorded,,35271
Cefuroxime 750 mg inj,cefuroxime,Not Recorded,none,23
Cefuroxme 1.5 gm/50 mL Iso-Dex,cefuroxime in iso-dex,Not Recorded,,1946
Celecoxib 100 mg cap,celecoxib,Not Recorded,,3
Celecoxib 200 mg cap,celecoxib,Not Recorded,,32
Central Parenteral Nutrition,Central Parenteral Nutrition (hyperal),Not Recorded,none,1352817
Central TPN,Central TPN,Not Recorded,none,127859
Cetuximab 2 mg/mL 100mL,cetuximab,Not Recorded,,3
Chloramphenicol 1gm inj,chloramphenicol,Not Recorded,none,9
Chloraseptic throat spray,chloraseptic,Not Recorded,none,1
Chloroprocane-MPF 3% inj,chloroprocaine 3%,Not Recorded,none,2
Chlorothiazide 125 mg in syringe,chlorothiazide syringe,Not Recorded,none,841
Chlorothiazide 250 mg in syringe,chlorothiazide syringe,Not Recorded,none,3396
Chlorothiazide 250 mg tab,chlorothiazide,Not Recorded,,1
Chlorothiazide 50 mg/1 mL liq Extemp,chlorothiazide,Not Recorded,,5
Chlorothiazide 500 mg inj,chlorothiazide,Not Recorded,none,29588
Chlorothiazide 500 mg injection,chlorothiazide,Not Recorded,none,3087
ChlorproMAZINE 25 mg/1 mL inj,chlorproMAZINE,Not Recorded,,197
Chromic 4 mcg/ml Inj,chromic chloride,Not Recorded,none,114
Cidofovir 375 mg/ 5mL inj,cidofovir,Not Recorded,,45
Ciprofloxacin 200 mg/20 mL inj,ciprofloxacin,Not Recorded,,12
Ciprofloxacin 400 mg/40 mL inj,ciprofloxacin,Not Recorded,,33
Ciprofloxacin 500 mg tab,ciprofloxacin,Not Recorded,,1
Cisatracurium 10 mg/mL  20 mL inj,cisatracurium,Microgram/Kilogram/Minute,,135832
Cisatracurium 2 mg/mL 10 mL inj,cisatracurium,Not Recorded,,714
Cisatracurium 2mg/mL 10mL syringe,cisatracurium,Not Recorded,,5
Citric Acid-Na Citrate (Bicitra)30 mL,citric acid-na citrate,Not Recorded,,19
Cladribine 10 mg/10 mL inj,cladribine,Not Recorded,,10
Clindamycin 15 mg/mL 100mL susp,clindamycin,Not Recorded,,1
Clindamycin 600 mg inj,clindamycin,Not Recorded,none,578
Clindamycin 600 mg/50 mL D5W,clindamycin in d5w,Not Recorded,,28328
Clindamycin 900 mg inj,clindamycin,Not Recorded,none,747
Clindamycin 900 mg/50 mL D5W,clindamycin in d5w,Not Recorded,,40914
Clindamycin 900 mg/50mL NS IVPB,clindamycin in ns,Not Recorded,,7960
ClonIDINE 0.3 mg/24 hr patch,clonIDINE,Not Recorded,none,1
ClonIDINE HCl 0.1 mg tab,clonIDINE,Not Recorded,,3
ClonIDINE HCl 0.2 mg tab,clonIDINE,Not Recorded,,2
Clopidogrel 300mg tablet,clopidogrel,Not Recorded,none,1
Clopidogrel 75 mg tab,clopidogrel,Not Recorded,,2
Coagulation Factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,215
Coagulation Factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,231
Coagulation Factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,42
Coagulation factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,49
Coagulation factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,642
Coagulation factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded,none,14
Coagulation factor 7a (VIIa) 8000 mcg,coagulation factor VIIa,Not Recorded,none,8
Cocaine 4% 4 mL top solution,cocaine 4%,Not Recorded,,14
Colistimethate 150 mg for Inhalation syringe,colistimethate inhalation in syringe,Not Recorded,none,1
Colistimethate 150 mg inj,colistimethate,Not Recorded,none,12062
Conivaptan 20mg/D5W 100mL,conivaptan/d5w,Not Recorded,,64
Copper chloride 0.4mg/mL 10mL inj,copper chloride,Not Recorded,,1186
Copper sulfate 0.4 mg/mL inj,copper sulfate,Not Recorded,none,5
Corticorelin 100 mcg/2 mL  inj,corticorelin,Not Recorded,,2
Cosyntropin 0.25 mg inj,cosyntropin,Not Recorded,none,3176
Cosyntropin 1mcg/mL/NS neonate syringe,cosyntropin in NS syringe,Not Recorded,none,2
Cyanide Antidote Kit,sod thio-sod-amyl-nitr,Not Recorded,none,1
"Cyanocobalamin 1,000 mcg/1 mL inj",cyanocobalamin,Not Recorded,,94
Cyanocobalamin 100 mcg tab,cyanocobalamin,Not Recorded,,1
Cyanocobalamin 1000 mcg tab,cyanocobalamin,Not Recorded,,4
CycloPHOSphamide 1gm/50 mL inj,cycloPHOSphamide,Not Recorded,,11472
CycloPHOSphamide 2 gm inj,cycloPHOSphamide,Not Recorded,none,2
CycloSPORINE 100 mg/mL Sol(Sandimmune) 50 mL,cycloSPORINE,Not Recorded,,1
CycloSPORINE 250 mg/5 mL inj,cycloSPORINE,Not Recorded,,3077
Cyclophosphamide 500 mg inj,cyclophosphamide,Not Recorded,none,418
Cyclophosphamide 500mg/25mL inj,cyclophosphamide,Not Recorded,,11
Cytarabine 100 mg / 5 mL inj,cytarabine,Not Recorded,,388
Cytarabine 2000 mg/20 mL inj,cytarabine,Not Recorded,,10392
Cytarabine 500 mg / 5 mL  inj,cytarabine,Not Recorded,,49
Cytomegalvirus Glob 2.5gm/50mL IV,cytomegalovirus globulin,Not Recorded,,345
D10W 0.2%NS 250  mL bag,d10.2ns,Not Recorded,,293
D10W 0.45%NS 250mL,D10W 0.45%NS,Not Recorded,,1
D10W 1000 mL IV bag,d10w,Not Recorded,,202556
D10W 25 gm/250 mL inj,D10W,Not Recorded,,7683
D10W 500 mL iv bag,d10w,Not Recorded,,9212
D12.5W 0.2%NS 250mL,D12.5W 0.2%NS,Not Recorded,,16
D12.5W 0.45%NS 250mL,D12.5W 0.45%NS,Not Recorded,,20
D12.5W 250ml,D12.5W,Not Recorded,,1
D15%W 250 ml,D15W,Not Recorded,,1
D20W 0.2%NS 250mL,D20W 0.2%NS,Not Recorded,,6
D20W 250mL,D20W,Not Recorded,,218
D20W 500 mL IV bag,dextrose 20%,Not Recorded,,51454
D25W 250mL,D25W,Not Recorded,,2
D5.2NS + 20 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded,,745
D5.2NS + 40 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded,,116
D5.2NS 1000 mL IV bag,d5.2ns,Not Recorded,,11363
D5.2NS 500 mL IV bag,d5.2ns,Not Recorded,,55
D5.45NS + 10 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,,45322
D5.45NS + 20 mEq KCl 1000 ml  IV,d5.45ns + kcl,Not Recorded,,806311
D5.45NS + 30 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,,1609
D5.45NS + 40 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded,,20045
D5.45NS 1000 mL IV bag,d5.45ns,Not Recorded,,1151341
D5.45NS 1000 mL for chemo,d5.45ns,Not Recorded,,1510
D5.45NS 500 mL IV bag,d5.45ns,Not Recorded,,1915
D5LR + 20 mEq KCl 1000mL,d5lr + kcl,Not Recorded,,2985
D5LR 1000 mL IV bag,d5lr,Not Recorded,,170271
D5LR 500 mL iv bag,D5LR,Not Recorded,,115
D5NS 1000 mL IV bag,d5ns,Not Recorded,,448514
D5NS 500 mL IV bag,d5ns,Not Recorded,,1043
D5NS+20 mEq KCl 1000 mL IV bag,d5ns + kcl,Not Recorded,,63122
D5W + 20 mEq KCl 1000 mL IV bag,d5w + kcl,Not Recorded,,10295
D5W 100 mL (Polyolefin),d5w (polyolefin),Not Recorded,,23702
D5W 100 mL IV bag,d5w,Not Recorded,,34853
D5W 100 mL IV bag chemo,d5w,Not Recorded,,114
D5W 1000 mL (Polyolefin),d5w (polyolefin),Not Recorded,,160
D5W 1000 mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded,,15
D5W 1000 mL IV bag,d5w,Not Recorded,,711070
D5W 1000 mL IV bag for chemo,d5w,Not Recorded,,221
D5W 150 mL IV bag,d5w,Not Recorded,,2668
D5W 150 mL IV bag for chemo,d5w,Not Recorded,,58
D5W 250 mL IV bag,d5w,Not Recorded,,195577
D5W 250 mL IV bag for chemo,d5w,Not Recorded,,350
D5W 250mL (Polyolefin),d5w (polyolefin),Not Recorded,,639400
D5W 250mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded,,223
D5W 50 mL IV bag,d5w,Not Recorded,,30895
D5W 50 mL IV bag for chemo,d5w,Not Recorded,,584
D5W 50 mL IV bottle,d5w btl,Not Recorded,,3
D5W 500 mL (Polyolefin),d5w (polyolefin),Not Recorded,,557952
D5W 500 mL (Polyolefin) for chemo,d5w (polyolefin) for chemo,Not Recorded,,782
D5W 500 mL IV bag,d5w,Not Recorded,,29085
D5W 500 mL IV bag for chemo,d5w,Not Recorded,,483
D5W 50mL (Polyolefin),d5w (polyolefin),Not Recorded,,7
D70W 1000mL IV bag,d70w,Not Recorded,,264
D70W 2000 mL IV bag,d70w,Not Recorded,,419
D70W 500 mL IV bag,d70w,Not Recorded,,118
DACTINOmycin 0.5 mg inj,DACTINOmycin,Not Recorded,none,44
DAPTOmycin 350 mg inj,DAPTOmycin,Not Recorded,none,16976
DAPTOmycin 50 mg/mL inj,DAPTOmycin,Not Recorded,none,2526
DAUNOrubicin 20 mg inj,DAUNOrubicin,Not Recorded,none,240
DAUNOrubicin 5 mg/ml injection,DAUNOrubicin,Not Recorded,none,94
DOBUTamine 250 mg/20 mL inj,DOBUTamine,Microgram/Kilogram/Minute,,27450
DOBUTamine 250 mg/20 mL inj ADD,DOBUTamine,Not Recorded,,54
DOCEtaxel 10 mg/mL inj,DOCEtaxel,Not Recorded,none,8
DOCEtaxel 20mg/1mL inj,DOCEtaxel,Not Recorded,,36
DOCEtaxel 80mg/4mL inj,DOCEtaxel,Not Recorded,,38
DOPamine 200 mg/5mL inj,DOPamine,Microgram/Kilogram/Minute,,996
DOPamine 400 mg/5 mL inj,DOPamine,Microgram/Kilogram/Minute,,1740
DOPamine 400mg/10mL inj,DOPamine,Microgram/Kilogram/Minute,,1526
DOXOrubicin  LYOPH 50mg for orderset only,DOXOrubicin LYOPH,Not Recorded,none,2
DOXOrubicin  LYOPHILIZED 50mg inj,DOXOrubicin LYOPH,Not Recorded,none,22
DOXOrubicin 2 mg/mL PF 25mL for orderset only,DOXOrubicin,Not Recorded,,112
DOXOrubicin 2 mg/mL PF soln. 25mL,DOXOrubicin,Not Recorded,,7396
DOXOrubicin PFS 10 mg/5 mL inj,DOXOrubicin,Not Recorded,,737
DOXOrubicin liposomal 2 mg/mL (Lipodox),DOXOrubicin liposomal,Not Recorded,none,11
DOXOrubicin liposomal 20mg/ 10 mL inj,DOXOrubicin hcl liposome,Not Recorded,,78
Dacarbazine 200mg inj,dacarbazine,Not Recorded,none,90
Dalbavancin 500 mg/25ml  inj,dalbavancin,Not Recorded,,162
Dalfopristin-Quinupristin 500 mg inj,dalfopristin-quinupristin,Not Recorded,none,20
Dantrolene 100 mg cap,dantrolene,Not Recorded,,1
Dantrolene 20 mg inj,dantrolene,Not Recorded,none,40
Dantrolene 250 mg inj,dantrolene,Not Recorded,none,44
Daptomycin 500mg for IVPB,daptomycin,Not Recorded,none,15274
Daptomycin 5mg/ml /LR 2mL lock soln.,daptomycin in LR lock soln.,Not Recorded,,7
Daratumumab 400mg/20mL inj.,daratumumab,Not Recorded,,4
Darbepoetin Alfa 25 mcg/0.42 mL syr.,darbepoetin alfa,Not Recorded,,47
Darbepoetin Alfa 40 mcg/0.4 mL syr.,darbepoetin alfa,Not Recorded,,219
Darbepoetin Alfa 40 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded,,2
Darbepoetin alfa 100 mcg/0.5 mL syr. For Dialysis,darbepoetin alfa,Not Recorded,,106
Darbepoetin alfa 100 mcg/0.5 mL syringe,darbepoetin alfa,Not Recorded,,145
Darbepoetin alfa 100 mcg/0.5 mL syringe- APPRISE,darbepoetin alfa,Not Recorded,,3
Darbepoetin alfa 150 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded,,11
Darbepoetin alfa 200 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded,,13
Darbepoetin alfa 60 mcg/0.3 mL syr.,darbepoetin alfa,Not Recorded,,1340
Darbepoetin alfa 60 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded,,29
Decitabine 50mg inj,decitabine,Not Recorded,none,2107
Deferoxamine 500 mg inj,deferoxamine,Not Recorded,none,184
Description Missing,Description Missing,Not Recorded,none,1
Desmopressin 0.1 mg tab,desmopressin,Not Recorded,,4
Desmopressin 0.4 mcg/mL SubQ syringe,desmopress in syringe,Not Recorded,none,54
Desmopressin 10mcg/inh 5mL nasal,desmopressin,Not Recorded,,2
Desmopressin 4 mcg/mL IV in syringe,desmopressin in syringe,Not Recorded,none,449
Desmopressin 4 mcg/mL SubQ syringe,desmopressin in syringe,Not Recorded,none,15
Desmopressin 4 mcg/mL inj,desmopressin,Not Recorded,none,4858
Desmopressin 4 mcg/mL inj.,desmopressin,Not Recorded,none,396
Dexamethasone 0.2mg/mL neonate syringe,Dexamethasone in syringe,Not Recorded,none,5
Dexamethasone 0.5 mg tab,dexamethasone,Not Recorded,,1
Dexamethasone 10mg/NS IVPB,dexamethasone/ns,Not Recorded,none,11
Dexamethasone 12mg/NS IVPB,dexamethasone/ns,Not Recorded,none,23
Dexamethasone 2 mg tab,dexamethasone,Not Recorded,,2
Dexamethasone 20 mg/5 mL inj,dexamethasone,Not Recorded,,16655
Dexamethasone 20mg/NS IVPB,dexamethasone/ns,Not Recorded,none,69
Dexamethasone 4 mg tab,dexamethasone,Not Recorded,,24
Dexamethasone 4 mg/1 mL inj,dexamethasone,Not Recorded,,314008
Dexamethasone 6  mg tab,dexamethasone,Not Recorded,,4
Dexamethasone 8 mg/NS IVPB,dexamethasone/ns,Not Recorded,none,14
Dexamethson 10 mg/mL  10 mL inj,dexamethasone,Not Recorded,,177
Dexmedetomidine 200 mcg/2 mL inj,dexmedetomidine,Microgram/Kilogram/Hour,,101592
Dexmedetomidine 4 mcg/mL 20mL vial (for OR),dexmedetomidine,Not Recorded,,840
Dexrazoxane 250 mg inj cardio tox,dexrazoxane,Not Recorded,none,16
Dextran 40/ 500 mL IV bag,dextran 40,Not Recorded,,257
Dextran 40/ 500 mL IV bag,dextran 40/ns,Not Recorded,,173
Dextran 40/D5W 500 mL IV bag,dextran 40/d5w,Not Recorded,,496
Dextran-Dextrose 32% inj 100 mL inj,dextran-dextrose 32%,Not Recorded,,18
Dextrose 10% 5 mL inj,dextrose 10%,Not Recorded,,13
Dextrose 10% in Water 250mL,D10W,Not Recorded,,191
Dextrose 10% in Water 250mL btl.,D10W,Not Recorded,,892
Dextrose 30% in Water 500mL,dextrose 30% water,Not Recorded,,1
Dextrose 50% 50 mL syringe,dextrose 50%,Not Recorded,,62572
Dextrose 50% 50 mL vial,dextrose 50%,Not Recorded,,8170
Diazepam 10 mg/2 mL inj,diazepam,Not Recorded,,13498
Diazepam 2 mg tab,diazepam,Not Recorded,,1
Diazepam 5 mg tab,diazepam,Not Recorded,,9
Dicyclomine 20 mg/2 mL inj,dicyclomine,Not Recorded,,4
Digoxin 0.05 mg/mL Elixir  60 mL,digoxin,Not Recorded,,1
Digoxin 0.5 mg/2 mL inj,digoxin,Not Recorded,,10268
Digoxin Immune Fab 40mg (Digifab),digoxin immune fab,Not Recorded,none,49
Dihydroergotamine 1 mg/1 mL inj,dihydroergotamine,Not Recorded,,1950
Diltiazem 100 mg ADD-Vantage,diltiazem,Milligram/Hour,none,31
Diltiazem 125 mg vial,diltiazem,Milligram/Hour,none,40246
Diltiazem 25 mg/5 mL inj,diltiazem,Not Recorded,,13081
Diltiazem 50 mg/10 mL inj,diltiazem,Not Recorded,,50
DiphenhydrAMI 2.5 mg/mL liq 240 mL,diphenhydrAMINE,Not Recorded,,4
DiphenhydrAMINE 12.5mg/5mL Liq,diphenhydrAMINE liq,Not Recorded,,1
DiphenhydrAMINE 25 mg cap,diphenhydrAMINE,Not Recorded,,66
DiphenhydrAMINE 25 mg/10 mL liq,diphenhydrAMINE,Not Recorded,,10
DiphenhydrAMINE 25mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded,none,40
DiphenhydrAMINE 50 mg cap,diphenhydrAMINE,Not Recorded,,21
DiphenhydrAMINE 50 mg/1 mL inj,diphenhydrAMINE,Not Recorded,,284906
DiphenhydrAMINE 50mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded,none,202
Disposable elastomeric pump,disposable elastomeric pump,Not Recorded,none,1
Docusate Sodium 100 mg cap,docusate,Not Recorded,,1
Dofetilide 250 mcg cap,dofetilide,Not Recorded,,1
Doripenem 250 mg inj,doripenem,Not Recorded,none,62
Doripenem 500 mg inj,doripenem,Not Recorded,none,8405
Doxorubicin 2  mg/ 1 mL inj,doxorubicin,Not Recorded,,26
Doxorubicin PFS 10mg/5mL inj,doxorubicin,Not Recorded,,38
Doxycycline 100 mg cap,doxycycline,Not Recorded,,3
Doxycycline 100 mg inj,doxycycline,Not Recorded,none,6078
Doxycycline 100mg IVPB,doxycycline in ns,Not Recorded,none,13361
Doxycycline 1mg/mL NS peds syringe,doxycycline/ns syringe,Not Recorded,none,2
Doxycycline 50mg cap,doxycycline,Not Recorded,,1
Doxycycline hyclate 100 mg tab,doxycycline,Not Recorded,,7
Droperidol 0.625mg/2mL ns for OR,droperidol,Not Recorded,,88
Droperidol 2.5mg/mL inj,droperidol,Not Recorded,none,131
ED-Calcium Gluconate 2gm IVPB for ED use only,calcium gluconate/ns,Not Recorded,none,49
EPHEDrine 25mg/5ml (5mg/mL) syringe,ePHEDrine,Not Recorded,,8
EPHEDrine 50 mg/1 mL inj,ePHEDrine,Not Recorded,,25779
EPHEDrine 50 mg/10mL inj,ePHEDrine,Not Recorded,,16
EPHEDrine 5mg/mL OR syringe,ePHEDrine,Not Recorded,none,152790
EPInephrine 0.3mg Auto-injector,EPInephrine hcl,Not Recorded,none,4
EPInephrine 1 mg/ 1 mL inj,EPInephrine,Microgram/Kilogram/Minute,,36048
EPInephrine 1 mg/10 mL inj,EPInephrine,Not Recorded,,2843
EPInephrine 160mcg Syr OR,EPInephrine,Not Recorded,none,1245
EPInephrine 1mg/ml 30 mL inj,EPInephrine,Not Recorded,,160479
EPIrubicin 2 mg / 1 mL inj,EPIrubicin,Not Recorded,,1
Eculizumab 300 mg/30mL inj.,eculizumab,Not Recorded,,65
Edrophonium 10 mg/mL 15 mL inj,edrophonium,Not Recorded,,1
Edrophonium 10 mg/mL per mL,edrophonium,Not Recorded,none,8
Empty Container,Empty Container,Not Recorded,none,40939
Empty Container Non-DEHP,Empty Container Non-DEHP,Not Recorded,none,4
Enalaprilat 1.25 mg/1 mL inj,enalapril,Not Recorded,,446
Enalaprilat 2.5 mg/2 mL inj,enalaprilat,Not Recorded,,3341
Enoxaparin 100 mg/ 1 mL inj,enoxaparin,Not Recorded,,270
Enoxaparin 120 mg/ 0.8 mL  inj,enoxaparin,Not Recorded,,2
Enoxaparin 20 mg/ 0.2 mL syringe,enoxaparin syringe,Not Recorded,,3
Enoxaparin 30 mg/0.3 mL inj,enoxaparin,Not Recorded,,163
Enoxaparin 40 mg/ 0.4 mL inj,enoxaparin,Not Recorded,,4
Enoxaparin 60 mg/ 0.6 mL inj,enoxaparin,Not Recorded,,2
Epidural Infusion,Epidural Infusion,Not Recorded,none,2
"Epoetin 10,000 units/ 1 mL inj",epoetin,Not Recorded,,4614
"Epoetin 2,000 units/ 1 mL inj",epoetin alfa,Not Recorded,,139
"Epoetin 20,000 units inj",epoetin,Not Recorded,none,1277
"Epoetin 40,000 units/ 1 mL",epoetin,Not Recorded,,71
Epoetin 4000 units/1 mL inj,epoetin alfa,Not Recorded,,257
"Epoetin alfa-epbx (Retacrit) 10,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,,1302
"Epoetin alfa-epbx (Retacrit) 2,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,,73
"Epoetin alfa-epbx (Retacrit) 20,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,,406
"Epoetin alfa-epbx (Retacrit) 40,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,,62
Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol diluent,Not Recorded,,51
Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol/Flolan diluent,Not Recorded,,4417
Epoprostenol  Diluent 50mL vial,epoprostenol diluent,Not Recorded,,13
Epoprostenol  Diluent 50mL vial,epoprostenol/Flolan diluent,Not Recorded,,924
Epoprostenol 0.5 mg inj,epoprostenol,Not Recorded,none,18956
"Epoprostenol 1,000,000 ng (1mg) inhale (Veletri)",epoprostenol inhale,Not Recorded,none,39
Epoprostenol 1.5 mg inj.,epoprostenol,Not Recorded,none,2404
"Epoprostenol 500,000 ng (0.5mg) inhale (Veletri)",epoprostenol inhale,Not Recorded,none,9
Epoprostenol CADD Conc-Dose-Rate Confirm,Epoprostenol CADD Conc-Dose-Rate Confirm,Not Recorded,none,5
Epoprostenol Cassette,Epoprostenol cassette,Not Recorded,none,18
Epoprostenol Cassette,flolan casstte,Not Recorded,none,6
Eptifibatide 2 mg/mL 10 mL bolus inj,eptifibatide,Not Recorded,,40
Eribulin 1mg/2mL inj,eribulin,Not Recorded,,2
Ertapenem 1000 mg inj,ertapenem,Not Recorded,none,24830
Erythromycin 500 mg inj,erythromycin,Not Recorded,none,11899
Esmolol 100 mg/10 mL inj,esmolol,Not Recorded,,854
Esmolol 10mg/mL OR syringe,esmolol,Not Recorded,none,2216
Esmolol 2.5 gm/10 mL inj,esmolol,Not Recorded,,21
Estradiol 1 mg tab,estradiol,Not Recorded,,1
Estrogens 25 mg/5 mL inj.,"estrogens, conjugated",Not Recorded,,398
Ethacrynate 50 mg/50 mL inj,ethacrynate,Not Recorded,,249
Ethanol Lock soln 70% 3mL,ethanol 70% lock soln.,Not Recorded,,6
Ethiodized Oil (37% iodine) 10 mL inj,ethiodized oil (37% iodine),Not Recorded,,1
Ethiodized Oil 480mg/mL,ethiodized oil,Not Recorded,none,1
Etomidate 10mg/5mL syringe,etomidate,Not Recorded,,7
Etomidate 2 mg/mL  20 mL inj,etomidate,Not Recorded,,1001
Etomidate 2 mg/mL inj 10mL,etomidate,Not Recorded,,5292
Etoposide 100 mg / 5 mL,etoposide,Not Recorded,,11606
Etoposide 500 mg/25 mL inj,etoposide,Not Recorded,,4403
Factor 7a (VIIa),coagulation factor 7a (VIIa),Not Recorded,none,952
Factor 8 (VIII) bolus,Factor 8 (VIII) in syringe,Not Recorded,none,205
Factor 8 (VIII) injection,Factor 8 (VIII) inj,Not Recorded,none,1272
Factor 9 (IX) inj,factor 9 (IX),Not Recorded,none,197
Factor 9 (IX) inj Bolus,factor 9 (IX) in syringe,Not Recorded,none,49
