formulary_name,med_name_generic,med_action_dose_unit,volume_given,count
ANES REMIfentanil 5 mcg/mL inj,REMIfentanil,Not Recorded,none,52
ANES REMIfentanil 50 mcg/mL inj,REMIfentanil,Not Recorded,none,232
ANES Ranitidine 25 mg/mL inj,ranitidine,Not Recorded,none,20
ANES Rocuronium 10 mg/mL 10 mL inj,rocuronium,Not Recorded,,330545
ANES SUfentanil 50 mcg/mL inj,SUfentanil,Not Recorded,none,5761
ANES Sodium Bicarb 1 mEq/mL syringe,sodium bicarbonate,Not Recorded,none,4751
ANES Succinylcholine 20mg/ml 10ml OR syringe,succinylcholine,Not Recorded,,51614
ANES Tranexamic acid 100 mg/100mL NS,tranexamic acid,Not Recorded,,55771
ANES Tranexamic acid 50 mg/mL inj,tranexamic acid,Not Recorded,none,13001
ANES Vasopressin 2 units/mL inj,vasopressin,Not Recorded,none,15725
ANES Vecuronium 1 mg/mL inj,vecuronium,Not Recorded,none,44930
ANES Verapamil 2.5 mg/mL inj,verapamil,Not Recorded,none,50
ANES albuterol CFC free 90 mcg/inh,albuterol,Not Recorded,none,923
ANES amiodarone 750 mg/500 mL D5W Premix,amiodarone 750mg/500mL D5W drip,Not Recorded,,1518
ANES basiliximab 20mg/50 mL NS,basiliximab,Not Recorded,,2952
ANES bivalirudin 250 mg / 50 mL NS,bivalirudin,Not Recorded,,353
ANES bupivacaine 0.25%/ns epidural,bupivacaine 0.25%/ns epidural,Not Recorded,none,7
ANES cisatracurium 2 mg/mL 10 mL inj,cisatracurium,Not Recorded,,13123
ANES citric acid-sodium citrate soln,citric acid-na citrate,Not Recorded,none,15
ANES desmopressin 40 mcg/50 mL NS,ANES desmopressin,Not Recorded,,508
"ANES epoprostenol 20,000ng/mL inhale",epoprostenol inhale,Not Recorded,none,1319
ANES hePARIN 1000 units/mL 1 mL inj,hePARIN,Not Recorded,,27703
ANES ketamine 10 mg/1 mL,ketamine,Not Recorded,,46914
ANES ketamine 100 mg/1 mL,ketamine,Not Recorded,,2192
ANES ketamine 200 mg/50 mL drip,ketamine,Not Recorded,,410
ANES levothyroxine 0.4 mcg/mL IV,levothyroxine,Not Recorded,none,97
ANES methocarbamol 500 mg/50 mL NS,methocarbamol,Not Recorded,,1526
ANES methylPREDNISolone 500 mg/50 mL NS,methylPREDNISolone,Not Recorded,,2088
ANES micafungin 1.5 mg/mL,micafungin,Not Recorded,none,14
ANES mycophenolate 750mg/250 mL D5W,mycophenolate mofetil,Not Recorded,,195
ANES niCARdipine 40 mg/200mL NS  Drip std*,ANES niCARdipine/NS drip,Not Recorded,,2131
ANES oxytocin 10 units/mL,oxytocin,Not Recorded,none,2
"ANES penicillin 2,000,000 U/50 mL IVPB",penicillin 2MU IVPB,Not Recorded,,6
ANES protAMINE 10 mg/mL inj,protAMINE,Not Recorded,none,20363
ANES sugammadex 100 mg/mL soln,sugammadex,Not Recorded,none,75288
ANES vasopressin 20 unit/50 mL NS drip,vasopressin 100 drip,Not Recorded,,6369
ANES vasopressin 20 unit/50 mL NS drip,vasopressin 200 drip,Not Recorded,,215
ANES vasopressin 20 unit/50 mL NS drip,vasopression 20 unit drip,Not Recorded,,12614
ANES verapamil 100 mcg/mL CATH LAB,verapamil,Not Recorded,none,1
ANESMycophenolate 500 mg inj,mycophenolate,Not Recorded,none,2
Abatacept 250 mg inj,abatacept,Not Recorded,none,124
Abciximab 10 mg/5 mL inj,abciximab,Not Recorded,,70
Abciximab 10 mg/5 mL inj ADD,abciximab ADD,Micrograms/Minute,,292
AcetaZOLAMIDE 250 mg tab,acetaZOLAMIDE,Not Recorded,,1
AcetaZOLAMIDE 500 mg inj,acetaZOLAMIDE,Not Recorded,none,10966
Acetaminophen 100 mg/mL Ped liq BULK btl.,acetaminophen,Not Recorded,none,1
Acetaminophen 1000mg/100mL IVPB,acetaminophen,Not Recorded,,94592
Acetaminophen 100mg/mL Ped oral syringe,acetaminophen ped liq,Not Recorded,none,1
Acetaminophen 120 mg supp,acetaminophen,Not Recorded,none,1
Acetaminophen 160 mg/5 mL liq. 120mL,acetaminophen,Not Recorded,,2
Acetaminophen 325 mg supp,acetaminophen,Not Recorded,none,4
Acetaminophen 325 mg tab,acetaminophen,Not Recorded,,531
Acetaminophen 650 mg supp,acetaminophen,Not Recorded,none,33
Acetaminophen 650/20.3  mL liq,acetaminophen,Not Recorded,,11
Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,acetylcholine i-cornonary low conc.,Not Recorded,,17
Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,acetylcholine i-cornonary High conc.,Not Recorded,,17
Acetylcysteine 10% Sol 10 mL,acetylcysteine 10%,Not Recorded,,1
Acetylcysteine 20% High dose oral 2000mg,acetylcysteine 20%,Not Recorded,none,1
Acetylcysteine 20% IV injection,acetylcysteine,Not Recorded,none,19309
Acetylcysteine 20% IV injection,acetylcysteine 20%,Not Recorded,none,6425
Acetylcysteine 20% IV injection,acetylcysteine 20% injection,Not Recorded,none,8956
Acyclovir 1gm inj,acyclovir,Not Recorded,none,11137
Acyclovir 500 mg inj,acyclovir,Not Recorded,none,169
Acyclovir 500mg/10mL inj,acyclovir,Not Recorded,,33954
Acyclovir 7mg/mL/NS neonate syringe,acyclovir in NS syringe,Not Recorded,none,96
Acyclovir 800 mg tablet,acyclovir,Not Recorded,none,1
Adenosine 180 mg/90 mL D5W DBL CATH LAB,adenosine dbl drip,Not Recorded,,9
Adenosine 3 mg/mL inj 20mL for cath lab,adenosine,Not Recorded,,301
Adenosine 3 mg/mL inj 30mL Nuc Med/CARD MRI,adenosine,Not Recorded,,2
Adenosine 3 mg/mL inj 30mL Nuclear Medicine,adenosine,Not Recorded,,3
Adenosine 3mg/mL iv neonate,adenosine,Not Recorded,none,1
Adenosine 5mg/250mL NS CATH LAB,adenosine/ns,Not Recorded,,236
Adenosine 6 mg/2 mL inj,adenosine,Not Recorded,,4859
Adenosine 90 mg/NS 50mL,adenosine,Not Recorded,,12
Ado-Trastuzumab emtansine 100mg inj.,ado-trastuzumab emtansine,Not Recorded,none,1
Al/Mg hydrox/Simeth (Maalox) liq,Al/Mg hydrox/Simeth liq,Not Recorded,none,1
Al/Mg hydrox/Simeth (Maalox) liq 30mL UD,Al/Mg hydrox/Simeth (Maalox) liq,Not Recorded,,1
Albumin 5% 50 mL (2.5gm) inj,albumin 5%,Not Recorded,,14
Albumin Human 25% 100mL,albumin 25%,Not Recorded,,6304
Albumin Human 25% 50mL,albumin 25%,Not Recorded,,77694
Albumin Human 5% 250 mL,albumin 5%,Not Recorded,,75690
Albumin Human 5% 500 mL (OR USE ONLY),albumin 5%,Not Recorded,,50485
Albuterol 5 mg/mL inhale 20mL soln.,albuterol,Not Recorded,,1
Albuterol 70mg (10mg/hr) cont. inhalation,albuterol inhale,Not Recorded,none,3
Albuterol Aerosol Inhaler,albuterol inhaler,Not Recorded,none,301
Albuterol Aerosol Inhaler (Selfuse),albuterol,Not Recorded,none,3
Albuterol Aerosol Inhaler (WW),albuterol,Not Recorded,none,6
Albuterol CFC free 90 mcg/inh aero,albuterol,Not Recorded,none,194
Albuterol CFC free 90 mcg/inh aero.,albuterol,Not Recorded,none,3
Alcohol (Dehydrated) 1mL inj,ethyl alcohol,Not Recorded,,4
"Alcohol, Ethyl (Dehydrated) 5 mL inj","alcohol, ethyl",Not Recorded,,97
"Aldesleukin 22,000,000 unit(s) inj",aldesleukin,Not Recorded,none,337
Alemtuzumab 30 mg/mL inj,alemtuzumab,Not Recorded,none,102
Allopurinol 500 mg inj,allopurinol,Not Recorded,none,255
Alprazolam 0.5 mg tab,alprazolam,Not Recorded,,1
Alprostadil 500 mcg inj,alprostadil,Not Recorded,none,195
Alteplase 100 mg inj,"alteplase, t-pa",Not Recorded,none,952
Alteplase 100 mg inj ADD,"alteplase, t-pa ADD",Not Recorded,none,4452
Alteplase 1mg/mL for Stroke protocol use only,alteplase,Not Recorded,none,665
Alteplase 2 mg inj for drip,alteplase for drip,Not Recorded,none,2150
