formulary_name,med_name_generic,med_action_dose_unit
ANES desmopressin 40 mcg/50 mL NS,ANES desmopressin,508
"ANES epoprostenol 20,000ng/mL inhale",epoprostenol inhale,1319
ANES hePARIN 1000 units/mL 1 mL inj,hePARIN,27703
ANES ketamine 10 mg/1 mL,ketamine,46914
ANES ketamine 100 mg/1 mL,ketamine,2192
ANES ketamine 200 mg/50 mL drip,ketamine,410
ANES levothyroxine 0.4 mcg/mL IV,levothyroxine,97
ANES methocarbamol 500 mg/50 mL NS,methocarbamol,1526
ANES methylPREDNISolone 500 mg/50 mL NS,methylPREDNISolone,2088
ANES micafungin 1.5 mg/mL,micafungin,14
ANES mycophenolate 750mg/250 mL D5W,mycophenolate mofetil,195
ANES niCARdipine 40 mg/200mL NS  Drip std*,ANES niCARdipine/NS drip,2131
ANES oxytocin 10 units/mL,oxytocin,2
"ANES penicillin 2,000,000 U/50 mL IVPB",penicillin 2MU IVPB,6
ANES protAMINE 10 mg/mL inj,protAMINE,20363
ANES sugammadex 100 mg/mL soln,sugammadex,75288
ANES vasopressin 20 unit/50 mL NS drip,vasopressin 100 drip,6369
ANES vasopressin 20 unit/50 mL NS drip,vasopressin 200 drip,215
ANES vasopressin 20 unit/50 mL NS drip,vasopression 20 unit drip,12614
ANES verapamil 100 mcg/mL CATH LAB,verapamil,1
ANESMycophenolate 500 mg inj,mycophenolate,2
Abatacept 250 mg inj,abatacept,124
Abciximab 10 mg/5 mL inj,abciximab,70
Abciximab 10 mg/5 mL inj ADD,abciximab ADD,292
AcetaZOLAMIDE 250 mg tab,acetaZOLAMIDE,1
AcetaZOLAMIDE 500 mg inj,acetaZOLAMIDE,10966
Acetaminophen 100 mg/mL Ped liq BULK btl.,acetaminophen,1
Acetaminophen 1000mg/100mL IVPB,acetaminophen,94592
Acetaminophen 100mg/mL Ped oral syringe,acetaminophen ped liq,1
Acetaminophen 120 mg supp,acetaminophen,1
Acetaminophen 160 mg/5 mL liq. 120mL,acetaminophen,2
Acetaminophen 325 mg supp,acetaminophen,4
Acetaminophen 325 mg tab,acetaminophen,531
Acetaminophen 650 mg supp,acetaminophen,33
Acetaminophen 650/20.3  mL liq,acetaminophen,11
Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,acetylcholine i-cornonary low conc.,17
Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,acetylcholine i-cornonary High conc.,17
Acetylcysteine 10% Sol 10 mL,acetylcysteine 10%,1
Acetylcysteine 20% High dose oral 2000mg,acetylcysteine 20%,1
Acetylcysteine 20% IV injection,acetylcysteine,19309
Acetylcysteine 20% IV injection,acetylcysteine 20%,6425
Acetylcysteine 20% IV injection,acetylcysteine 20% injection,8956
Acyclovir 1gm inj,acyclovir,11137
Acyclovir 500 mg inj,acyclovir,169
Acyclovir 500mg/10mL inj,acyclovir,33954
Acyclovir 7mg/mL/NS neonate syringe,acyclovir in NS syringe,96
Acyclovir 800 mg tablet,acyclovir,1
Adenosine 180 mg/90 mL D5W DBL CATH LAB,adenosine dbl drip,9
Adenosine 3 mg/mL inj 20mL for cath lab,adenosine,301
Adenosine 3 mg/mL inj 30mL Nuc Med/CARD MRI,adenosine,2
Adenosine 3 mg/mL inj 30mL Nuclear Medicine,adenosine,3
Adenosine 3mg/mL iv neonate,adenosine,1
Adenosine 5mg/250mL NS CATH LAB,adenosine/ns,236
Adenosine 6 mg/2 mL inj,adenosine,4859
Adenosine 90 mg/NS 50mL,adenosine,12
Ado-Trastuzumab emtansine 100mg inj.,ado-trastuzumab emtansine,1
Al/Mg hydrox/Simeth (Maalox) liq,Al/Mg hydrox/Simeth liq,1
Al/Mg hydrox/Simeth (Maalox) liq 30mL UD,Al/Mg hydrox/Simeth (Maalox) liq,1
Albumin 5% 50 mL (2.5gm) inj,albumin 5%,14
Albumin Human 25% 100mL,albumin 25%,6304
Albumin Human 25% 50mL,albumin 25%,77694
Albumin Human 5% 250 mL,albumin 5%,75690
Albumin Human 5% 500 mL (OR USE ONLY),albumin 5%,50485
Albuterol 5 mg/mL inhale 20mL soln.,albuterol,1
Albuterol 70mg (10mg/hr) cont. inhalation,albuterol inhale,3
Albuterol Aerosol Inhaler,albuterol inhaler,301
Albuterol Aerosol Inhaler (Selfuse),albuterol,3
Albuterol Aerosol Inhaler (WW),albuterol,6
Albuterol CFC free 90 mcg/inh aero,albuterol,194
Albuterol CFC free 90 mcg/inh aero.,albuterol,3
Alcohol (Dehydrated) 1mL inj,ethyl alcohol,4
"Alcohol, Ethyl (Dehydrated) 5 mL inj","alcohol, ethyl",97
"Aldesleukin 22,000,000 unit(s) inj",aldesleukin,337
Alemtuzumab 30 mg/mL inj,alemtuzumab,102
Allopurinol 500 mg inj,allopurinol,255
Alprazolam 0.5 mg tab,alprazolam,1
Alprostadil 500 mcg inj,alprostadil,195
Alteplase 100 mg inj,"alteplase, t-pa",952
Alteplase 100 mg inj ADD,"alteplase, t-pa ADD",4452
Alteplase 1mg/mL for Stroke protocol use only,alteplase,665
Alteplase 2 mg inj for drip,alteplase for drip,2150
Alteplase 30mg/30mL NS for Chest Tube,alteplase in syringe,3
Alteplase 50 mg inj,alteplase,2414
Alteplase 50 mg inj ADD,"alteplase, t-pa ADD",354
Alteplase Intrathecal/Intravent syringe,alteplase intra-thecal syringe,9
"Alteplase,Cathflo 2 mg inj",alteplase,42229
"Alteplase,Cathflo 20mg/20mL syringe for i-arterial",alteplase in syringe,41
Amifostine 500 mg inj,amifostine,1
Amikacin Nebulized Soln.,amikacin,1
Amikacin Sulf. 1000mg/4mL inj,amikacin,591
Amikacin Sulfate 500 mg/ 2 mL inj,amikacin,1051
Amino Acid 3% UAC Line Fluid,amino acid 3% UAC,27
Amino Acid Injection 50gm/1000ml for Lutathera,Amino Acid Injection 50gm/1000ml for Lutathera,701
Amino Acids 10% (Trophamine) 500mL,amino acid 10%,14
Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,38
Amino Acids 3% and Glycerin 3% / Lytes (ProcalAmine) 1000 mL,Amino acid Lytes 3% / Glycerin 3%,13791
Aminocaproic 500 mg tab,aminocaproic acid,2
Aminocaproic 5gm/20 mL inj,aminocaproic acid,26876
Aminocaproic acid 250mg/mL oral syrup,aminocaproic acid,13
Aminophylline 250 mg/ 10 mL inj,aminophylline,4
Aminophylline 500 mg/ 20 mL inj,aminophylline,51
Aminophylline 5mg/mL for ped syringe,aminophylline/ns,1
Aminosyn II 10% Solution 2000 mL (amino acid injection),amino acids 10%,46
Amiodarone 150 mg/100 mL Bolus,amiodarone,3165
Amiodarone 150 mg/100 mL Bolus,amiodarone in iso-dex,792
Amiodarone 150 mg/100 mL iso-dex Bolus,amiodarone in iso-dex,30110
Amiodarone 150 mg/3 mL inj,amiodarone,639678
Amiodarone 200 mg tab,amiodarone,19
Amiodarone 450 mg/9 mL inj,amiodarone,46967
Amiodarone 900 mg Drip,amiodarone 900 mg drip,24
Amobarbital 500 mg inj,amobarbital,1
Amphotericin  liposomal  50 mg inj (Ambisome),amphotericin b liposome,6039
Amphotericin-B 50 mg inj,amphotericin B,19
Amphotericin-B 5mg/mL/D5W neonate syringe,amphotericin B in D5W syringe,1
Ampicillin 0.01mg/mL for Desensitization,ampicillin/ns for desensitization,3
Ampicillin 0.1mg/mL for Desensitization,ampicillin/ns for desensitization,3
Ampicillin 10 gm inj,ampicillin,580
Ampicillin 10mg/mL for Desensitization,ampicillin/ns for desensitization,3
Ampicillin 1gm IVPB,ampicillin in ns,4442
Ampicillin 1gm inj,ampicillin,2635
Ampicillin 2 gm inj,ampicillin,11900
Ampicillin 250 mg inj,ampicillin,87
Ampicillin 2gm IVPB,ampicillin in ns,36652
Ampicillin 500 mg inj,ampicillin,975
Ampicillin 500mg IVPB,ampicillin in ns,197
Ampicillin 50mg/mL for Desensitization,ampicillin/ns for desensitization,3
Ampicillin-Sulbactam  1.5gm inj,ampicillin-sulbactam,3210
Ampicillin-Sulbactam 3gm inj,ampicillin-sulbactam,14266
