formulary_name,med_name_generic,med_action_dose_unit
ClonIDINE HCl 0.1 mg tab,clonIDINE,3
ClonIDINE HCl 0.2 mg tab,clonIDINE,2
Clopidogrel 300mg tablet,clopidogrel,1
Clopidogrel 75 mg tab,clopidogrel,2
Coagulation Factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),215
Coagulation Factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),231
Coagulation Factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),42
Coagulation factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),49
Coagulation factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),642
Coagulation factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),14
Coagulation factor 7a (VIIa) 8000 mcg,coagulation factor VIIa,8
Cocaine 4% 4 mL top solution,cocaine 4%,14
Colistimethate 150 mg for Inhalation syringe,colistimethate inhalation in syringe,1
Colistimethate 150 mg inj,colistimethate,12062
Conivaptan 20mg/D5W 100mL,conivaptan/d5w,64
Copper chloride 0.4mg/mL 10mL inj,copper chloride,1186
Copper sulfate 0.4 mg/mL inj,copper sulfate,5
Corticorelin 100 mcg/2 mL  inj,corticorelin,2
Cosyntropin 0.25 mg inj,cosyntropin,3176
Cosyntropin 1mcg/mL/NS neonate syringe,cosyntropin in NS syringe,2
Cyanide Antidote Kit,sod thio-sod-amyl-nitr,1
"Cyanocobalamin 1,000 mcg/1 mL inj",cyanocobalamin,94
Cyanocobalamin 100 mcg tab,cyanocobalamin,1
Cyanocobalamin 1000 mcg tab,cyanocobalamin,4
CycloPHOSphamide 1gm/50 mL inj,cycloPHOSphamide,11472
CycloPHOSphamide 2 gm inj,cycloPHOSphamide,2
CycloSPORINE 100 mg/mL Sol(Sandimmune) 50 mL,cycloSPORINE,1
CycloSPORINE 250 mg/5 mL inj,cycloSPORINE,3077
Cyclophosphamide 500 mg inj,cyclophosphamide,418
Cyclophosphamide 500mg/25mL inj,cyclophosphamide,11
Cytarabine 100 mg / 5 mL inj,cytarabine,388
Cytarabine 2000 mg/20 mL inj,cytarabine,10392
Cytarabine 500 mg / 5 mL  inj,cytarabine,49
Cytomegalvirus Glob 2.5gm/50mL IV,cytomegalovirus globulin,345
D10W 0.2%NS 250  mL bag,d10.2ns,293
D10W 0.45%NS 250mL,D10W 0.45%NS,1
D10W 1000 mL IV bag,d10w,202556
D10W 25 gm/250 mL inj,D10W,7683
D10W 500 mL iv bag,d10w,9212
D12.5W 0.2%NS 250mL,D12.5W 0.2%NS,16
D12.5W 0.45%NS 250mL,D12.5W 0.45%NS,20
D12.5W 250ml,D12.5W,1
D15%W 250 ml,D15W,1
D20W 0.2%NS 250mL,D20W 0.2%NS,6
D20W 250mL,D20W,218
D20W 500 mL IV bag,dextrose 20%,51454
D25W 250mL,D25W,2
D5.2NS + 20 mEq KCl 1000 mL IV,d5w.2ns + kcl,745
D5.2NS + 40 mEq KCl 1000 mL IV,d5w.2ns + kcl,116
D5.2NS 1000 mL IV bag,d5.2ns,11363
D5.2NS 500 mL IV bag,d5.2ns,55
D5.45NS + 10 mEq KCl 1000 mL IV,d5.45ns + kcl,45322
D5.45NS + 20 mEq KCl 1000 ml  IV,d5.45ns + kcl,806311
D5.45NS + 30 mEq KCl 1000 mL IV,d5.45ns + kcl,1609
D5.45NS + 40 mEq KCl 1000 mL IV,d5.45ns + kcl,20045
D5.45NS 1000 mL IV bag,d5.45ns,1151341
D5.45NS 1000 mL for chemo,d5.45ns,1510
D5.45NS 500 mL IV bag,d5.45ns,1915
D5LR + 20 mEq KCl 1000mL,d5lr + kcl,2985
D5LR 1000 mL IV bag,d5lr,170271
D5LR 500 mL iv bag,D5LR,115
D5NS 1000 mL IV bag,d5ns,448514
D5NS 500 mL IV bag,d5ns,1043
D5NS+20 mEq KCl 1000 mL IV bag,d5ns + kcl,63122
D5W + 20 mEq KCl 1000 mL IV bag,d5w + kcl,10295
D5W 100 mL (Polyolefin),d5w (polyolefin),23702
D5W 100 mL IV bag,d5w,34853
D5W 100 mL IV bag chemo,d5w,114
D5W 1000 mL (Polyolefin),d5w (polyolefin),160
D5W 1000 mL (Polyolefin) for chemo,d5w (polyolefin),15
D5W 1000 mL IV bag,d5w,711070
D5W 1000 mL IV bag for chemo,d5w,221
D5W 150 mL IV bag,d5w,2668
D5W 150 mL IV bag for chemo,d5w,58
D5W 250 mL IV bag,d5w,195577
D5W 250 mL IV bag for chemo,d5w,350
D5W 250mL (Polyolefin),d5w (polyolefin),639400
D5W 250mL (Polyolefin) for chemo,d5w (polyolefin),223
D5W 50 mL IV bag,d5w,30895
D5W 50 mL IV bag for chemo,d5w,584
D5W 50 mL IV bottle,d5w btl,3
D5W 500 mL (Polyolefin),d5w (polyolefin),557952
D5W 500 mL (Polyolefin) for chemo,d5w (polyolefin) for chemo,782
D5W 500 mL IV bag,d5w,29085
D5W 500 mL IV bag for chemo,d5w,483
D5W 50mL (Polyolefin),d5w (polyolefin),7
D70W 1000mL IV bag,d70w,264
D70W 2000 mL IV bag,d70w,419
D70W 500 mL IV bag,d70w,118
DACTINOmycin 0.5 mg inj,DACTINOmycin,44
DAPTOmycin 350 mg inj,DAPTOmycin,16976
DAPTOmycin 50 mg/mL inj,DAPTOmycin,2526
DAUNOrubicin 20 mg inj,DAUNOrubicin,240
DAUNOrubicin 5 mg/ml injection,DAUNOrubicin,94
DOBUTamine 250 mg/20 mL inj,DOBUTamine,27450
DOBUTamine 250 mg/20 mL inj ADD,DOBUTamine,54
DOCEtaxel 10 mg/mL inj,DOCEtaxel,8
DOCEtaxel 20mg/1mL inj,DOCEtaxel,36
DOCEtaxel 80mg/4mL inj,DOCEtaxel,38
DOPamine 200 mg/5mL inj,DOPamine,996
DOPamine 400 mg/5 mL inj,DOPamine,1740
DOPamine 400mg/10mL inj,DOPamine,1526
DOXOrubicin  LYOPH 50mg for orderset only,DOXOrubicin LYOPH,2
DOXOrubicin  LYOPHILIZED 50mg inj,DOXOrubicin LYOPH,22
DOXOrubicin 2 mg/mL PF 25mL for orderset only,DOXOrubicin,112
DOXOrubicin 2 mg/mL PF soln. 25mL,DOXOrubicin,7396
DOXOrubicin PFS 10 mg/5 mL inj,DOXOrubicin,737
DOXOrubicin liposomal 2 mg/mL (Lipodox),DOXOrubicin liposomal,11
DOXOrubicin liposomal 20mg/ 10 mL inj,DOXOrubicin hcl liposome,78
Dacarbazine 200mg inj,dacarbazine,90
Dalbavancin 500 mg/25ml  inj,dalbavancin,162
Dalfopristin-Quinupristin 500 mg inj,dalfopristin-quinupristin,20
Dantrolene 100 mg cap,dantrolene,1
Dantrolene 20 mg inj,dantrolene,40
Dantrolene 250 mg inj,dantrolene,44
Daptomycin 500mg for IVPB,daptomycin,15274
Daptomycin 5mg/ml /LR 2mL lock soln.,daptomycin in LR lock soln.,7
Daratumumab 400mg/20mL inj.,daratumumab,4
Darbepoetin Alfa 25 mcg/0.42 mL syr.,darbepoetin alfa,47
Darbepoetin Alfa 40 mcg/0.4 mL syr.,darbepoetin alfa,219
Darbepoetin Alfa 40 mcg/0.4 mL syringe,darbepoetin alfa,2
Darbepoetin alfa 100 mcg/0.5 mL syr. For Dialysis,darbepoetin alfa,106
Darbepoetin alfa 100 mcg/0.5 mL syringe,darbepoetin alfa,145
Darbepoetin alfa 100 mcg/0.5 mL syringe- APPRISE,darbepoetin alfa,3
Darbepoetin alfa 150 mcg/0.3 mL syringe,darbepoetin alfa,11
Darbepoetin alfa 200 mcg/0.4 mL syringe,darbepoetin alfa,13
Darbepoetin alfa 60 mcg/0.3 mL syr.,darbepoetin alfa,1340
Darbepoetin alfa 60 mcg/0.3 mL syringe,darbepoetin alfa,29
Decitabine 50mg inj,decitabine,2107
Deferoxamine 500 mg inj,deferoxamine,184
Description Missing,Description Missing,1
Desmopressin 0.1 mg tab,desmopressin,4
Desmopressin 0.4 mcg/mL SubQ syringe,desmopress in syringe,54
Desmopressin 10mcg/inh 5mL nasal,desmopressin,2
Desmopressin 4 mcg/mL IV in syringe,desmopressin in syringe,449
Desmopressin 4 mcg/mL SubQ syringe,desmopressin in syringe,15
Desmopressin 4 mcg/mL inj,desmopressin,4858
Desmopressin 4 mcg/mL inj.,desmopressin,396
Dexamethasone 0.2mg/mL neonate syringe,Dexamethasone in syringe,5
Dexamethasone 0.5 mg tab,dexamethasone,1
Dexamethasone 10mg/NS IVPB,dexamethasone/ns,11
Dexamethasone 12mg/NS IVPB,dexamethasone/ns,23
Dexamethasone 2 mg tab,dexamethasone,2
Dexamethasone 20 mg/5 mL inj,dexamethasone,16655
Dexamethasone 20mg/NS IVPB,dexamethasone/ns,69
Dexamethasone 4 mg tab,dexamethasone,24
Dexamethasone 4 mg/1 mL inj,dexamethasone,314008
Dexamethasone 6  mg tab,dexamethasone,4
Dexamethasone 8 mg/NS IVPB,dexamethasone/ns,14
Dexamethson 10 mg/mL  10 mL inj,dexamethasone,177
Dexmedetomidine 200 mcg/2 mL inj,dexmedetomidine,101592
Dexmedetomidine 4 mcg/mL 20mL vial (for OR),dexmedetomidine,840
Dexrazoxane 250 mg inj cardio tox,dexrazoxane,16
Dextran 40/ 500 mL IV bag,dextran 40,257
Dextran 40/ 500 mL IV bag,dextran 40/ns,173
Dextran 40/D5W 500 mL IV bag,dextran 40/d5w,496
Dextran-Dextrose 32% inj 100 mL inj,dextran-dextrose 32%,18
Dextrose 10% 5 mL inj,dextrose 10%,13
Dextrose 10% in Water 250mL,D10W,191
Dextrose 10% in Water 250mL btl.,D10W,892
Dextrose 30% in Water 500mL,dextrose 30% water,1
Dextrose 50% 50 mL syringe,dextrose 50%,62572
Dextrose 50% 50 mL vial,dextrose 50%,8170
Diazepam 10 mg/2 mL inj,diazepam,13498
Diazepam 2 mg tab,diazepam,1
Diazepam 5 mg tab,diazepam,9
Dicyclomine 20 mg/2 mL inj,dicyclomine,4
Digoxin 0.05 mg/mL Elixir  60 mL,digoxin,1
Digoxin 0.5 mg/2 mL inj,digoxin,10268
Digoxin Immune Fab 40mg (Digifab),digoxin immune fab,49
Dihydroergotamine 1 mg/1 mL inj,dihydroergotamine,1950
Diltiazem 100 mg ADD-Vantage,diltiazem,31
Diltiazem 125 mg vial,diltiazem,40246
Diltiazem 25 mg/5 mL inj,diltiazem,13081
Diltiazem 50 mg/10 mL inj,diltiazem,50
DiphenhydrAMI 2.5 mg/mL liq 240 mL,diphenhydrAMINE,4
DiphenhydrAMINE 12.5mg/5mL Liq,diphenhydrAMINE liq,1
DiphenhydrAMINE 25 mg cap,diphenhydrAMINE,66
DiphenhydrAMINE 25 mg/10 mL liq,diphenhydrAMINE,10
DiphenhydrAMINE 25mg/NS IVPB,diphenhydrAMINE/ns,40
DiphenhydrAMINE 50 mg cap,diphenhydrAMINE,21
DiphenhydrAMINE 50 mg/1 mL inj,diphenhydrAMINE,284906
DiphenhydrAMINE 50mg/NS IVPB,diphenhydrAMINE/ns,202
Disposable elastomeric pump,disposable elastomeric pump,1
Docusate Sodium 100 mg cap,docusate,1
Dofetilide 250 mcg cap,dofetilide,1
Doripenem 250 mg inj,doripenem,62
Doripenem 500 mg inj,doripenem,8405
Doxorubicin 2  mg/ 1 mL inj,doxorubicin,26
Doxorubicin PFS 10mg/5mL inj,doxorubicin,38
Doxycycline 100 mg cap,doxycycline,3
Doxycycline 100 mg inj,doxycycline,6078
Doxycycline 100mg IVPB,doxycycline in ns,13361
Doxycycline 1mg/mL NS peds syringe,doxycycline/ns syringe,2
Doxycycline 50mg cap,doxycycline,1
Doxycycline hyclate 100 mg tab,doxycycline,7
Droperidol 0.625mg/2mL ns for OR,droperidol,88
Droperidol 2.5mg/mL inj,droperidol,131
ED-Calcium Gluconate 2gm IVPB for ED use only,calcium gluconate/ns,49
EPHEDrine 25mg/5ml (5mg/mL) syringe,ePHEDrine,8
EPHEDrine 50 mg/1 mL inj,ePHEDrine,25779
EPHEDrine 50 mg/10mL inj,ePHEDrine,16
EPHEDrine 5mg/mL OR syringe,ePHEDrine,152790
EPInephrine 0.3mg Auto-injector,EPInephrine hcl,4
EPInephrine 1 mg/ 1 mL inj,EPInephrine,36048
EPInephrine 1 mg/10 mL inj,EPInephrine,2843
EPInephrine 160mcg Syr OR,EPInephrine,1245
EPInephrine 1mg/ml 30 mL inj,EPInephrine,160479
EPIrubicin 2 mg / 1 mL inj,EPIrubicin,1
Eculizumab 300 mg/30mL inj.,eculizumab,65
Edrophonium 10 mg/mL 15 mL inj,edrophonium,1
Edrophonium 10 mg/mL per mL,edrophonium,8
Empty Container,Empty Container,40939
Empty Container Non-DEHP,Empty Container Non-DEHP,4
Enalaprilat 1.25 mg/1 mL inj,enalapril,446
Enalaprilat 2.5 mg/2 mL inj,enalaprilat,3341
Enoxaparin 100 mg/ 1 mL inj,enoxaparin,270
Enoxaparin 120 mg/ 0.8 mL  inj,enoxaparin,2
Enoxaparin 20 mg/ 0.2 mL syringe,enoxaparin syringe,3
Enoxaparin 30 mg/0.3 mL inj,enoxaparin,163
Enoxaparin 40 mg/ 0.4 mL inj,enoxaparin,4
Enoxaparin 60 mg/ 0.6 mL inj,enoxaparin,2
Epidural Infusion,Epidural Infusion,2
"Epoetin 10,000 units/ 1 mL inj",epoetin,4614
"Epoetin 2,000 units/ 1 mL inj",epoetin alfa,139
"Epoetin 20,000 units inj",epoetin,1277
"Epoetin 40,000 units/ 1 mL",epoetin,71
Epoetin 4000 units/1 mL inj,epoetin alfa,257
"Epoetin alfa-epbx (Retacrit) 10,000 units/1 mL inj",epoetin alfa-epbx,1302
"Epoetin alfa-epbx (Retacrit) 2,000 units/1 mL inj",epoetin alfa-epbx,73
"Epoetin alfa-epbx (Retacrit) 20,000 units/1 mL inj",epoetin alfa-epbx,406
"Epoetin alfa-epbx (Retacrit) 40,000 units/1 mL inj",epoetin alfa-epbx,62
Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol diluent,51
Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol/Flolan diluent,4417
Epoprostenol  Diluent 50mL vial,epoprostenol diluent,13
Epoprostenol  Diluent 50mL vial,epoprostenol/Flolan diluent,924
Epoprostenol 0.5 mg inj,epoprostenol,18956
"Epoprostenol 1,000,000 ng (1mg) inhale (Veletri)",epoprostenol inhale,39
Epoprostenol 1.5 mg inj.,epoprostenol,2404
"Epoprostenol 500,000 ng (0.5mg) inhale (Veletri)",epoprostenol inhale,9
Epoprostenol CADD Conc-Dose-Rate Confirm,Epoprostenol CADD Conc-Dose-Rate Confirm,5
Epoprostenol Cassette,Epoprostenol cassette,18
Epoprostenol Cassette,flolan casstte,6
Eptifibatide 2 mg/mL 10 mL bolus inj,eptifibatide,40
Eribulin 1mg/2mL inj,eribulin,2
Ertapenem 1000 mg inj,ertapenem,24830
Erythromycin 500 mg inj,erythromycin,11899
Esmolol 100 mg/10 mL inj,esmolol,854
Esmolol 10mg/mL OR syringe,esmolol,2216
Esmolol 2.5 gm/10 mL inj,esmolol,21
Estradiol 1 mg tab,estradiol,1
Estrogens 25 mg/5 mL inj.,"estrogens, conjugated",398
Ethacrynate 50 mg/50 mL inj,ethacrynate,249
Ethanol Lock soln 70% 3mL,ethanol 70% lock soln.,6
Ethiodized Oil (37% iodine) 10 mL inj,ethiodized oil (37% iodine),1
Ethiodized Oil 480mg/mL,ethiodized oil,1
Etomidate 10mg/5mL syringe,etomidate,7
Etomidate 2 mg/mL  20 mL inj,etomidate,1001
Etomidate 2 mg/mL inj 10mL,etomidate,5292
Etoposide 100 mg / 5 mL,etoposide,11606
Etoposide 500 mg/25 mL inj,etoposide,4403
Factor 7a (VIIa),coagulation factor 7a (VIIa),952
Factor 8 (VIII) bolus,Factor 8 (VIII) in syringe,205
Factor 8 (VIII) injection,Factor 8 (VIII) inj,1272
Factor 9 (IX) inj,factor 9 (IX),197
Factor 9 (IX) inj Bolus,factor 9 (IX) in syringe,49
"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine,42
"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine (Obizur),1
"Factor VIII (Antihemophilic Factor, Recomb Porcine) (Obizur)",factor 8 porcine,24
Factor7a (VIIa) 2000 mcg (OR CHARGE),coagulation factor VIIa,3
Famotidine 20 mg for Hyperal only,famotidine,486069
Famotidine 20 mg tab,fAMOTIDine,42
Famotidine 20 mg/2 mL inj,fAMOTIDine,322358
Famotidine 20mg/NS IV syringe,famotidine/ns in syringe,12
Famotidine 2mg/mL/NS neonate syringe,fAMOTIDine in NS syringe,4
Famotidine 40 mg tab,fAMOTIDine,4
Famotidine 40 mg/4 mL inj,fAMOTIDine,66
Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20%,15416
Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20% (Intralipid),5486
Fat Emulsion 20% 500mL,fat emulsion 20%,3
Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syr (Intralipid),5
Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syringe,66
"Fat emulsion, 20% 100mL (Neonate)",fat emulsion 20% (Intralipid),138
"Fat emulsion, 20% 100mL (Neonate)","fat emulsion 20%, intravenous",436
"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)",fat emulsion 20%(Smoflipid),5112
"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)","fat emulsion, intravenous 20%",2174
"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),359
"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)","fat emulsion, intravenous 20%",49
"Fat emulsion,intravenous (fish oil) 20% 1000mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),1806
FentaNYL 50 mcg/mL 10mL inj,fentaNYL,33
FentaNYL PCA/NCA 10mcg/mL 50mL syringe,fentaNYL pca/nca,1669
Fentanyl  2.5 mg / 50 mL Drip,fentanyl citrate,4
Fentanyl 100 mcg buccal tab,fentaNYL,1
Fentanyl 100 mcg/hr patch,fentanyl,3
Fentanyl 1000 mcg/20 mL inj,fentanyl,3731
Fentanyl 100mcg/2 mL inj,fentanyl,493768
Fentanyl 10mcg/ml 60mL Syringe,fentanyl syringe,46654
Fentanyl 12 mcg/hr patch,fentanyl,2
Fentanyl 200 mcg lozenge,fentanyl,2
Fentanyl 25 mcg/hr patch,fentanyl,4
Fentanyl 250 mcg/5 mL inj,fentanyl,3700
Fentanyl 50 mcg/hr patch,fentanyl,2
Fentanyl 75 mcg/hr patch,fentanyl,4
Fentanyl Patch Removal,fentanyl patch removal,2
Ferrlecit 62.5 mg/5 mL inj,ferric gluconate sodium complex,31
Ferumoxytol 510mg/17mL inj,ferumoxytol,915
Fibrinogen concentrate (Human),fibrinogen,8
Filgrastim 480 mcg/0.8 mL syr,filgrastim,3
Fluconazole 100 mg tab,fluconazole,1
Fluconazole 100mg/50mL NS,fluconazole in ns,3441
Fluconazole 200 mg tab,fluconazole,7
Fluconazole 200 mg/5 mL liq 35 mL,fluconazole,78
Fluconazole 200mg/100mL NS premix,fluconazole in ns,17825
Fluconazole 400mg/200mL D5W ivpb,fluconazole,306
Fluconazole 400mg/200mL D5W ivpb,fluconazole in d5w,21
Fluconazole 400mg/200mL NS premix,fluconazole in ns,19250
Fluconzole 2mg/mL/NS neonate syringe,fluconazole in NS syringe,65
Fludarabine 50  mg inj,fludarabine,4111
Flumazenil 0.5 mg/5 mL inj,flumazenil,1368
Flumazenil 0.5 mg/5 mL syringe,flumazenil,7
Fluorescein 10% 5mL inj,fluorescein 10%,500
Fluorescein 1mg ophth strip,fluorescein,2
Fluorouracil 50 mg/mL inj,fluorouracil,602
Folic Acid 1mg/mL Ped oral syringe,folic acid ped liq,1
Folic Acid 50 mg/10 mL inj,folic acid,141441
Fomepizole 1500mg/1.5mL,fomepizole,131
Fosaprepitant 150 mg inj.,fosaprepitant,2680
Foscarnet 6 gm/250 mL IVPB (Central Line),foscarnet,3252
Fosphenytoin 100 mgpe/2 mL inj,fosphenytoin,20113
Fosphenytoin 10mgPE/mL/NS neonate syringe,fosphenytoin in NS syringe,33
Fosphenytoin 500 mgpe/10 mL inj,fosphenytoin,4159
Furosemide 100 mg/10 mL inj,fUROSEMide,236562
Furosemide 100 mg/10 mL inj ADD,fUROSEMide add,257943
Furosemide 10mg/mL Ped oral syringe,fUROSEMide ped liq,9
Furosemide 20 mg tab,fUROSEMide,3
Furosemide 20 mg/2 mL inj,fUROSEMide,73166
Furosemide 2mg/mL/NS neonate syringe,furosemide in NS syringe,171
Furosemide 40 mg/4 mL inj,fUROSEMide,359402
Furosemide 40 mg/5 mL liq,fUROSEMide,4
Furosemide 80 mg tablet,fUROSEMide,18
Gabapentin 100 mg cap,gabapentin,17
Gabapentin 300 mg cap,gabapentin,444
Gabapentin 300 mg/6 mL liq (60 mL),gabapentin,1
Gabapentin 400 mg cap,gabapentin,13
Ganciclovir 500 mg inj,ganciclovir sodium,12218
Ganciclovir 5mg/mL/NS neonate syringe,ganciclovir in NS syringe,33
Gemcitabine 200 mg inj,gemcitabine,56
Gemcitabine 38 mg/mL inj,gemcitabine,263
Gentamcin 120 mg/100mL NS premix,gentamicin in ns,1066
Gentamicin 100 mg/100 mL NS premix,gentamicin in ns,326
Gentamicin 100 mg/50 mL NS premix,gentamicin in ns,1293
Gentamicin 2mg/mL/NS neonate syringe,gentamicin in NS syringe,408
Gentamicin 4mg/mL/NS neonate syringe,gentamicin in NS syringe,90
Gentamicin 60 mg/50 mL NS premix,gentamicin in ns,2045
Gentamicin 80 mg/100mL NS premix,gentamicin in ns,928
Gentamicin 80 mg/2 mL inj,gentamicin,1717
Gentamicin 80 mg/50 mL NS premix,gentamicin in ns,8514
Gentamicin 800 mg/20 mL inj,gentamicin,6052
Gentamicin 8mg Intrathecal syringe,gentamicin intrathecal syringe,1
Glucagon 1 mg w/diluent inj,glucagon,4174
Glucose 25% 10mL inj,glucose,1
Glycopyrolate Inj for PO (Peds),glycopyrolate,11
Glycopyrrolate 0.2 mg/1 mL 5mL OR syringe,glycopyrrolate,27
Glycopyrrolate 0.2 mg/1 mL inj,glycopyrrolate,84111
Glycopyrrolate 0.2 mg/mL 20 mL inj,glycopyrrolate,30
Glycopyrrolate 0.2 mg/mL 5mL inj,glycopyrrolate,160
Glycopyrrolate 0.2 mg/mL syringe,glycopyrrolate,153
Glycopyrrolate 1 mg tab,glycopyrrolate,8
Glycopyrrolate 10 mcg/mL neonate syringe,glycopyrrolate,1
Glycopyrrolate 200mcg/mL oral neonate,glycopyrrolate,9
Granisetron 1 mg/1 mL inj,granisetron,6827
HYDROmorphone 0.5 mg/ 0.5mL,HYDROmorphone,267367
HYDROmorphone 0.5 mg/1ml,HYDROmorphone,141
HYDROmorphone 10mg/mL 50 mL inj for PCA,HYDROmorphone,2104
HYDROmorphone 2 mg/mL INJ,HYDROmorphone,39635
HYDROmorphone 4 mg/mL inj,HYDROmorphone,13995
HYDROmorphone PCA/NCA 1 mg/mL /NS syr,HYDROmorphone PCA/NCA 1 mg/ml NS syr,513
HYDROmorphone PF 10 mg/mL inj,HYDROmorphone PF,4782
HYDROmorphone PF 10 mg/mL inj ADD,HYDROmorphone,24953
Haloperidol 0.5 mg tab,haloperidol,5
Haloperidol 5 mg/1 mL inj,haloperidol,63653
Haloperidol decanoate 50 mg/ 1 mL inj,haloperidol,3
"HePARIN (1000unit/mL)10,000 units/10 mL inj",hePARIN,71072
"HePARIN 1,000 units/500 mL NS bag",hePARIN/ns,78
"HePARIN 1,000 units/mL 30 mL inj",hePARIN,213
"HePARIN 10,000 units/1 mL inj",hePARIN,1332
HePARIN 100 units /1 mL Flush PF,hePARIN flush pf,1241
HePARIN 100 units/mL 10mL syr.,hePARIN flush,17
HePARIN 1000 units/1 mL inj,hePARIN,11435
HePARIN 10000 units/1mL injection,hePARIN,90
"HePARIN 2,000 units/1,000 mL NS bag",hePARIN/ns,469
"HePARIN 30,000 unit(s)/NS 1000mL (EUOSH)",hePARIN in NS,1
"HePARIN 40,000 units/4 mL inj",hePARIN,1
"HePARIN 5,000 unit inj",hePARIN,20313
"HePARIN 5,000 units/ mL 10 mL inj",hePARIN,9
HePARIN 500 unit/5 mL Flush inj,hePARIN sodium-sodium chloride,4599
HePARIN Beef 10000 units/10mL inj,hePARIN beef,6
HePARIN Flush 100 Units/ mL 3 mL,hePARIN,12
HePARIN Flush neonate 1unit/mL in 1/2NS (Art-line),hePARIN flush in 1/2 NS neonate,172
HePARIN IR 1000 unit/mL/4 mL ADD,heparin,5928
Hemin 313 mg inj,hemin,90
Heparin 2000 unit/2mL inj,heparin,4
Heparin 4units/mL 1000mL (Neuro-Intervent Radiology),heparin in ns,11
Hepatitis B Immune Glob 5 mL inj (Hepagam B),hepatitis b im.glob,49
Hepatitis B immune globulin 1mL inj,hepatitis B immune globulin,1
Hetastarch 6%/ LR 500 mL bag,hetastarch 6% / lr,1519
Hetastarch 6%/ NaCl 0.9% 500 mL bag,hetastarch 6% / ns,88
Hexaminolevulinate 100mg kit inj,hexaminolevulinate,1
Hyaluronidase 15 units/mL/NS neonate syringe,hyaluronidase in NS syringe,2
Hyaluronidase 150 units/mL inj,hyaluronidase,1
HydrALAZINE 10 mg tab,hydrALAZINE,14
HydrALAZINE 1mg/mL/NS neonate syringe,hydrALAZINE in NS syringe,4
HydrALAZINE 20 mg/1 mL inj,hydrALAZINE,285599
HydrALAZINE 25 mg tab,hydrALAZINE,1
HydrALAZINE 4 mg/mL Ped oral syringe,hydrALAZINE ped liq,25
HydrALAZINE 50 mg tab,hydrALAZINE,20
HydrOXYzine HCL 10 mg tab,hydrOXYzine,1
HydrOXYzine HCl 25 mg/mL inj,hydrOXYzine,43
Hydrocortisone  250 mg inj,hydrocortisone,27
Hydrocortisone  250 mg inj,hydrocortisone ss,7
Hydrocortisone 10 mg tab,hydrocortisone,2
Hydrocortisone 100 mg/2 mL for study,hydrocortisone/PBO,21
Hydrocortisone 100 mg/2 mL inj,hydrocortisone,190042
Hydrocortisone 100mg/60mL enema,hydrocortisone,1
Hydrocortisone 5 mg tab,hydrocortisone,2
Hydrocortisone 500 mg inj,hydrocortisone,233
Hydrocortisone PF 100mg/2mL inj,hydrocortisone,280
Hydrocortisone pf 1mg/mL/NS neonate syringe,hydrocortisone in NS syringe,542
Hydrocortisone pf 2mg/mL/NS neonate subq syr.,hydrocortisone in NS syringe,23
Hydrocortisone pf 2mg/mL/NS neonate syringe,hydrocortisone in NS syringe,1
Hydromorphone 0.4mg/mL+Ketamine 1mg/mL PCA (ortho OR),hydromorphone  0.4mg+ ketamine 1mg pca,49
Hydromorphone 1 mg/mL inj,hydromorphone,928746
Hydromorphone 10 mg/mL 5 mL inj,hydromorphone,1809
Hydromorphone 10 mg/mL 5 mL inj,hydromorphone-HP,482
Hydromorphone 2 mg tab,hydromorphone,11
Hydromorphone 2 mg/1 mL inj,hydromorphone,262327
Hydromorphone 2 mg/mL inj.,hydromorphone,131529
Hydromorphone 4 mg tab,hydromorphone,3
Hydromorphone 40 mg/20 mL inj,hydromorphone,11927
Hydromorphone PCA 0.2mg/ml Syr.,hydromorphone PCA 0.2mg Syr.,20544
Hydromorphone PCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr,15434
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml in NS syr.,8218
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr,53939
Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr.,21378
