formulary_name,med_name_generic,med_action_dose_unit
ANES Tranexamic acid 50 mg/mL inj,tranexamic acid,Not Recorded
ANES Vasopressin 2 units/mL inj,vasopressin,Not Recorded
ANES Vecuronium 1 mg/mL inj,vecuronium,Not Recorded
ANES Verapamil 2.5 mg/mL inj,verapamil,Not Recorded
ANES albuterol CFC free 90 mcg/inh,albuterol,Not Recorded
ANES amiodarone 750 mg/500 mL D5W Premix,amiodarone 750mg/500mL D5W drip,Not Recorded
ANES basiliximab 20mg/50 mL NS,basiliximab,Not Recorded
ANES bivalirudin 250 mg / 50 mL NS,bivalirudin,Not Recorded
ANES bupivacaine 0.25%/ns epidural,bupivacaine 0.25%/ns epidural,Not Recorded
ANES cisatracurium 2 mg/mL 10 mL inj,cisatracurium,Not Recorded
ANES citric acid-sodium citrate soln,citric acid-na citrate,Not Recorded
ANES desmopressin 40 mcg/50 mL NS,ANES desmopressin,Not Recorded
"ANES epoprostenol 20,000ng/mL inhale",epoprostenol inhale,Not Recorded
ANES hePARIN 1000 units/mL 1 mL inj,hePARIN,Not Recorded
ANES ketamine 10 mg/1 mL,ketamine,Not Recorded
ANES ketamine 100 mg/1 mL,ketamine,Not Recorded
ANES ketamine 200 mg/50 mL drip,ketamine,Not Recorded
ANES levothyroxine 0.4 mcg/mL IV,levothyroxine,Not Recorded
ANES methocarbamol 500 mg/50 mL NS,methocarbamol,Not Recorded
ANES methylPREDNISolone 500 mg/50 mL NS,methylPREDNISolone,Not Recorded
ANES micafungin 1.5 mg/mL,micafungin,Not Recorded
ANES mycophenolate 750mg/250 mL D5W,mycophenolate mofetil,Not Recorded
ANES niCARdipine 40 mg/200mL NS  Drip std*,ANES niCARdipine/NS drip,Not Recorded
ANES oxytocin 10 units/mL,oxytocin,Not Recorded
"ANES penicillin 2,000,000 U/50 mL IVPB",penicillin 2MU IVPB,Not Recorded
ANES protAMINE 10 mg/mL inj,protAMINE,Not Recorded
ANES sugammadex 100 mg/mL soln,sugammadex,Not Recorded
ANES vasopressin 20 unit/50 mL NS drip,vasopressin 100 drip,Not Recorded
ANES vasopressin 20 unit/50 mL NS drip,vasopressin 200 drip,Not Recorded
ANES vasopressin 20 unit/50 mL NS drip,vasopression 20 unit drip,Not Recorded
ANES verapamil 100 mcg/mL CATH LAB,verapamil,Not Recorded
ANESMycophenolate 500 mg inj,mycophenolate,Not Recorded
Abatacept 250 mg inj,abatacept,Not Recorded
Abciximab 10 mg/5 mL inj,abciximab,Not Recorded
Abciximab 10 mg/5 mL inj ADD,abciximab ADD,Micrograms/Minute
AcetaZOLAMIDE 250 mg tab,acetaZOLAMIDE,Not Recorded
AcetaZOLAMIDE 500 mg inj,acetaZOLAMIDE,Not Recorded
Acetaminophen 100 mg/mL Ped liq BULK btl.,acetaminophen,Not Recorded
Acetaminophen 1000mg/100mL IVPB,acetaminophen,Not Recorded
Acetaminophen 100mg/mL Ped oral syringe,acetaminophen ped liq,Not Recorded
Acetaminophen 120 mg supp,acetaminophen,Not Recorded
Acetaminophen 160 mg/5 mL liq. 120mL,acetaminophen,Not Recorded
Acetaminophen 325 mg supp,acetaminophen,Not Recorded
Acetaminophen 325 mg tab,acetaminophen,Not Recorded
Acetaminophen 650 mg supp,acetaminophen,Not Recorded
Acetaminophen 650/20.3  mL liq,acetaminophen,Not Recorded
Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,acetylcholine i-cornonary low conc.,Not Recorded
Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,acetylcholine i-cornonary High conc.,Not Recorded
Acetylcysteine 10% Sol 10 mL,acetylcysteine 10%,Not Recorded
Acetylcysteine 20% High dose oral 2000mg,acetylcysteine 20%,Not Recorded
Acetylcysteine 20% IV injection,acetylcysteine,Not Recorded
Acetylcysteine 20% IV injection,acetylcysteine 20%,Not Recorded
Acetylcysteine 20% IV injection,acetylcysteine 20% injection,Not Recorded
Acyclovir 1gm inj,acyclovir,Not Recorded
Acyclovir 500 mg inj,acyclovir,Not Recorded
Acyclovir 500mg/10mL inj,acyclovir,Not Recorded
Acyclovir 7mg/mL/NS neonate syringe,acyclovir in NS syringe,Not Recorded
Acyclovir 800 mg tablet,acyclovir,Not Recorded
Adenosine 180 mg/90 mL D5W DBL CATH LAB,adenosine dbl drip,Not Recorded
Adenosine 3 mg/mL inj 20mL for cath lab,adenosine,Not Recorded
Adenosine 3 mg/mL inj 30mL Nuc Med/CARD MRI,adenosine,Not Recorded
Adenosine 3 mg/mL inj 30mL Nuclear Medicine,adenosine,Not Recorded
Adenosine 3mg/mL iv neonate,adenosine,Not Recorded
Adenosine 5mg/250mL NS CATH LAB,adenosine/ns,Not Recorded
Adenosine 6 mg/2 mL inj,adenosine,Not Recorded
Adenosine 90 mg/NS 50mL,adenosine,Not Recorded
Ado-Trastuzumab emtansine 100mg inj.,ado-trastuzumab emtansine,Not Recorded
Al/Mg hydrox/Simeth (Maalox) liq,Al/Mg hydrox/Simeth liq,Not Recorded
Al/Mg hydrox/Simeth (Maalox) liq 30mL UD,Al/Mg hydrox/Simeth (Maalox) liq,Not Recorded
Albumin 5% 50 mL (2.5gm) inj,albumin 5%,Not Recorded
Albumin Human 25% 100mL,albumin 25%,Not Recorded
Albumin Human 25% 50mL,albumin 25%,Not Recorded
Albumin Human 5% 250 mL,albumin 5%,Not Recorded
Albumin Human 5% 500 mL (OR USE ONLY),albumin 5%,Not Recorded
Albuterol 5 mg/mL inhale 20mL soln.,albuterol,Not Recorded
Albuterol 70mg (10mg/hr) cont. inhalation,albuterol inhale,Not Recorded
Albuterol Aerosol Inhaler,albuterol inhaler,Not Recorded
Albuterol Aerosol Inhaler (Selfuse),albuterol,Not Recorded
Albuterol Aerosol Inhaler (WW),albuterol,Not Recorded
Albuterol CFC free 90 mcg/inh aero,albuterol,Not Recorded
Albuterol CFC free 90 mcg/inh aero.,albuterol,Not Recorded
Alcohol (Dehydrated) 1mL inj,ethyl alcohol,Not Recorded
"Alcohol, Ethyl (Dehydrated) 5 mL inj","alcohol, ethyl",Not Recorded
"Aldesleukin 22,000,000 unit(s) inj",aldesleukin,Not Recorded
Alemtuzumab 30 mg/mL inj,alemtuzumab,Not Recorded
Allopurinol 500 mg inj,allopurinol,Not Recorded
Alprazolam 0.5 mg tab,alprazolam,Not Recorded
Alprostadil 500 mcg inj,alprostadil,Not Recorded
Alteplase 100 mg inj,"alteplase, t-pa",Not Recorded
Alteplase 100 mg inj ADD,"alteplase, t-pa ADD",Not Recorded
Alteplase 1mg/mL for Stroke protocol use only,alteplase,Not Recorded
Alteplase 2 mg inj for drip,alteplase for drip,Not Recorded
Alteplase 30mg/30mL NS for Chest Tube,alteplase in syringe,Not Recorded
Alteplase 50 mg inj,alteplase,Not Recorded
Alteplase 50 mg inj ADD,"alteplase, t-pa ADD",Not Recorded
Alteplase Intrathecal/Intravent syringe,alteplase intra-thecal syringe,Not Recorded
"Alteplase,Cathflo 2 mg inj",alteplase,Not Recorded
"Alteplase,Cathflo 20mg/20mL syringe for i-arterial",alteplase in syringe,Not Recorded
Amifostine 500 mg inj,amifostine,Not Recorded
Amikacin Nebulized Soln.,amikacin,Not Recorded
Amikacin Sulf. 1000mg/4mL inj,amikacin,Not Recorded
Amikacin Sulfate 500 mg/ 2 mL inj,amikacin,Not Recorded
Amino Acid 3% UAC Line Fluid,amino acid 3% UAC,Not Recorded
Amino Acid Injection 50gm/1000ml for Lutathera,Amino Acid Injection 50gm/1000ml for Lutathera,Not Recorded
Amino Acids 10% (Trophamine) 500mL,amino acid 10%,Not Recorded
Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Not Recorded
Amino Acids 3% and Glycerin 3% / Lytes (ProcalAmine) 1000 mL,Amino acid Lytes 3% / Glycerin 3%,Not Recorded
Aminocaproic 500 mg tab,aminocaproic acid,Not Recorded
