formulary_name,med_name_generic,med_action_dose_unit
Cefepime 2gm Desensitization Rx Protocol- initiate,Cefepime 2gm Desensitization Rx Protocol- initiate,Not Recorded
Cefotaxime 1 gm inj,cefotaxime,Not Recorded
Cefotaxime 50mg/mL neonate syringe,cefotaxime in syringe,Not Recorded
Cefoxitin 1gm in Iso Dex,cefoxitin in iso dex,Not Recorded
Cefoxitin 1gm in NS,cefOXitin in NS,Not Recorded
Cefoxitin 2gm in Iso Dex,cefoxitin in iso dex,Not Recorded
Cefoxitin 2gm in NS,cefOXitin in NS,Not Recorded
Ceftaroline 400 mg inj,ceftaroline,Not Recorded
Ceftaroline 600 mg inj,ceftaroline,Not Recorded
Ceftazidime 10mg/mL 2mL lock soln.,ceftazidime lock soln.,Not Recorded
Ceftolozane-Tazobactam 1500mg inj,ceftolozane-tazobactam,Not Recorded
Ceftriaxone 1gm/ 50mL NS,ceftriaxone in NS,Not Recorded
Ceftriaxone 1gm/50 mL Iso-Dex,ceftriaxone in iso-dex,Not Recorded
Ceftriaxone 1gm/50 mL NS,ceftriaxone in NS,Not Recorded
Ceftriaxone 250 mg for neonate,ceftriaxone,Not Recorded
Ceftriaxone 250 mg inj,ceftriaxone,Not Recorded
Ceftriaxone 250mg/mL IM neonate syringe,ceftriaxone,Not Recorded
Ceftriaxone 2gm/50 mL Iso-Dex,ceftriaxone in Iso-Dex,Not Recorded
Ceftriaxone 2gm/50 mL NS,ceftriaxone in NS,Not Recorded
Ceftriaxone 40mg/mL/ neonate syringe,ceftriaxone in syringe,Not Recorded
Ceftriaxone 40mg/mL/NS neonate syringe,ceftriaxone in NS syringe,Not Recorded
Cefuroxime 1500 mg inj,cefuroxime,Not Recorded
Cefuroxime 1500mg/NS 100mL IVPB,cefuroxime in ns,Not Recorded
Cefuroxime 750 mg inj,cefuroxime,Not Recorded
Cefuroxme 1.5 gm/50 mL Iso-Dex,cefuroxime in iso-dex,Not Recorded
Celecoxib 100 mg cap,celecoxib,Not Recorded
Celecoxib 200 mg cap,celecoxib,Not Recorded
Central Parenteral Nutrition,Central Parenteral Nutrition (hyperal),Not Recorded
Central TPN,Central TPN,Not Recorded
Cetuximab 2 mg/mL 100mL,cetuximab,Not Recorded
Chloramphenicol 1gm inj,chloramphenicol,Not Recorded
Chloraseptic throat spray,chloraseptic,Not Recorded
Chloroprocane-MPF 3% inj,chloroprocaine 3%,Not Recorded
Chlorothiazide 125 mg in syringe,chlorothiazide syringe,Not Recorded
Chlorothiazide 250 mg in syringe,chlorothiazide syringe,Not Recorded
Chlorothiazide 250 mg tab,chlorothiazide,Not Recorded
Chlorothiazide 50 mg/1 mL liq Extemp,chlorothiazide,Not Recorded
Chlorothiazide 500 mg inj,chlorothiazide,Not Recorded
Chlorothiazide 500 mg injection,chlorothiazide,Not Recorded
ChlorproMAZINE 25 mg/1 mL inj,chlorproMAZINE,Not Recorded
Chromic 4 mcg/ml Inj,chromic chloride,Not Recorded
Cidofovir 375 mg/ 5mL inj,cidofovir,Not Recorded
Ciprofloxacin 200 mg/20 mL inj,ciprofloxacin,Not Recorded
Ciprofloxacin 400 mg/40 mL inj,ciprofloxacin,Not Recorded
Ciprofloxacin 500 mg tab,ciprofloxacin,Not Recorded
Cisatracurium 10 mg/mL  20 mL inj,cisatracurium,Microgram/Kilogram/Minute
Cisatracurium 2 mg/mL 10 mL inj,cisatracurium,Not Recorded
Cisatracurium 2mg/mL 10mL syringe,cisatracurium,Not Recorded
Citric Acid-Na Citrate (Bicitra)30 mL,citric acid-na citrate,Not Recorded
Cladribine 10 mg/10 mL inj,cladribine,Not Recorded
Clindamycin 15 mg/mL 100mL susp,clindamycin,Not Recorded
Clindamycin 600 mg inj,clindamycin,Not Recorded
Clindamycin 600 mg/50 mL D5W,clindamycin in d5w,Not Recorded
Clindamycin 900 mg inj,clindamycin,Not Recorded
Clindamycin 900 mg/50 mL D5W,clindamycin in d5w,Not Recorded
Clindamycin 900 mg/50mL NS IVPB,clindamycin in ns,Not Recorded
ClonIDINE 0.3 mg/24 hr patch,clonIDINE,Not Recorded
ClonIDINE HCl 0.1 mg tab,clonIDINE,Not Recorded
ClonIDINE HCl 0.2 mg tab,clonIDINE,Not Recorded
Clopidogrel 300mg tablet,clopidogrel,Not Recorded
Clopidogrel 75 mg tab,clopidogrel,Not Recorded
Coagulation Factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded
Coagulation Factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded
Coagulation Factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded
Coagulation factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),Not Recorded
Coagulation factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),Not Recorded
Coagulation factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),Not Recorded
Coagulation factor 7a (VIIa) 8000 mcg,coagulation factor VIIa,Not Recorded
Cocaine 4% 4 mL top solution,cocaine 4%,Not Recorded
Colistimethate 150 mg for Inhalation syringe,colistimethate inhalation in syringe,Not Recorded
Colistimethate 150 mg inj,colistimethate,Not Recorded
Conivaptan 20mg/D5W 100mL,conivaptan/d5w,Not Recorded
Copper chloride 0.4mg/mL 10mL inj,copper chloride,Not Recorded
Copper sulfate 0.4 mg/mL inj,copper sulfate,Not Recorded
Corticorelin 100 mcg/2 mL  inj,corticorelin,Not Recorded
Cosyntropin 0.25 mg inj,cosyntropin,Not Recorded
Cosyntropin 1mcg/mL/NS neonate syringe,cosyntropin in NS syringe,Not Recorded
Cyanide Antidote Kit,sod thio-sod-amyl-nitr,Not Recorded
"Cyanocobalamin 1,000 mcg/1 mL inj",cyanocobalamin,Not Recorded
Cyanocobalamin 100 mcg tab,cyanocobalamin,Not Recorded
Cyanocobalamin 1000 mcg tab,cyanocobalamin,Not Recorded
CycloPHOSphamide 1gm/50 mL inj,cycloPHOSphamide,Not Recorded
CycloPHOSphamide 2 gm inj,cycloPHOSphamide,Not Recorded
CycloSPORINE 100 mg/mL Sol(Sandimmune) 50 mL,cycloSPORINE,Not Recorded
CycloSPORINE 250 mg/5 mL inj,cycloSPORINE,Not Recorded
Cyclophosphamide 500 mg inj,cyclophosphamide,Not Recorded
Cyclophosphamide 500mg/25mL inj,cyclophosphamide,Not Recorded
Cytarabine 100 mg / 5 mL inj,cytarabine,Not Recorded
Cytarabine 2000 mg/20 mL inj,cytarabine,Not Recorded
Cytarabine 500 mg / 5 mL  inj,cytarabine,Not Recorded
Cytomegalvirus Glob 2.5gm/50mL IV,cytomegalovirus globulin,Not Recorded
D10W 0.2%NS 250  mL bag,d10.2ns,Not Recorded
D10W 0.45%NS 250mL,D10W 0.45%NS,Not Recorded
D10W 1000 mL IV bag,d10w,Not Recorded
D10W 25 gm/250 mL inj,D10W,Not Recorded
D10W 500 mL iv bag,d10w,Not Recorded
D12.5W 0.2%NS 250mL,D12.5W 0.2%NS,Not Recorded
D12.5W 0.45%NS 250mL,D12.5W 0.45%NS,Not Recorded
D12.5W 250ml,D12.5W,Not Recorded
D15%W 250 ml,D15W,Not Recorded
D20W 0.2%NS 250mL,D20W 0.2%NS,Not Recorded
D20W 250mL,D20W,Not Recorded
D20W 500 mL IV bag,dextrose 20%,Not Recorded
D25W 250mL,D25W,Not Recorded
D5.2NS + 20 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded
D5.2NS + 40 mEq KCl 1000 mL IV,d5w.2ns + kcl,Not Recorded
D5.2NS 1000 mL IV bag,d5.2ns,Not Recorded
D5.2NS 500 mL IV bag,d5.2ns,Not Recorded
D5.45NS + 10 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded
D5.45NS + 20 mEq KCl 1000 ml  IV,d5.45ns + kcl,Not Recorded
D5.45NS + 30 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded
D5.45NS + 40 mEq KCl 1000 mL IV,d5.45ns + kcl,Not Recorded
D5.45NS 1000 mL IV bag,d5.45ns,Not Recorded
D5.45NS 1000 mL for chemo,d5.45ns,Not Recorded
D5.45NS 500 mL IV bag,d5.45ns,Not Recorded
D5LR + 20 mEq KCl 1000mL,d5lr + kcl,Not Recorded
D5LR 1000 mL IV bag,d5lr,Not Recorded
D5LR 500 mL iv bag,D5LR,Not Recorded
D5NS 1000 mL IV bag,d5ns,Not Recorded
D5NS 500 mL IV bag,d5ns,Not Recorded
D5NS+20 mEq KCl 1000 mL IV bag,d5ns + kcl,Not Recorded
D5W + 20 mEq KCl 1000 mL IV bag,d5w + kcl,Not Recorded
D5W 100 mL (Polyolefin),d5w (polyolefin),Not Recorded
D5W 100 mL IV bag,d5w,Not Recorded
D5W 100 mL IV bag chemo,d5w,Not Recorded
D5W 1000 mL (Polyolefin),d5w (polyolefin),Not Recorded
D5W 1000 mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded
D5W 1000 mL IV bag,d5w,Not Recorded
D5W 1000 mL IV bag for chemo,d5w,Not Recorded
D5W 150 mL IV bag,d5w,Not Recorded
D5W 150 mL IV bag for chemo,d5w,Not Recorded
D5W 250 mL IV bag,d5w,Not Recorded
D5W 250 mL IV bag for chemo,d5w,Not Recorded
D5W 250mL (Polyolefin),d5w (polyolefin),Not Recorded
D5W 250mL (Polyolefin) for chemo,d5w (polyolefin),Not Recorded
D5W 50 mL IV bag,d5w,Not Recorded
D5W 50 mL IV bag for chemo,d5w,Not Recorded
D5W 50 mL IV bottle,d5w btl,Not Recorded
D5W 500 mL (Polyolefin),d5w (polyolefin),Not Recorded
D5W 500 mL (Polyolefin) for chemo,d5w (polyolefin) for chemo,Not Recorded
D5W 500 mL IV bag,d5w,Not Recorded
D5W 500 mL IV bag for chemo,d5w,Not Recorded
D5W 50mL (Polyolefin),d5w (polyolefin),Not Recorded
D70W 1000mL IV bag,d70w,Not Recorded
D70W 2000 mL IV bag,d70w,Not Recorded
D70W 500 mL IV bag,d70w,Not Recorded
DACTINOmycin 0.5 mg inj,DACTINOmycin,Not Recorded
DAPTOmycin 350 mg inj,DAPTOmycin,Not Recorded
DAPTOmycin 50 mg/mL inj,DAPTOmycin,Not Recorded
DAUNOrubicin 20 mg inj,DAUNOrubicin,Not Recorded
DAUNOrubicin 5 mg/ml injection,DAUNOrubicin,Not Recorded
DOBUTamine 250 mg/20 mL inj,DOBUTamine,Microgram/Kilogram/Minute
DOBUTamine 250 mg/20 mL inj ADD,DOBUTamine,Not Recorded
DOCEtaxel 10 mg/mL inj,DOCEtaxel,Not Recorded
DOCEtaxel 20mg/1mL inj,DOCEtaxel,Not Recorded
DOCEtaxel 80mg/4mL inj,DOCEtaxel,Not Recorded
DOPamine 200 mg/5mL inj,DOPamine,Microgram/Kilogram/Minute
DOPamine 400 mg/5 mL inj,DOPamine,Microgram/Kilogram/Minute
DOPamine 400mg/10mL inj,DOPamine,Microgram/Kilogram/Minute
DOXOrubicin  LYOPH 50mg for orderset only,DOXOrubicin LYOPH,Not Recorded
DOXOrubicin  LYOPHILIZED 50mg inj,DOXOrubicin LYOPH,Not Recorded
DOXOrubicin 2 mg/mL PF 25mL for orderset only,DOXOrubicin,Not Recorded
DOXOrubicin 2 mg/mL PF soln. 25mL,DOXOrubicin,Not Recorded
DOXOrubicin PFS 10 mg/5 mL inj,DOXOrubicin,Not Recorded
DOXOrubicin liposomal 2 mg/mL (Lipodox),DOXOrubicin liposomal,Not Recorded
DOXOrubicin liposomal 20mg/ 10 mL inj,DOXOrubicin hcl liposome,Not Recorded
Dacarbazine 200mg inj,dacarbazine,Not Recorded
Dalbavancin 500 mg/25ml  inj,dalbavancin,Not Recorded
Dalfopristin-Quinupristin 500 mg inj,dalfopristin-quinupristin,Not Recorded
Dantrolene 100 mg cap,dantrolene,Not Recorded
Dantrolene 20 mg inj,dantrolene,Not Recorded
Dantrolene 250 mg inj,dantrolene,Not Recorded
Daptomycin 500mg for IVPB,daptomycin,Not Recorded
Daptomycin 5mg/ml /LR 2mL lock soln.,daptomycin in LR lock soln.,Not Recorded
Daratumumab 400mg/20mL inj.,daratumumab,Not Recorded
Darbepoetin Alfa 25 mcg/0.42 mL syr.,darbepoetin alfa,Not Recorded
Darbepoetin Alfa 40 mcg/0.4 mL syr.,darbepoetin alfa,Not Recorded
Darbepoetin Alfa 40 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded
Darbepoetin alfa 100 mcg/0.5 mL syr. For Dialysis,darbepoetin alfa,Not Recorded
Darbepoetin alfa 100 mcg/0.5 mL syringe,darbepoetin alfa,Not Recorded
Darbepoetin alfa 100 mcg/0.5 mL syringe- APPRISE,darbepoetin alfa,Not Recorded
Darbepoetin alfa 150 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded
Darbepoetin alfa 200 mcg/0.4 mL syringe,darbepoetin alfa,Not Recorded
Darbepoetin alfa 60 mcg/0.3 mL syr.,darbepoetin alfa,Not Recorded
Darbepoetin alfa 60 mcg/0.3 mL syringe,darbepoetin alfa,Not Recorded
Decitabine 50mg inj,decitabine,Not Recorded
Deferoxamine 500 mg inj,deferoxamine,Not Recorded
Description Missing,Description Missing,Not Recorded
Desmopressin 0.1 mg tab,desmopressin,Not Recorded
Desmopressin 0.4 mcg/mL SubQ syringe,desmopress in syringe,Not Recorded
Desmopressin 10mcg/inh 5mL nasal,desmopressin,Not Recorded
Desmopressin 4 mcg/mL IV in syringe,desmopressin in syringe,Not Recorded
Desmopressin 4 mcg/mL SubQ syringe,desmopressin in syringe,Not Recorded
Desmopressin 4 mcg/mL inj,desmopressin,Not Recorded
Desmopressin 4 mcg/mL inj.,desmopressin,Not Recorded
Dexamethasone 0.2mg/mL neonate syringe,Dexamethasone in syringe,Not Recorded
Dexamethasone 0.5 mg tab,dexamethasone,Not Recorded
Dexamethasone 10mg/NS IVPB,dexamethasone/ns,Not Recorded
Dexamethasone 12mg/NS IVPB,dexamethasone/ns,Not Recorded
Dexamethasone 2 mg tab,dexamethasone,Not Recorded
Dexamethasone 20 mg/5 mL inj,dexamethasone,Not Recorded
Dexamethasone 20mg/NS IVPB,dexamethasone/ns,Not Recorded
Dexamethasone 4 mg tab,dexamethasone,Not Recorded
Dexamethasone 4 mg/1 mL inj,dexamethasone,Not Recorded
Dexamethasone 6  mg tab,dexamethasone,Not Recorded
Dexamethasone 8 mg/NS IVPB,dexamethasone/ns,Not Recorded
Dexamethson 10 mg/mL  10 mL inj,dexamethasone,Not Recorded
Dexmedetomidine 200 mcg/2 mL inj,dexmedetomidine,Microgram/Kilogram/Hour
Dexmedetomidine 4 mcg/mL 20mL vial (for OR),dexmedetomidine,Not Recorded
Dexrazoxane 250 mg inj cardio tox,dexrazoxane,Not Recorded
Dextran 40/ 500 mL IV bag,dextran 40,Not Recorded
Dextran 40/ 500 mL IV bag,dextran 40/ns,Not Recorded
Dextran 40/D5W 500 mL IV bag,dextran 40/d5w,Not Recorded
Dextran-Dextrose 32% inj 100 mL inj,dextran-dextrose 32%,Not Recorded
Dextrose 10% 5 mL inj,dextrose 10%,Not Recorded
Dextrose 10% in Water 250mL,D10W,Not Recorded
Dextrose 10% in Water 250mL btl.,D10W,Not Recorded
Dextrose 30% in Water 500mL,dextrose 30% water,Not Recorded
Dextrose 50% 50 mL syringe,dextrose 50%,Not Recorded
Dextrose 50% 50 mL vial,dextrose 50%,Not Recorded
Diazepam 10 mg/2 mL inj,diazepam,Not Recorded
Diazepam 2 mg tab,diazepam,Not Recorded
Diazepam 5 mg tab,diazepam,Not Recorded
Dicyclomine 20 mg/2 mL inj,dicyclomine,Not Recorded
Digoxin 0.05 mg/mL Elixir  60 mL,digoxin,Not Recorded
Digoxin 0.5 mg/2 mL inj,digoxin,Not Recorded
Digoxin Immune Fab 40mg (Digifab),digoxin immune fab,Not Recorded
Dihydroergotamine 1 mg/1 mL inj,dihydroergotamine,Not Recorded
Diltiazem 100 mg ADD-Vantage,diltiazem,Milligram/Hour
Diltiazem 125 mg vial,diltiazem,Milligram/Hour
Diltiazem 25 mg/5 mL inj,diltiazem,Not Recorded
Diltiazem 50 mg/10 mL inj,diltiazem,Not Recorded
DiphenhydrAMI 2.5 mg/mL liq 240 mL,diphenhydrAMINE,Not Recorded
DiphenhydrAMINE 12.5mg/5mL Liq,diphenhydrAMINE liq,Not Recorded
DiphenhydrAMINE 25 mg cap,diphenhydrAMINE,Not Recorded
DiphenhydrAMINE 25 mg/10 mL liq,diphenhydrAMINE,Not Recorded
DiphenhydrAMINE 25mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded
DiphenhydrAMINE 50 mg cap,diphenhydrAMINE,Not Recorded
DiphenhydrAMINE 50 mg/1 mL inj,diphenhydrAMINE,Not Recorded
DiphenhydrAMINE 50mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded
Disposable elastomeric pump,disposable elastomeric pump,Not Recorded
Docusate Sodium 100 mg cap,docusate,Not Recorded
Dofetilide 250 mcg cap,dofetilide,Not Recorded
Doripenem 250 mg inj,doripenem,Not Recorded
Doripenem 500 mg inj,doripenem,Not Recorded
Doxorubicin 2  mg/ 1 mL inj,doxorubicin,Not Recorded
Doxorubicin PFS 10mg/5mL inj,doxorubicin,Not Recorded
Doxycycline 100 mg cap,doxycycline,Not Recorded
Doxycycline 100 mg inj,doxycycline,Not Recorded
Doxycycline 100mg IVPB,doxycycline in ns,Not Recorded
Doxycycline 1mg/mL NS peds syringe,doxycycline/ns syringe,Not Recorded
Doxycycline 50mg cap,doxycycline,Not Recorded
Doxycycline hyclate 100 mg tab,doxycycline,Not Recorded
Droperidol 0.625mg/2mL ns for OR,droperidol,Not Recorded
Droperidol 2.5mg/mL inj,droperidol,Not Recorded
ED-Calcium Gluconate 2gm IVPB for ED use only,calcium gluconate/ns,Not Recorded
EPHEDrine 25mg/5ml (5mg/mL) syringe,ePHEDrine,Not Recorded
EPHEDrine 50 mg/1 mL inj,ePHEDrine,Not Recorded
EPHEDrine 50 mg/10mL inj,ePHEDrine,Not Recorded
EPHEDrine 5mg/mL OR syringe,ePHEDrine,Not Recorded
EPInephrine 0.3mg Auto-injector,EPInephrine hcl,Not Recorded
EPInephrine 1 mg/ 1 mL inj,EPInephrine,Microgram/Kilogram/Minute
EPInephrine 1 mg/10 mL inj,EPInephrine,Not Recorded
EPInephrine 160mcg Syr OR,EPInephrine,Not Recorded
EPInephrine 1mg/ml 30 mL inj,EPInephrine,Not Recorded
EPIrubicin 2 mg / 1 mL inj,EPIrubicin,Not Recorded
Eculizumab 300 mg/30mL inj.,eculizumab,Not Recorded
Edrophonium 10 mg/mL 15 mL inj,edrophonium,Not Recorded
Edrophonium 10 mg/mL per mL,edrophonium,Not Recorded
Empty Container,Empty Container,Not Recorded
Empty Container Non-DEHP,Empty Container Non-DEHP,Not Recorded
Enalaprilat 1.25 mg/1 mL inj,enalapril,Not Recorded
Enalaprilat 2.5 mg/2 mL inj,enalaprilat,Not Recorded
Enoxaparin 100 mg/ 1 mL inj,enoxaparin,Not Recorded
Enoxaparin 120 mg/ 0.8 mL  inj,enoxaparin,Not Recorded
Enoxaparin 20 mg/ 0.2 mL syringe,enoxaparin syringe,Not Recorded
Enoxaparin 30 mg/0.3 mL inj,enoxaparin,Not Recorded
Enoxaparin 40 mg/ 0.4 mL inj,enoxaparin,Not Recorded
Enoxaparin 60 mg/ 0.6 mL inj,enoxaparin,Not Recorded
Epidural Infusion,Epidural Infusion,Not Recorded
"Epoetin 10,000 units/ 1 mL inj",epoetin,Not Recorded
"Epoetin 2,000 units/ 1 mL inj",epoetin alfa,Not Recorded
"Epoetin 20,000 units inj",epoetin,Not Recorded
"Epoetin 40,000 units/ 1 mL",epoetin,Not Recorded
Epoetin 4000 units/1 mL inj,epoetin alfa,Not Recorded
"Epoetin alfa-epbx (Retacrit) 10,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded
"Epoetin alfa-epbx (Retacrit) 2,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded
"Epoetin alfa-epbx (Retacrit) 20,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded
"Epoetin alfa-epbx (Retacrit) 40,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded
Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol diluent,Not Recorded
Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol/Flolan diluent,Not Recorded
Epoprostenol  Diluent 50mL vial,epoprostenol diluent,Not Recorded
Epoprostenol  Diluent 50mL vial,epoprostenol/Flolan diluent,Not Recorded
Epoprostenol 0.5 mg inj,epoprostenol,Not Recorded
"Epoprostenol 1,000,000 ng (1mg) inhale (Veletri)",epoprostenol inhale,Not Recorded
Epoprostenol 1.5 mg inj.,epoprostenol,Not Recorded
"Epoprostenol 500,000 ng (0.5mg) inhale (Veletri)",epoprostenol inhale,Not Recorded
Epoprostenol CADD Conc-Dose-Rate Confirm,Epoprostenol CADD Conc-Dose-Rate Confirm,Not Recorded
Epoprostenol Cassette,Epoprostenol cassette,Not Recorded
Epoprostenol Cassette,flolan casstte,Not Recorded
Eptifibatide 2 mg/mL 10 mL bolus inj,eptifibatide,Not Recorded
Eribulin 1mg/2mL inj,eribulin,Not Recorded
Ertapenem 1000 mg inj,ertapenem,Not Recorded
Erythromycin 500 mg inj,erythromycin,Not Recorded
Esmolol 100 mg/10 mL inj,esmolol,Not Recorded
Esmolol 10mg/mL OR syringe,esmolol,Not Recorded
Esmolol 2.5 gm/10 mL inj,esmolol,Not Recorded
Estradiol 1 mg tab,estradiol,Not Recorded
Estrogens 25 mg/5 mL inj.,"estrogens, conjugated",Not Recorded
Ethacrynate 50 mg/50 mL inj,ethacrynate,Not Recorded
Ethanol Lock soln 70% 3mL,ethanol 70% lock soln.,Not Recorded
Ethiodized Oil (37% iodine) 10 mL inj,ethiodized oil (37% iodine),Not Recorded
Ethiodized Oil 480mg/mL,ethiodized oil,Not Recorded
Etomidate 10mg/5mL syringe,etomidate,Not Recorded
Etomidate 2 mg/mL  20 mL inj,etomidate,Not Recorded
Etomidate 2 mg/mL inj 10mL,etomidate,Not Recorded
Etoposide 100 mg / 5 mL,etoposide,Not Recorded
Etoposide 500 mg/25 mL inj,etoposide,Not Recorded
Factor 7a (VIIa),coagulation factor 7a (VIIa),Not Recorded
Factor 8 (VIII) bolus,Factor 8 (VIII) in syringe,Not Recorded
Factor 8 (VIII) injection,Factor 8 (VIII) inj,Not Recorded
Factor 9 (IX) inj,factor 9 (IX),Not Recorded
Factor 9 (IX) inj Bolus,factor 9 (IX) in syringe,Not Recorded
"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine,Not Recorded
"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine (Obizur),Not Recorded
"Factor VIII (Antihemophilic Factor, Recomb Porcine) (Obizur)",factor 8 porcine,Not Recorded
Factor7a (VIIa) 2000 mcg (OR CHARGE),coagulation factor VIIa,Not Recorded
Famotidine 20 mg for Hyperal only,famotidine,Not Recorded
Famotidine 20 mg tab,fAMOTIDine,Not Recorded
Famotidine 20 mg/2 mL inj,fAMOTIDine,Not Recorded
Famotidine 20mg/NS IV syringe,famotidine/ns in syringe,Not Recorded
Famotidine 2mg/mL/NS neonate syringe,fAMOTIDine in NS syringe,Not Recorded
Famotidine 40 mg tab,fAMOTIDine,Not Recorded
Famotidine 40 mg/4 mL inj,fAMOTIDine,Not Recorded
Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20%,Not Recorded
Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20% (Intralipid),Not Recorded
Fat Emulsion 20% 500mL,fat emulsion 20%,Not Recorded
Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syr (Intralipid),Not Recorded
Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syringe,Not Recorded
"Fat emulsion, 20% 100mL (Neonate)",fat emulsion 20% (Intralipid),Not Recorded
"Fat emulsion, 20% 100mL (Neonate)","fat emulsion 20%, intravenous",Not Recorded
"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded
"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)","fat emulsion, intravenous 20%",Not Recorded
"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded
"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)","fat emulsion, intravenous 20%",Not Recorded
"Fat emulsion,intravenous (fish oil) 20% 1000mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded
FentaNYL 50 mcg/mL 10mL inj,fentaNYL,Not Recorded
FentaNYL PCA/NCA 10mcg/mL 50mL syringe,fentaNYL pca/nca,Not Recorded
Fentanyl  2.5 mg / 50 mL Drip,fentanyl citrate,Not Recorded
Fentanyl 100 mcg buccal tab,fentaNYL,Not Recorded
Fentanyl 100 mcg/hr patch,fentanyl,Not Recorded
Fentanyl 1000 mcg/20 mL inj,fentanyl,Not Recorded
Fentanyl 100mcg/2 mL inj,fentanyl,Not Recorded
Fentanyl 10mcg/ml 60mL Syringe,fentanyl syringe,Micrograms/Hour
Fentanyl 12 mcg/hr patch,fentanyl,Not Recorded
Fentanyl 200 mcg lozenge,fentanyl,Not Recorded
Fentanyl 25 mcg/hr patch,fentanyl,Not Recorded
Fentanyl 250 mcg/5 mL inj,fentanyl,Not Recorded
Fentanyl 50 mcg/hr patch,fentanyl,Not Recorded
Fentanyl 75 mcg/hr patch,fentanyl,Not Recorded
Fentanyl Patch Removal,fentanyl patch removal,Not Recorded
Ferrlecit 62.5 mg/5 mL inj,ferric gluconate sodium complex,Not Recorded
Ferumoxytol 510mg/17mL inj,ferumoxytol,Not Recorded
Fibrinogen concentrate (Human),fibrinogen,Not Recorded
Filgrastim 480 mcg/0.8 mL syr,filgrastim,Not Recorded
Fluconazole 100 mg tab,fluconazole,Not Recorded
Fluconazole 100mg/50mL NS,fluconazole in ns,Not Recorded
Fluconazole 200 mg tab,fluconazole,Not Recorded
Fluconazole 200 mg/5 mL liq 35 mL,fluconazole,Not Recorded
Fluconazole 200mg/100mL NS premix,fluconazole in ns,Not Recorded
Fluconazole 400mg/200mL D5W ivpb,fluconazole,Not Recorded
Fluconazole 400mg/200mL D5W ivpb,fluconazole in d5w,Not Recorded
Fluconazole 400mg/200mL NS premix,fluconazole in ns,Not Recorded
Fluconzole 2mg/mL/NS neonate syringe,fluconazole in NS syringe,Not Recorded
Fludarabine 50  mg inj,fludarabine,Not Recorded
Flumazenil 0.5 mg/5 mL inj,flumazenil,Not Recorded
Flumazenil 0.5 mg/5 mL syringe,flumazenil,Not Recorded
Fluorescein 10% 5mL inj,fluorescein 10%,Not Recorded
Fluorescein 1mg ophth strip,fluorescein,Not Recorded
Fluorouracil 50 mg/mL inj,fluorouracil,Not Recorded
Folic Acid 1mg/mL Ped oral syringe,folic acid ped liq,Not Recorded
Folic Acid 50 mg/10 mL inj,folic acid,Not Recorded
Fomepizole 1500mg/1.5mL,fomepizole,Not Recorded
Fosaprepitant 150 mg inj.,fosaprepitant,Not Recorded
Foscarnet 6 gm/250 mL IVPB (Central Line),foscarnet,Not Recorded
Fosphenytoin 100 mgpe/2 mL inj,fosphenytoin,Not Recorded
Fosphenytoin 10mgPE/mL/NS neonate syringe,fosphenytoin in NS syringe,Not Recorded
Fosphenytoin 500 mgpe/10 mL inj,fosphenytoin,Not Recorded
Furosemide 100 mg/10 mL inj,fUROSEMide,Not Recorded
Furosemide 100 mg/10 mL inj ADD,fUROSEMide add,Grams/Hour
Furosemide 10mg/mL Ped oral syringe,fUROSEMide ped liq,Not Recorded
