Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
225,sodium glycerophosphate,True,Electrolyte Solution (Phosphate),,not_reviewed
226,erythromycin,False,Medication,anti-infective,macrolide antibiotics
227,vecuronium,False,Medication,,not_reviewed
229,atropine,False,Medication,antiarrhythmics,other
230,dihydroergotamine,False,Medication,,not_reviewed
233,Dextrose 5% in Water with KCl 20 mEq/l intravenous solution,True,Hypotonic Crystalloid,,not_reviewed
235,tigecycline,False,Medication,anti-infective,tetracyclines
237,octreotide,False,Medication,,not_reviewed
238,ganciclovir,False,Medication,anti-infective,antiviral
239,hyperal peripheral,True,Parenteral Nutrition,,not_reviewed
241,mycophenolate mofetil,False,Medication,,not_reviewed
249,haloperidol,False,Medication,,not_reviewed
251,penicillin G potassium,False,Medication,anti-infective,penicillins
256,"hyperalimentation, adult",True,Parenteral Nutrition,,
261,methocarbamol,False,Medication,,not_reviewed
266,PHENobarbital,False,Medication,,not_reviewed
268,carmustine,False,Medication,,antineoplastics
271,promethazine,False,Medication,,not_reviewed
272,naloxone,False,Medication,,not_reviewed
273,scopolamine,False,Medication,,not_reviewed
274,"fat emulsion, intravenous",True,Parenteral Nutrition,,not_reviewed
277,ciprofloxacin,False,Medication,anti-infective,fluoroquinolones
278,hydromorphone bolus from current pca,False,Medication,,
279,busulfan,False,Medication,,antineoplastics
280,mesna,False,Medication,,antineoplastics
283,digoxin,False,Medication,antiarrhythmics,other
285,multivitamin,False,Medication,,not_reviewed
287,fosphenytoin,False,Medication,,not_reviewed
290,epoprostenol,False,Medication,bp_lowering,other
292,sodium nitroprusside,False,Medication,bp_lowering,other
293,chlorothiazide,False,Medication,diuretic,other
295,basiliximab,False,Medication,,not_reviewed
303,phytonadione,False,Medication,,anticoagulants
305,flumazenil,False,Medication,,not_reviewed
306,anti-thymocyte globulin (rabbit),False,Medication,,not_reviewed
307,desmopressin,False,Medication,,not_reviewed
310,methylene blue,False,Medication,,other
314,DOXOrubicin,False,Medication,,antineoplastics
315,riTUXimab,False,Medication,,antineoplastics
316,Misc Medication TNF,False,Medication,,
318,DOPamine,False,Medication,vasopressor,dopamine
320,etomidate,False,Medication,,not_reviewed
322,levOCARNitine,False,Medication,,other
323,remifentanil,False,Medication,,not_reviewed
327,rasburicase,False,Medication,,not_reviewed
328,cyclophosphamide,False,Medication,,antineoplastics
329,SUFentanil,False,Medication,,not_reviewed
338,zidovudine,False,Medication,anti-infective,antiviral
339,Belatacept,False,Medication,,not_reviewed
343,sulfamethoxazole-trimethoprim,False,Medication,anti-infective,sulphonamides
345,iron sucrose,False,Medication,,not_reviewed
348,cycloSPORINE,False,Medication,,not_reviewed
349,cosyntropin,False,Medication,,not_reviewed
350,prochlorperazine,False,Medication,,not_reviewed
352,linezolid,False,Medication,anti-infective,oxazolidinones
361,etoposide,False,Medication,,antineoplastics
366,aztreonam,False,Medication,anti-infective,monobactams
373,valproic acid,False,Medication,,not_reviewed
374,rifAMPin,False,Medication,anti-infective,antimycobacterial agents
376,tobramycin,False,Medication,anti-infective,aminoglycosides
378,doripenem,False,Medication,anti-infective,carbapenems
380,darbepoetin alfa,False,Medication,,other
382,colistimethate,False,Medication,anti-infective,other
388,Amino Acids 3% and Glycerin 3% with Electrolytes (ProcalAmine) intravenous solution,True,Electrolyte Solution,,not_reviewed
