med_name,med_class,med_subclass
inFLIXimab,,not_reviewed
pamidronate,,not_reviewed
adenosine,antiarrhythmics,other
vinCRIStine,,antineoplastics
insulin aspart,,not_reviewed
butorphanol,,not_reviewed
tirofiban,,anticoagulants
ceftaroline,anti-infective,cephalosporins
decitabine,,antineoplastics
cisplatin,,antineoplastics
paricalcitol,,not_reviewed
acetaZOLAMIDE,diuretic,other
melphalan,,antineoplastics
fosaprepitant,,not_reviewed
aldesleukin,,antineoplastics
immune globulin intravenous,,not_reviewed
isavuconazonium,anti-infective,antifungals
fluorescein ophthalmic,,other
foscarnet,anti-infective,antiviral
methotrexate,,antineoplastics
physostigmine,,not_reviewed
enoxaparin,,anticoagulants
coagulation factor VIIa,,anticoagulants
hetastarch,,not_reviewed
Dextrose 5% with 0.2% NaCl intravenous solution,,not_reviewed
arginine,,other
glucagon,,not_reviewed
ANES amiodarone 750 mg/500 mL D5W Premix,,
enalapril,bp_lowering,other
epoetin alfa,,other
methadone,,not_reviewed
ifosfamide,,antineoplastics
ibutilide,antiarrhythmics,other
Factor VIII injection,,
conjugated estrogens,,not_reviewed
posaconazole,anti-infective,antifungals
avibactam-cefTAZidime,anti-infective,cephalosporins
ferumoxytol,,not_reviewed
ceftolozane-tazobactam,anti-infective,penicillins
meperidine,,not_reviewed
potassium acetate,,not_reviewed
amphotericin B liposomal,anti-infective,antifungals
IDArubicin,,antineoplastics
isoproterenol,vasopressor,other
anti-inhibitor coagulant complex,,anticoagulants
granisetron,,not_reviewed
ethacrynic acid,diuretic,other
copper chloride,,not_reviewed
telavancin,anti-infective,glycopeptide
amikacin,anti-infective,aminoglycosides
hyperal neonate,,not_reviewed
procainamide,antiarrhythmics,other
PACLitaxel,,antineoplastics
antihemophilic factor,,anticoagulants
indocyanine green,,not_reviewed
zoledronic acid,,not_reviewed
voriconazole,anti-infective,antifungals
pentamidine,,antiparasitic
verapamil,bp_lowering,other
indigo carmine,,not_reviewed
coagulation factor IX,,anticoagulants
gabapentin,,not_reviewed
ascorbic acid,,not_reviewed
iron dextran,,not_reviewed
prothrombin complex conc human,,anticoagulants
PENTobarbital,,not_reviewed
arsenic trioxide,,antineoplastics
cyanocobalamin,,not_reviewed
azaCITIDine,,antineoplastics
bevacizumab,,antineoplastics
fluorouracil,,antineoplastics
terbutaline,,not_reviewed
DOXOrubicin liposomal,,antineoplastics
prasugrel,,anticoagulants
chlorproMAZINE,,not_reviewed
oxacillin,anti-infective,penicillins
alemtuzumab,,antineoplastics
sodium acetate,,not_reviewed
vinorelbine,,antineoplastics
moxifloxacin,anti-infective,fluoroquinolones
antihemophilic factor-von Willebrand factor inj,,anticoagulants
albuterol,,not_reviewed
cytomegalovirus immune globulin,,not_reviewed
oxaliplatin,,antineoplastics
oxymetazoline nasal,,other
irinotecan,,antineoplastics
clevidipine,bp_lowering,other
aprepitant,,not_reviewed
caffeine,,not_reviewed
Standard PAL Line IV fluid,,
cefotaxime,anti-infective,cephalosporins
allopurinol,,not_reviewed
antithrombin III,,anticoagulants
minocycline,anti-infective,tetracyclines
abciximab,,anticoagulants
DOCEtaxel,,antineoplastics
mitoXANTRONE,,antineoplastics
Dextrose 70% in Water intravenous solution,,not_reviewed
calcitriol,,not_reviewed
propranolol,bp_lowering,other
bupivacaine-epinephrine,,not_reviewed
raNITIdine,,not_reviewed
Dextrose 5% in Lactated Ringers with KCl 20 mEq/l intravenous solution,,not_reviewed
"Bag, PCA  Infusion",,
phenytoin,,other
vedolizumab,,not_reviewed
bupivacaine,,not_reviewed
heparin flush,,anticoagulants
fomepizole,,not_reviewed
phenylephrine nasal,,other
dalfopristin-quinupristin,anti-infective,antiviral
penicillin G sodium,anti-infective,penicillins
Dextrose 10% with 0.2% NaCl intravenous solution,,not_reviewed
palonosetron,,not_reviewed
PEMEtrexed,,antineoplastics
gemcitabine,,antineoplastics
Standard UAC Line IV fluid,,
"Premix Water, Sterile",,
prothrombin complex concentrate,,anticoagulants
blinatumomab,,antineoplastics
IV Stabilizer Solution inj,,
hydroxocobalamin,,not_reviewed
aminophylline,,not_reviewed
"lymphocyte immune globulin, anti-thy (equine)",,not_reviewed
dofetilide,antiarrhythmics,other
treprostinil,diuretic,other
sildenafil,bp_lowering,other
dantrolene,,not_reviewed
hepatitis B immune globulin,,not_reviewed
amphotericin B,anti-infective,antifungals
vinBLAStine,,antineoplastics
DAUNOrubicin,,antineoplastics
dacarbazine,,antineoplastics
benztropine,,not_reviewed
streptomycin,anti-infective,aminoglycosides
methohexital,,not_reviewed
citric acid-sodium citrate,,not_reviewed
bortezomib,,antineoplastics
pyridostigmine,,not_reviewed
Insulin/PBO for Shine Study,,
