o2_device,count,mapping
Other: 8/8/40%,1,
Other: Duo Neb via EMS,1,
"Room air, Other: pt on vapo-therm",1,
"Trach collar, Trach collar with heater, Trach interface, Heated high-flow oxygen",1,
"Room air, Other: 40% bipap",1,
Other: INTUBATED ON THE VENTILATOR,1,
"Partial-rebreather mask, O2 standby, equipment at bedside",1,
"Room air, Other: vnt",1,
"Room air, Other: vent settings",1,
Other: BAG VALVE MASK VIA ET TUBE,1,
"Room air, Other: LMA",1,
"Nasal cannula, Heated high-flow oxygen, High-flow nasal cannula",1,
Other: bag valve mask via et tube,1,
Other: BAG VALVE,1,
Other: SEDATED AND INTUBATED,1,
"Room air, Other: BVM, 15L O2",1,
"Other: Ventilator--APV rate -14, Vt-430, FiO2-30%, Peep -6",1,
"Other: Ventilator settings: 450, 16 rate, PEEP: 5",1,
"Room air, Other: intubated on ventilator",1,
"Venturi mask, Oxymizer",1,
Other: vent APV/cmv Tidal volume 450 peep 8,1,
"Trach collar, Aerosol mask, Room air",1,
"Partial-rebreather mask, Other: ventilator",1,
"Room air, Other: intubated 450/10 fio2 60%",1,
Other: ET tube - ventilator,1,
Other: Intubated/vent,1,
Other: Trach to vent SCMV mode.,1,
Other: bagging with ETT,1,
Other: trach on vent,1,
Other: home ventilator/trach,1,
Other: vented trach,1,
Other: BMV ambu w/ O2,1,
"Trach collar, Other: patient on vent",1,
Other: pt on home vent,1,
Other: intubated pt,1,
"Room air, Other: intubatd ventilator",1,
"Room air, Other: Pt intubated",1,
"Other: bipap,",1,
"Non-rebreather mask, O2 standby, equipment at bedside, Room air",1,
Other: pt is on ventilator,1,
"CPAP/BiPAP Device, Other: bipap machine applied by RT, RT at bedside",1,
Other: patient on ventilator,1,
Other: oxy plus mask,1,
Other: bvm vent via ETT,1,
Other: ventilator from OSH,1,
Other: vent pt,1,
"Other: Ventilator, Assist Control",1,
"Room air, Other: ventilation",1,
"Venturi mask, Non-rebreather mask, High-flow nasal cannula",1,
Other: albuteral face mask 02 per ems 15liters,1,
"Room air, Other: ventilator ^peep, fio2 is 050 and tv is 480",1,
"Heated high-flow oxygen, Other: Ventilator: FiO2 0.5",1,
"Room air, Other: bi pap",1,
Other: intubated/ ETT,1,
Other: tubed/vented,1,
"Room air, Other: on Bipap",1,
"Room air, Other: Vented.",1,
"Room air, Other: intubated O2 40% 6 PEEP",1,
"CPAP/BiPAP Device, Other: from home",1,
Other: neb tx in process,1,
"Bag mask, Other: PATIENT INTUBATED",1,
"Non-rebreather mask, CPAP/BiPAP Device, Room air",1,
Other: Trach to Ventilator,1,
Other: Neb Treatment,1,
"Nasal cannula, Other: bipap at night as tolerated",1,
Other: HUMIDIFIED 4 L/M,1,
Other: pt on bipap,1,
"Room air, Other: OETT with bagging",1,
"Trach collar, O2 not needed, Cool mist aerosol",1,
Other: ET tube with ventilation,1,
Other: 2 lites of oxygen at hs,1,
"Nasal cannula, Other: BIPAP  at HS",1,
"Venturi mask, Other:",1,
"Room air, Other: pt refusing to wear nasal cannula",1,
Other: iGel,1,
"Other: Ventilator: APVCMV 300x22 8 peep, 40% oxygen.",1,
Other: see RT vent settings,1,
"Room air, Other: airvo 5L",1,
"Simple mask, Aerosol mask, Room air",1,
"Room air, Other: ventilator   VT- 400 RR- 18 Fi02- 0.25  PEEP 6",1,
Other: VEnt settings TV 480 Rate 20 Peep 12 100%,1,
"Room air, Other: intubated,",1,
"Aerosol mask, Home CPAP/BiPAP Device, Room air",1,
Other: Mechanically ventilated,1,
"Aerosol mask, Bag mask, Room air",1,
"Other: vented SCMV TV 400, peep 10, 30%fio2",1,
Other: pt on vent with trach,1,
"Partial-rebreather mask, Other: Trach on vent",1,
"Non-rebreather mask, Room air, Other: neubulizer",1,
"Room air, Other: pt receiving Albuterol treatment",1,
Other: Vented 50/6,1,
"CPAP/BiPAP Device, Room air, Other: FiO2 40%",1,
Other: BIPAP. See respiratory note for detail.,1,
"Trach collar, Other: pt is on home vent",1,
Other: 4 liter,1,
Other: vented 6 peep 40% o2,1,
Other: VENT .40,1,
Other: on ventilator support,1,
"T-Piece, High-flow nasal cannula",1,
Other: Ventilator A/C V/C,1,
"Room air, Other: iGel; ambu bag",1,
"Room air, Other: intubated at 100% oxygen",1,
Other: Pt on the ventilator,1,
"Trach collar, Other: Pt on a ventilator",1,
"Room air, Other: BBM",1,
Other: Trach vented,1,
"Trach interface, CPAP/BiPAP Device, Room air",1,
Other: ET tube size 8,1,
"Trach collar, High-flow nasal cannula, CPAP/BiPAP Device",1,
"Trach collar, Heated high-flow oxygen, High-flow nasal cannula",1,
"Room air, Other: Intubated - 22cm at the lips.",1,
Other: on vent 100% FIO2,1,
Other: intubated at 100%,1,
Other: vent FIO2 100% Rate 20 TV 470 PEEP + 6,1,
Other: inutabted on Venti,1,
Other: ventilator ETT,1,
"Room air, Other: helium-oxygen therapy bipap",1,
"Room air, Other: 23 at gumline",1,
"Room air, Other: vent same settings, no changes",1,
"Room air, Other: vent no change in settings",1,
"Room air, Other: high flow 12L",1,
Other: high flow o2 12L,1,
"Nasal cannula, Simple mask, Aerosol mask",1,
Other: pt 93% while being bagged 100% oxygen,1,
"Other: vented TV 300, Rate 16, pep 6 fio2 50",1,
Other: BVM igel,1,
"Trach interface, T-Piece, Room air",1,
"Nasal cannula, Other: HOME CPAP night time",1,
Other: intubated on Vent,1,
Other: imtubated,1,
"Room air, Other: intubated 7.5 trach, 25cm at lip, on 50% O2",1,
"Room air, Other: ventilator on trach",1,
"High-flow nasal cannula, Other: VAPOTHERM",1,
"Room air, Other: inmtubated",1,
"Trach collar, Trach collar with heater, Trach interface",1,
"Room air, Other: vent 40%",1,
"O2 standby, equipment at bedside, Room air, Other: BVM on trach site",1,
"Nasal cannula, Other: 4L NC",1,
"Other: intubated, vent",1,
Other: BVM on trach site,1,
"CPAP/BiPAP Device, Other: BIPAP setting: IPAP 12, EPAP 8, Rate 20, FIO2 100%.",1,
Other: Continuous NEBS,1,
Other: BiPAP- hosp. equipment,1,
"Room air, Other: Ventilated Trach",1,
Other: bagging per RT,1,
Other: bag mask resucuitation,1,
"Nasal cannula, High-flow mask, CPAP/BiPAP Device",1,
"Room air, Other: intubated, 28 peak, 12.2, 755 VTE, 29 total, 70 % o2",1,
"Room air, Other: 5 lpm oxygen via nc",1,
Other: 0n vent,1,
Other: on the vent,1,
"Room air, Other: vent, settings unchanged.",1,
"Heated high-flow oxygen, Other: Ventilated Trach",1,
"Other: vent, 50%, tidal volume 450, peep 6.",1,
"Room air, Other: vent, tidal volume 450, 50%, 22 respirations, peep 6",1,
"Room air, Other: vent , tidal volume 450, 100%, peep 6",1,
Other: ON VENT,1,
Other: bag,1,
Other: Bi/pap,1,
"Trach collar, Trach interface, Room air",1,
"Room air, Other: intubated, ventilator",1,
"Other: vent, settings unchanged",1,
Other: Vent controlled rate of 14; TV 400; O2 30%,1,
"Other: intubated, ventilator",1,
"CPAP/BiPAP Device, Other: pt on cpapp rate 10 40%",1,
Other: intuvated vent,1,
"Trach collar, Other: Vent     Tidal volume 350     PEEP 6      FIO2 35    Rate 14",1,
"Trach collar, Other: Pt on ventilator. Fio2 50 peep 6, tidal volume 3500",1,
Other: INTUBATION,1,
Other: VEnt,1,
Other: on VENT per RT,1,
"Heated high-flow oxygen, Other: vent",1,
Other: ambu bnag,1,
Other: Ventilator-,1,
Other: biPAP,1,
Other: Hospital CPAP,1,
"Room air, Other: bipap.  50% O2",1,
"High-flow nasal cannula, Cool mist aerosol, Bag mask",1,
Other: NONREBREATHER,1,
"Aerosol mask, Other: neb tx",1,
Other: BAGGED ON 100% fIo2,1,
Other: Vent ASV mode,1,
"Trach collar, Room air, Other: Vent",1,
Other: airvo 100% + 60l/min,1,
"Room air, Other: RT Bipap",1,
Other: airvo 100% + 60 l/min,1,
Other: 8.0 oral ETT,1,
Other: intubated-on ventilator,1,
Other: ventilatoar,1,
Other: HOME VENT VIA # 6 SHILEY TRACH,1,
"Home CPAP/BiPAP Device, O2 standby, equipment at bedside, Room air",1,
Other: Home vent,1,
"Room air, Other: Assisted Vent",1,
"CPAP/BiPAP Device, Other: 2L NC during the day",1,
Other: intubated - mechanical ventilation,1,
"Home CPAP/BiPAP Device, Other: cpap 100percent o2 per ems",1,
"Trach collar, Trach interface, Other: home ventilator",1,
"Other: ventilator, 30 %",1,
"Room air, Other: Airvo/ trace interface",1,
"Face shield, Other: vent",1,
Other: airfvo,1,
Other: ambu bag via ET tube,1,
"CPAP/BiPAP Device, Other: aersol treatment",1,
"Heated high-flow oxygen, Other: airvo 30",1,
Other: bypap,1,
"Other: Vent SCMV, pt intital sat 88% because of poor reading on O2 monitor, after replacement patient sat 100%",1,
Other: I- Gel,1,
Other: vent intubated,1,
"Venturi mask, O2 standby, equipment at bedside",1,
"Trach collar, Heated high-flow oxygen, O2 standby, equipment at bedside",1,
Other: pulsing O2 pt'shome unit,1,
"Other: pt using home O2, pulse delivery",1,
"Face shield, T-Piece",1,
"Other: ventilator S-CMV; rate 12, peep 6, vt 420, fio2 30%",1,
Other: Vent AC/CMV,1,
"Simple mask, Other: Neb treatment",1,
Other: vent/ETT,1,
Other: Laryngeal mask airway.,1,
Other: (s)cmv + vent control,1,
"Other: ambu bag, intubated",1,
"Room air, Other: (s)cmv+ vent setting",1,
"Aerosol mask, T-Piece",1,
Other: VV ECMO,1,
Other: tubed and vented\,1,
"Room air, Other: pt ventilated and intubated",1,
"Other: Fio2, intubated",1,
Other: ETT tube.,1,
Other: itnubated,1,
"Partial-rebreather mask, Home CPAP/BiPAP Device, Other: BIPAP",1,
"Room air, Other: Trilogy Home ventilator",1,
Other: VENTILATED,1,
"Non-rebreather mask, Room air, Other: pt on vent",1,
"Room air, Other: ventiltor",1,
Other: Pt intubated on vent,1,
Other: 7.0 ETT placed by EMS,1,
"Room air, Other: on bipap machine.",1,
"Venturi mask, O2 standby, equipment at bedside, Room air",1,
Other: OptiFlow,1,
"High-flow mask, Other: Vented with Trach",1,
"Room air, Other: ventilator.",1,
"Aerosol mask, CPAP/BiPAP Device, Room air",1,
"Other: intibated, bag valve mask",1,
Other: vent on trach,1,
"Room air, Other: pt is on bipap place by RT",1,
Other: intubated by MD & sedated,1,
"Simple mask, Non-rebreather mask, Room air",1,
Other: ventilated/ETT,1,
Other: intubated with bag mask,1,
"Other: Ventilator _ APV/CMV 35% FiO2, 8 Peep",1,
"Room air, Other: vented patient",1,
Other: pt on ventilator post intubation,1,
Other: pt place on vent a/c ps of 16 and peep of 6,1,
"Simple mask, Other: Patient getting breathing treatment at this time.",1,
Other: vented; .7 fiO2,1,
Other: ventelator,1,
"Room air, Other: walking sat",1,
Other: intubated (endotracheal tube),1,
"Non-rebreather mask, Room air, Other: pt. intubated",1,
"Nasal cannula, Other: CPAP at night",1,
"Trach collar, O2 standby, equipment at bedside, Other: PATIENT ON VENTILATOR",1,
Other: CPAP PLACED IN ER FIO2 55%,1,
Other: biPAP 15 over 7,1,
"Room air, Other: pt receiving neb treatments at this time.",1,
Other: ventilator  dependent,1,
"Trach collar, Other: home seetings",1,
"Other: VENTIALTED, UNABLE TO PICK UP A RELIABLE OXYGEN SAT",1,
Other: trached to ventilator support,1,
Other: Pt is intubated,1,
"Nasal cannula, Simple mask, Non-rebreather mask",1,
Other: bippap,1,
Other: Vented - ET Tube,1,
"Trach collar with heater, Heated high-flow oxygen, O2 not needed",1,
"CPAP/BiPAP Device, Other: 10L O2 7.5 pressure",1,
Other: INtubation,1,
Other: non rebreaher,1,
"Non-rebreather mask, Home CPAP/BiPAP Device, Room air",1,
Other: et tube 7.5 23cm @lips,1,
"Heated high-flow oxygen, High-flow nasal cannula, CPAP/BiPAP Device",1,
Other: neb tx,1,
"CPAP/BiPAP Device, Room air, Other: RT at bedside adjusting BIPAP",1,
"Nasal cannula, Other: Trilogy at night",1,
Other: OETT vented,1,
"Partial-rebreather mask, Room air, Other: bipap",1,
"Room air, Other: BVM after intubation",1,
"CPAP/BiPAP Device, Other: 40% FiO2",1,
"Room air, Other: ett",1,
"Other: Ventilator. VT400, RR14, Peep6, FIO2 0.30",1,
Other: Ventilated  OETT 23@teeth # 7.5,1,
Other: INTUBATED ON VENTILATOR,1,
Other: VapoTherm,1,
Other: vent fio2 80 peep 6,1,
Other: Bipap 15/5 FiO2 .60,1,
Other: on breathing treatment Duoneb,1,
"Other: ventilator, VV ECMO",1,
"Heated high-flow oxygen, Other: Optiflo",1,
"Room air, Other: non-rebreather",1,
Other: mechanical ventilation,1,
"Room air, Other: ventilater",1,
"Room air, Other: ventilated: 35% O2, PEEP 5",1,
"Room air, Other: THE PT IS INTUBATED WITH - 24 cm at the lips",1,
"Other: PCMV- 16 PC, 75% FIO2, RR 22, 10 PEEP",1,
"Partial-rebreather mask, Other: vent",1,
Other: bipap at 100%,1,
Other: Ventialator in use.,1,
"Trach interface, Other: trach #8 shiley, vent settings: ASV PEEP 6, FiO2 30%",1,
Other: ventilation,1,
"Room air, Other: ambu bagging",1,
Other: Trach on Ventilator,1,
"CPAP/BiPAP Device, Other: O2 40%",1,
"Other: Ventilator, A/C",1,
Other:  ventilator,1,
"Other: 26 P PEAK, 8.8 EXPIRATORY, 481 VTE, 18 B/P/M, 6 PEEP, 50% OXYGEN",1,
"Room air, Other: vent on trach collar o2 60 peep 12",1,
"Room air, Other: intubatesd",1,
Other: ventilator 60%,1,
"Venturi mask, Cool mist aerosol",1,
Other: on mechanical ventilation,1,
"Non-rebreather mask, Other: biPAP machine",1,
Other: intubated adn vented,1,
"Other: Intubated, ET size 6",1,
"Other: intubated, bagging at 100% O2",1,
Other: ASV VENT,1,
Other: intubated and on vent,1,
"CPAP/BiPAP Device, Other: IPAP 12; Rate 16; EPAP 5; FiO2 30%",1,
"Room air, Other: pt is intubated",1,
"Trach collar, Heated high-flow oxygen, O2 not needed",1,
"Room air, Other: Trumpet",1,
"Venturi mask, Other: vent",1,
"T-Piece, Non-rebreather mask",1,
"Venturi mask, CPAP/BiPAP Device, Room air",1,
"O2 standby, equipment at bedside, Room air, Other: Vent",1,
"Other: AirVo, 40% 60L",1,
Other: intubated-,1,
"Room air, Other: receiving breathing tx",1,
"Room air, Other: venyilator",1,
Other: ETT - vent,1,
Other: breathing treatment infusing,1,
"Room air, Other: intub",1,
Other: pt being bagged I-gel in place on oxygen,1,
"Room air, Other: oral trach to vent peep 20",1,
"Non-rebreather mask, Other: Heliox treatment",1,
"Room air, Other: Intubated, On ventilator.",1,
Other: on ventilation system,1,
"T-Piece, Room air, Other: VENT",1,
"Home CPAP/BiPAP Device, Room air, Other: bipap",1,
"Aerosol mask, Other: On Vent, ASV 100/5/30",1,
"Room air, Other: VENT VIA TRACH",1,
Other: orally intub to vent peep 10 ac mode,1,
"Room air, Other: oral trached to vent",1,
Other: orally intubated to vent ac mode,1,
Other: orally intubated to vent on ac mode fio2 100%,1,
"Other: intubated, to vent",1,
"Room air, Other: respiratory called to administer breathing treatment.",1,
"Room air, Other: BI-PAP see resp notes for settings",1,
Other: orally trached to vent,1,
Other: orally trached to vent on peep 20 AC mode,1,
"Room air, Other: Et TUBE 7.0 19 AT lip",1,
"Room air, Other: orally intub to vent peep 10 ac mode",1,
"Aerosol mask, Other: Albuterol going at this time.",1,
Other: Ett tube,1,
"Non-rebreather mask, Other: MD notified of vitals.",1,
"Face shield, Bag mask",1,
Other: Ventilater,1,
"CPAP/BiPAP Device, Bag mask, Other: Intubation",1,
Other: Hi Flo NC,1,
"Nasal cannula, Venturi mask, High-flow nasal cannula",1,
"High-flow mask, Bag mask, Room air",1,
Other: pt placed on bipap,1,
Other: Ventilator at 100%.,1,
"Room air, Other: Air-vo",1,
Other: 70/30 heliox,1,
"Aerosol mask, O2 not needed",1,
Other: Mechanical Vent.,1,
Other: Intubated upon admission,1,
"O2 standby, equipment at bedside, Other: cpap at night",1,
"High-flow mask, Other: AirVo 60% oxygen",1,
"Room air, Other: heated high flow",1,
"Room air, Other: portable vent",1,
Other: tracheostomy- APVcmv,1,
Other: bagged by RT,1,
Other: being bagged,1,
"Other: Vent, Assist Control. 16 RR, 455 tidal volume, PEEP 5 FiO2 100%",1,
"Room air, Other: Ventilated.",1,
Other: Bipap/ Neb tx,1,
"Room air, Other: C-Pap",1,
Other: C-pap,1,
"Room air, Other: cpap with continuous nebulizer.",1,
"Room air, Other: CPAP with continuous nebulizers",1,
Other: cpap-ems,1,
"Room air, Other: EMS CPAP",1,
Other: albuterol with face mask,1,
"Room air, Other: Bag Valve Mask",1,
Other: Pt is on vent with a rate of 17 anf 35% 02,1,
"Room air, Other: intubated, 100% o2 peep 10",1,
"Nasal cannula, T-Piece, Oxymizer",1,
"Room air, Other: AIRVO",1,
Other: O2 @ 2L,1,
"Nasal cannula, Other: 5l",1,
"Nasal cannula, Other: nasal Cpap qhs",1,
"Room air, Other:",1,
"Room air, Other: ETT and Vent",1,
"High-flow nasal cannula, High-flow mask, Home CPAP/BiPAP Device, O2 standby, equipment at bedside",1,
"Trach collar with heater, Bag mask",1,
"CPAP/BiPAP Device, Room air, Other: bipap",1,
Other: On ventilator.,1,
Other: ventilated.,1,
"Other: Tracheostomy - Ventilated: SCMV 50% FiO2, 12 PEEP, 400 Tv, 20 rate",1,
"Other: vent  a/c 14 550 10 0.50, spon rate 7-10 breath per min, faster when on spon settings",1,
"Trach collar, Oxymizer, Cool mist aerosol",1,
"Other: Per EMS, family endorsed that pt is non-compliant with home O2 use and that he stays in the low 80's for an SPO2 at home.  Called RT to come and start BiPap on the pt.",1,
"Room air, Other: et  PLACED",1,
"High-flow nasal cannula, Home CPAP/BiPAP Device, O2 standby, equipment at bedside",1,
"Heated high-flow oxygen, High-flow nasal cannula, High-flow mask",1,
Other: high flow O2,1,
Other: vapo therm,1,
"High-flow mask, Other: BVM",1,
Other: INTUBABTED,1,
"Trach collar, T-Piece, Partial-rebreather mask",1,
Other: TC 40 %,1,
"Room air, Other: ETT 80% FiO2",1,
"Other: intubated, bagged at 20/min",1,
"High-flow mask, Oxymizer",1,
"Other: ET tube, vent",1,
Other: AMBU bag,1,
"Nasal cannula, Aerosol mask, Room air",1,
Other: RA,1,
Other: Vent 60% fiO2,1,
Other: 100% 40L vapotherm,1,
"Room air, Other: ETT/ vent. Tidal volume 310, PEEP 6, Rate 16",1,
Other: intubated vent,1,
Other: vented.,1,
Other: Vent .40 fiO2,1,
Other: ntubated,1,
Other: Intubated on vent,1,
"Trach collar, Other: vent.",1,
"Heated high-flow oxygen, Oxymizer",1,
"Oxyhood, Neonatal",1,
"Room air, Other: long term vent trach collar, fiot 50%",1,
"Trach collar, Other: Portable (personal) vent",1,
"CPAP/BiPAP Device, Other: pt states she uses a c-pap machine at night",1,
"Home CPAP/BiPAP Device, Other: pt intubated",1,
Other: Ventilator/ECMO,1,
"Non-rebreather mask, Room air, Other: in line nebulizer",1,
"Room air, Other: oxygen applied at 2l NC in GIDU",1,
"Trach collar, Room air, Other: red cap",1,
Other: ET tube.,1,
"Trach collar, Other: Portable vent",1,
"Room air, Other: BIpap upon arrival.",1,
"Room air, Other: tidal 400, intubated, rate 18, Ppeak 14, 7.5 ExpMinVol",1,
Other: albuterol neb,1,
Other: endotrach tube,1,
"T-Piece, Other: ENT Tube",1,
Other: ventilator via trach,1,
"Room air, Other: ventilated trach.  See Resp notes for settings.",1,
"Room air, Other: ventilator via trach",1,
"CPAP/BiPAP Device, Other: bipap",1,
Other: Ventilatory support,1,
Other: Vent 100% FIO2,1,
Other: netilatory- see RT notes for settings.,1,
Other: i-gel wiht resp assisted via BVM,1,
"CPAP/BiPAP Device, Room air, Other:",1,
"Room air, Other: trilogy",1,
"Room air, Other: on Vent",1,
Other: bagged at bedside,1,
"Room air, Other: BI-pap via vent",1,
Other: Ventilator fio2 50%,1,
Other: Bag valve mask.,1,
Other: venitlator,1,
Other: ventilator- intubated,1,
Other: venti-lator,1,
Other: LMA & Ambu bag,1,
Other: lma-ambu bag,1,
Other: LMA- ambu bag,1,
"Room air, Other: pt 73% on non rebreather upon arrival. pt placed on non rebreather in ed with 15L O2 flow",1,
Other: 100% FIO2,1,
"Room air, Other: ventilator, Peep 10, Rate 6",1,
Other: ventilatory via tracheostomy; fio2 0.6,1,
"High-flow nasal cannula, Other: Trach to Vent Shiley #6",1,
Other: trach ventilator,1,
Other: at home vent,1,
"Room air, Other: intubated and on ventilator",1,
"Room air, Other: on home vent",1,
Other: ETT-Vent,1,
Other: by-pap,1,
Other: Trached,1,
Other: VENT FIO=30%,1,
"Other: on Vent 100%, TV 400, Rate 20, PEEP 6",1,
Other: vented with trach,1,
"Trach collar, Other: arrived on home ventilator",1,
"Trach interface, Other: Vented",1,
"CPAP/BiPAP Device, Other: Bipap-O2 at 40%",1,
Other: high flow oxygen,1,
Other: ventilator/ intubated,1,
"Other: Vent, VC 28, 340, 6, 50%",1,
"Room air, Other: on ventilator.",1,
"Nasal cannula, Other: BiPAP at night",1,
"High-flow mask, Other: intubated",1,
"Room air, Other: vintalator",1,
"Nasal cannula, Trach collar, High-flow nasal cannula",1,
Other: pt using home-vent,1,
Other: Patient on vent.,1,
"Non-rebreather mask, Heated high-flow oxygen, Oxymizer",1,
Other: ETT/Ventilator,1,
"Room air, Other: ETT/ ventilator",1,
"Bag mask, Other: ETT",1,
"High-flow nasal cannula, O2 not needed, Cool mist aerosol",1,
Other: on Resp treatment,1,
"Room air, Other: vent 75%",1,
Other: intubate pt is been bagged,1,
Other: Trach to Vent,1,
Other: pt has been intubate,1,
"Nasal cannula, Face shield, Room air",1,
Other: Hosp BIPAP,1,
Other: et TUBE,1,
Other: Et Tube,1,
Other: Pt intubated size 5 LMA.,1,
Other: Pt intubated with size 5 LMA,1,
Other: Airvo 30%,1,
"Room air, Other: intubate and bagging",1,
Other: ETT/VENTILATOR,1,
Other: venilator,1,
Other: intubation/vent,1,
Other: optiflow @100%,1,
"Room air, Other: BIPAP at night",1,
Other: intubated from OR,1,
"Bag mask, Other: intubated, bagged",1,
"Other: Pt on the vent:  FIo2 50%, Peep 8, TV: 320, Rate 14",1,
"Other: on BIPAP, see respiratory notes for details.",1,
"Face shield, Home CPAP/BiPAP Device",1,
Other: Ventilator. 50% FiO2. RR 26. PEEP 10.,1,
Other: vs was done on the floor before my shift.,1,
Other: intubated adn sedated,1,
"Bag mask, Other: igel in place",1,
"Bag mask, Other: igel",1,
"Bag mask, Other: igel being bagged",1,
"Non-rebreather mask, Cool mist aerosol",1,
Other: aervo,1,
"Other: Air Vo 30L, 30%",1,
Other: bag via king airway,1,
"Room air, Other: Non-rebreather",1,
Other: on Vent.,1,
"Room air, Other: VENT 40% FIO2",1,
"Room air, Other: VENT 100% FIO2",1,
"Room air, Other: VENT 100%",1,
"Room air, Other: ETT, ASSISTED VENTILATIONS, 100%",1,
Other: vENTILATOR,1,
"Room air, Other: BVM AT 100%",1,
"Room air, Other: ASSISTED VENTILATIONS WITH BAG AT 100%",1,
Other: ambubag.,1,
Other: ET tube and vent,1,
Other: uses home oxygen prn,1,
Other: Endotracheal Tube,1,
Other: intubated 6 peep and 60% 02.,1,
"Face shield, Heated high-flow oxygen, Cool mist aerosol",1,
"Room air, Other: VENTILATION PER BAG, ETT TUBE SECURED, TO REPOSITION ETT AFTER CXR VIEWED",1,
"Other: Ambu bag, Intubated in route",1,
Other: humidity added,1,
Other: Intubated 6/40% SCMV,1,
Other: Ventilator 60% FIO2 ; 10 PEEP,1,
"Room air, Other: inbtubated",1,
"Nasal cannula, Other: BiPAP at night.",1,
Other: Vented- ASV 100/5/40%,1,
Other: vent 70% FiO2,1,
Other: patient is intubatee,1,
Other: inbuated,1,
Other: Tubed and vented,1,
Other: BMV ventilations,1,
Other: vent`,1,
Other: Vent settings: FiO2 100  Peep 10,1,
"Room air, Other: Bi-PAP",1,
Other: patient is on a vent,1,
"Room air, Other: patient is intubate",1,
Other: Mechanical ventilation.,1,
"Partial-rebreather mask, Other: intubated",1,
"Other: vent, ASV",1,
"High-flow nasal cannula, Other: Airvo",1,
Other: Hospital CPAP/BiPap,1,
"Trach interface, Room air, Other: mechanical vent",1,
Other: pt receiving breathing tmt,1,
Other: ett/vent,1,
Other: breathing tx in progress,1,
"Room air, Other: pt inbtubated via King air way",1,
"CPAP/BiPAP Device, Other: neb treatment",1,
"Room air, Other: Duoneb breathing treatment",1,
"Trach collar, Simple mask, Room air",1,
Other: on cpap per ems,1,
"Nasal cannula, Other: prn",1,
"Trach collar, Other: home vent",1,
"Other: Trach, home vent",1,
"Other: trach, home vent",1,
Other: ventilator; trach,1,
Other: vented; 12 respirations,1,
Other: patinet is on bipap,1,
"Room air, Other: intubated, RT at bedside, on ventilator",1,
"Other: intubated, bag valve mask",1,
Other: 8.0 SHILLEY TRACH,1,
"Room air, Other: airvo 40%",1,
Other: BVM with igel,1,
Other: breathing tx mask,1,
Other: unresponsive,1,
Other: pt vented,1,
"Room air, Other: endotracheal tube",1,
"Nasal cannula, Trach collar, O2 standby, equipment at bedside",1,
Other: Intubated/Vent,1,
"O2 standby, equipment at bedside, Bag mask, Room air",1,
"Nasal cannula, CPAP/BiPAP Device, O2 not needed",1,
"Room air, Other: on breathing treatment",1,
"Nasal cannula, CPAP/BiPAP Device, O2 standby, equipment at bedside, Room air",1,
"Home CPAP/BiPAP Device, Other: vented",1,
"Room air, Other: tubed",1,
"Nasal cannula, Cool mist aerosol, Bag mask",1,
"Nasal cannula, O2 not needed, Room air",1,
Other: ventilator 0.6,1,
"Room air, Other: 50% BIPAP",1,
Other: Airvo 60L/.95,1,
Other: airvo 60l/.95,1,
Other: airvo 60L & 88%Fio2,1,
"Room air, Other: Home;Venti ;SIMV; Mode",1,
Other: vent ET tube,1,
Other: King airway in place,1,
"Other: breathing treatment in progress, connect to 8L for administration purposes.",1,
"Simple mask, Cool mist aerosol",1,
"Room air, Other: Pt on continuous neb with 6l oxygen. Set up by respiratory",1,
"Room air, Other: pt intubated at this time ,",1,
Other: Ventilator 30% FiO2,1,
"High-flow nasal cannula, Room air, Other: BMV",1,
Other: EMS CPAP poor waveform,1,
Other: Home; Vent; SIMV mode,1,
"Room air, Other: Home;Venti- SIMV",1,
Other: Home - venti;  SiMV mode,1,
"Room air, Other: HOME VENTILATOR",1,
Other: Nasal Intubation,1,
"Trach collar, Trach collar with heater, Trach interface, Room air",1,
"Trach collar, Other: Pressure Support Vent",1,
"Trach collar, Other: pressure support",1,
Other: increase to 3 L,1,
"Aerosol mask, Cool mist aerosol, Other: 44%",1,
"Home CPAP/BiPAP Device, Other: 10/5",1,
Other: vent/ASV,1,
Other: pt being bagged by resp,1,
"Other: Vent, patient intubated",1,
"Nasal cannula, Heated high-flow oxygen, Room air",1,
Other: pt receiving albuterol tmt,1,
"Nasal cannula, T-Piece, High-flow nasal cannula",1,
"Room air, Other: VENT CMV mode",1,
"Room air, Other: Pt on Ventilator",1,
"Room air, Other: Pt on ventilator",1,
"Room air, Other: Amboo bag",1,
"Nasal cannula, High-flow nasal cannula, Other: oxymizer",1,
"Home CPAP/BiPAP Device, Other: hospital cpap machine",1,
"Home CPAP/BiPAP Device, Other: hospital CPAP",1,
"Venturi mask, Non-rebreather mask, Room air",1,
Other: ETT.,1,
"Other: vent, ECMO",1,
Other: portable vent,1,
Other: PEEP 10 Fi02 100 % changed by RT after patient desat 80 percent sp02 good and adequate pleth.,1,
"CPAP/BiPAP Device, Other: 45% O2, Ipap18,  epap 6",1,
Other: Vvent,1,
Other: ventilator 100%,1,
"Trach collar, Other: has  ventilator",1,
"Nasal cannula, Other: Sleep apnea- bipap at night",1,
"Room air, Other: mechanical ventilations",1,
"Room air, Other: pt on ventilator - see RT notes for settings",1,
Other: Trache Vented,1,
"Room air, Other: high flow",1,
"Trach collar with heater, Venturi mask, Non-rebreather mask",1,
