o2_device,count,mapping
Other: Airvo,21,
"Room air, Other: CPAP",20,
Other: on ventilator,20,
"Cool mist aerosol, Room air",19,
"Aerosol mask, High-flow nasal cannula",19,
Other: AirVo,19,
"Face shield, Room air",19,
"Simple mask, High-flow nasal cannula",19,
Other: cpap,19,
"Room air, Other: Bipap",18,
Other: Mechanical Ventilator,18,
Oxyhood,18,
Other: bag mask,18,
"Trach collar with heater, Trach interface",18,
"Room air, Other: on vent",18,
Other: Pt on ventilator,18,
"Room air, Other: INTUBATED",17,
"CPAP/BiPAP Device, O2 standby, equipment at bedside, Room air",17,
Other: tubed and vented,16,
"Room air, Other: BiPap",16,
Other: SCMV/ VENT,16,
"Room air, Other: bi-pap/cpap",16,
Other: ET,16,
Other: vapotherm,16,
"Trach collar, CPAP/BiPAP Device",16,
"Nasal cannula, Cool mist aerosol, Room air",15,
Other: et tube,15,
"Nasal cannula, CPAP/BiPAP Device, Room air",15,
"Other: ET TUBE IN PLACE, PT ON VENT",15,
Other: ambu bag,15,
"High-flow nasal cannula, Home CPAP/BiPAP Device",15,
"Room air, Other: Ventilator",14,
"Nasal cannula, Partial-rebreather mask",14,
Other: home vent,14,
Other: Pt intubated,13,
Other: mechanical ventilator,13,
"Nasal cannula, T-Piece",13,
"Non-rebreather mask, High-flow mask",13,
"Heated high-flow oxygen, O2 standby, equipment at bedside",13,
"Room air, Other: BVM",13,
"Trach collar, High-flow mask",12,
Other: intubated/vent,12,
"Trach interface, High-flow nasal cannula",12,
"Nasal cannula, Bag mask, Room air",12,
Other: ett,12,
"Room air, Other: Vented",11,
"Face shield, Cool mist aerosol",11,
"Room air, Other: Intubated",11,
"Heated high-flow oxygen, High-flow nasal cannula, Room air",11,
"Trach interface, Room air",11,
"Room air, Other: optiflow",11,
"Trach collar, Simple mask",11,
"Trach collar, Other: vent",11,
"Home CPAP/BiPAP Device, O2 standby, equipment at bedside",11,
"Room air, Other: airvo",10,
"Room air, Other: pt intubated and on vent",10,
"Heated high-flow oxygen, Bag mask",10,
Other: on BIPAP,10,
"Room air, Other: ET tube",10,
Other: ET TUBE,9,
Other: Vented trach,9,
Other: vapotherm 40/100/33,9,
"Room air, Other: VENTILATOR",9,
"High-flow nasal cannula, O2 standby, equipment at bedside",9,
"Aerosol mask, Cool mist aerosol",9,
"Trach collar, Other: on vent",9,
Other: Pt is on BIPAP with Heliox tank.,9,
"Room air, Other: ET",9,
"Partial-rebreather mask, High-flow nasal cannula",9,
Other: Intubated/ETT,8,
Other: trach,8,
Other: cric,8,
"Face shield, Heated high-flow oxygen",8,
"Heated high-flow oxygen, High-flow mask",8,
Other: pt is intubated,8,
"Room air, Other: ambu bag",8,
"Room air, Other: Bi-Pap",8,
Other: Bi-pap,8,
Other: Vapotherm,8,
Other: pt on vent,8,
"Partial-rebreather mask, Heated high-flow oxygen",8,
"High-flow mask, CPAP/BiPAP Device",8,
"Non-rebreather mask, Bag mask",8,
Other: CPAP/bipap,8,
"Room air, Other: vent via trach",8,
"Non-rebreather mask, O2 standby, equipment at bedside",8,
"Room air, Other: on ventilator",8,
"Non-rebreather mask, High-flow nasal cannula, Room air",8,
Other: et,8,
"T-Piece, Home CPAP/BiPAP Device",8,
"Trach collar, Non-rebreather mask",8,
"High-flow nasal cannula, O2 standby, equipment at bedside, Room air",8,
Other: ASV/Vent,8,
Other: Ventilated,7,
Other: vent/intubated,7,
"Room air, Other: bag mask",7,
"Trach collar, Heated high-flow oxygen, Room air",7,
Other: AIRVO,7,
"Venturi mask, Heated high-flow oxygen",7,
Other: trach to vent,7,
"Face shield, Venturi mask",7,
Other: Intubated.,7,
Other: ETT/ vent,7,
Other: Optiflow,7,
"Room air, Other: intubated on vent",7,
Other: Bi-Pap,7,
"Trach collar, Partial-rebreather mask",7,
Other: Intubation,7,
Other: trach/vent,6,
Other: optiflow,6,
"Trach collar with heater, High-flow nasal cannula",6,
"Room air, Other: pt intubated",6,
Other: home ventilator,6,
Other: non rebreather,6,
"Trach collar, Bag mask",6,
"Trach collar, T-Piece, Room air",6,
"Room air, Other: ET TUBE",6,
Other: pt on ventilator - see RT notes for settings,6,
"Room air, Other: intubated.",6,
"Room air, Other: Bi-pap",6,
"Room air, Other: cpap",6,
Other: vent.,6,
Other: mechanical vent,6,
Other: HOME VENT,6,
Other: ET Tube,6,
"Trach collar, Trach collar with heater, Heated high-flow oxygen",6,
Other: pt is on vent,6,
Other: on bipap,6,
"T-Piece, CPAP/BiPAP Device",6,
"Trach collar, Other: ventilator",5,
"Room air, Other: intubated/ventilated",5,
Other: vent AC/CMV 20 TV 450 FIO2 .40 peep 6,5,
Other: heliox,5,
"Room air, Other: ET/ Vent",5,
"Other: BVM by Dr Mitter, anesthesia",5,
Other: CPAP-bipap,5,
Other: BMV,5,
"Non-rebreather mask, Heated high-flow oxygen, Room air",5,
Other: AirVO,5,
"CPAP/BiPAP Device, Cool mist aerosol",5,
"Room air, Other: vent- intubated",5,
"CPAP/BiPAP Device, O2 not needed",5,
"Simple mask, Aerosol mask",5,
Other: breathing treatment,5,
Other: Ventilated Trach,5,
"Room air, Other: on bipap",5,
Other: Mechanical Ventilation,5,
"Trach collar with heater, Heated high-flow oxygen, Room air",5,
Other: I-gel with ambu bag,5,
Other: BIPAP Device,5,
Other: Intubated on ventilator,5,
Other: ventilator/intubated,5,
"Room air, Other: et tube",5,
Other: Bipap machine,5,
Other: bi-pap,5,
Other: trilogy vent,5,
"High-flow nasal cannula, Other: airvo",5,
Other: Ventilator.,5,
Other: intubated on vent,5,
Other: INTUBATED ON VENT,4,
Other: Mechanical ventilation,4,
"Room air, Other: vent no changes from prior settings",4,
Other: Air Vo,4,
"Trach collar, O2 standby, equipment at bedside, O2 not needed",4,
Other: CPAP-BIpap,4,
"Room air, Other: bipap machine",4,
Other: on vent.,4,
Other: ambubag,4,
Other: breathing tx,4,
Other: home trach/vent,4,
Other: BAG VALVE MASK,4,
"Aerosol mask, Venturi mask",4,
Other: Venti-lator,4,
"CPAP/BiPAP Device, Bag mask",4,
"O2 standby, equipment at bedside, Neonatal, Room air",4,
"O2 standby, equipment at bedside, Cool mist aerosol, Room air",4,
Other: trach collar,4,
Other: bpapp,4,
"Trach interface, Heated high-flow oxygen, Room air",4,
"Heated high-flow oxygen, Cool mist aerosol",4,
"Simple mask, CPAP/BiPAP Device",4,
"Non-rebreather mask, Oxymizer, Room air",4,
"Venturi mask, High-flow mask",4,
Other: bag ET,4,
Other: tubed,4,
"Room air, Other: ventilated",4,
Other: oral trached to vent,4,
"Trach collar, CPAP/BiPAP Device, Room air",4,
"Aerosol mask, CPAP/BiPAP Device",4,
Other: ET tube connected to ventilaor with FiO2 of 100%,4,
"Trach collar, O2 not needed",4,
"O2 standby, equipment at bedside, Bag mask",4,
Other: trache and ventilator,4,
"Room air, Other: vantalatory",4,
Other: on neb tx,4,
"O2 standby, equipment at bedside, Cool mist aerosol",4,
Other: ventillator,4,
"Heated high-flow oxygen, O2 standby, equipment at bedside, Room air",4,
Other: on home vent,4,
Other: ASV,4,
Other: OETT; vent,4,
Other: vent/trach,3,
Other: VapoTherm 40L,3,
"Heated high-flow oxygen, Bag mask, Room air",3,
Other: VAPOTHERM,3,
"O2 standby, equipment at bedside, Neonatal",3,
Other: ET tube to vent,3,
Other: vent through trach,3,
Other: bag valve mask,3,
"High-flow nasal cannula, CPAP/BiPAP Device, Room air",3,
"Nasal cannula, Trach collar with heater",3,
Other: NIPPV,3,
Other: BiPaP,3,
"Room air, Other: BAG VALVE MASK",3,
"Room air, Other: et",3,
Other: mech vent,3,
"Heated high-flow oxygen, O2 not needed",3,
"Nasal cannula, Trach interface",3,
"Nasal cannula, High-flow nasal cannula, Room air",3,
Other: Intubated-Vent,3,
Other: non-rebreather,3,
Other: APV vent,3,
Other: oral trach to vent on AC mode peep 20,3,
Other: C-Pap,3,
"Room air, Other: breathing treatment",3,
Other: Cpap,3,
"Room air, Other: vent no changes to settings",3,
Other: endotracheal tube,3,
"Trach collar, Room air, Other: vent",3,
"Room air, Other: home ventilator",3,
Other: hospital bipap,3,
"Room air, Other: AirVou",3,
Other: pt on ventilator,3,
Other: high flow NC,3,
"Trach collar, Other: home ventilator",3,
"Room air, Other: intubated and ventilated",3,
"Nasal cannula, CPAP/BiPAP Device, O2 standby, equipment at bedside",3,
"Non-rebreather mask, Home CPAP/BiPAP Device",3,
Other: high flow,3,
"High-flow nasal cannula, Oxymizer",3,
"Trach collar, Trach collar with heater, Room air",3,
"Trach collar, Other: vented",3,
Other: nasal airway,3,
Other: pt is vented,3,
"Nasal cannula, Trach collar, Room air",3,
"High-flow mask, Cool mist aerosol",3,
"Room air, Other: trach vent",3,
Other: mechanical venitilator,3,
Other: ett/ambu,3,
"Home CPAP/BiPAP Device, Other: C-pap",3,
Other: bagged,3,
"Nasal cannula, Non-rebreather mask, Room air",3,
"Nasal cannula, O2 standby, equipment at bedside, O2 not needed",3,
Other: EMS CPAP,3,
Other: Pt on vent - see RT notes for settings.,3,
"Room air, Other: bi-pap",3,
"Other: intubated, bagging",3,
Other: Pt. intubated,3,
Other: pt intubated.,3,
Other: CPAP-Bipap,3,
"Room air, Other: home vent",3,
Other: NRM,3,
Other: mv,3,
Other: bagged via ETT,3,
"Room air, Other: venilator",3,
"Face shield, CPAP/BiPAP Device",3,
"Trach collar, Non-rebreather mask, Room air",3,
"Room air, Other: pt is on vent",3,
"Room air, Other: c-pap",3,
"Aerosol mask, O2 standby, equipment at bedside, Room air",3,
Other: airvo 60L/.95,3,
"CPAP/BiPAP Device, Other: 30% O2",3,
"Room air, Other: BMV",3,
"Room air, Other: Intubated.",3,
