,med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,rate_per_hour,concentration,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic,,color
1677,DOPamine,FALSE,Medication,pressor,inotrope,PRMX DOPamine 400 mg Drip std*,Not Recorded,none,74693,,400 mg / 250 mL,400.0 mg,mg,400,none,TRUE,FALSE,DOPamine/d5w,,
1679,,,,,,PRMX EPInephrine 2mg/D5W drip std*,Not Recorded,none,4539,,,2.0 mg,mg,2,none,TRUE,FALSE,,,
1680,epinephrine,FALSE,Medication,pressor,inotrope,PRMX EPInephrine 4mg/D5W drip std*,Microgram/Kilogram/Minute,none,334797,,4 mg / 250 mL,4.0 mg,mg,4,none,TRUE,FALSE,EPInephrine in d5w,,
1681,epinephrine,FALSE,Medication,pressor,inotrope,PRMX EPInephrine 4mg/NS drip,Microgram/Kilogram/Minute,none,1277,,4 mg / 250 mL,4.0 mg,mg,4,none,TRUE,FALSE,EPInephrine in ns,,
1687,HYDROmorphone,FALSE,Medication,analgesic,opioids,PRMX Hydromorphone 20 mg/NS Drip,Not Recorded,none,6939,,?,20.0 mg,mg,20,none,TRUE,FALSE,HYDROmorphone PF,,
1688,HYDROmorphone,FALSE,Medication,analgesic,opioids,PRMX Hydromorphone 20 mg/NS Drip,Not Recorded,none,6939,,?,20.0 mg,mg,20,none,TRUE,FALSE,HYDROmorphone in ns,,
1689,HYDROmorphone,FALSE,Medication,analgesic,opioids,PRMX Hydromorphone 20 mg/NS Drip,Not Recorded,none,43,,?,20.0 mg,mg,20,none,TRUE,FALSE,HYDROmorphone PF,,
1690,HYDROmorphone,FALSE,Medication,analgesic,opioids,PRMX Hydromorphone 20 mg/NS Drip,Not Recorded,none,43,,?,20.0 mg,mg,20,none,TRUE,FALSE,HYDROmorphone in ns,,
1691,insulin regular,FALSE,Medication,insulin,other,PRMX Insulin Reg Hum.,Not Recorded,none,569298,,,none,,,none,TRUE,FALSE,insulin reg human premix,,
1693,insulin regular,FALSE,Medication,insulin,other,PRMX Insulin Reg Human 250units Drip std* (OR charging),Not Recorded,none,293,,,250.0 unit,unit,250,none,TRUE,FALSE,insulin reg human in ns,,
1695,midazolam,FALSE,Medication,sedative,benzodiazepine,PRMX Midazolam 100mg Drip Std*,Not Recorded,none,307036,,50 mg / 50 mL,100.0 mg,mg,100,none,TRUE,FALSE,midazolam in ns,,
1697,milrinone,FALSE,Medication,bp_lowering,other,PRMX Milrinone 40 mg Drip std*,Not Recorded,none,1148623,,200 mcg / mL,40.0 mg,mg,40,none,TRUE,FALSE,milrinone/d5w,,
1701,nitroglycerin,FALSE,Medication,bp_lowering,other,PRMX Nitroglycerin 50 mg Drip std*,Micrograms/Minute,none,115331,,50 mg / 250 mL,50.0 mg,mg,50,none,TRUE,FALSE,nitroglycerin/d5w,,
1702,phenylephrine,FALSE,Medication,pressor,vasopressor,PRMX PHENYLephrine 25mg/D5W drip,Microgram/Kilogram/Minute,none,155,,25 mg / 250 mL,25.0 mg,mg,25,none,TRUE,FALSE,PHENYLephrine in d5w,,
1703,phenylephrine,FALSE,Medication,pressor,vasopressor,PRMX PHENYLephrine 25mg/NS drip std*,Microgram/Kilogram/Minute,none,139011,,25 mg / 250 mL,25.0 mg,mg,25,none,TRUE,FALSE,PHENYLephrine in ns,,
1711,diltiazem,FALSE,Medication,bp_lowering,other,PRMX diltiazem 100 mg drip,Microgram/Kilogram/Minute,none,34652,,125 mg / 125 mL,100.0 mg,mg,100,none,TRUE,FALSE,diltiazem,,
1712,diltiazem,FALSE,Medication,bp_lowering,other,PRMX diltiazem 125 mg drip,Milligram/Hour,none,15638,,125 mg / 125 mL,125.0 mg,mg,125,none,TRUE,FALSE,diltiazem,,
1714,ketamine,FALSE,Medication,analgesic,other,PRMX ketamine 400 mg Drip DBL (FOR ICU),Milligram/Kilogram/Hour,none,76254,,200 mg / 50 mL,400.0 mg,mg,400,none,TRUE,FALSE,ketamine drip,,
1725,pantoprazole,FALSE,Medication,proton_pump_inhibitor,other,Pantoprazole IV for Invest.study,Not Recorded,none,9,,,none,,,none,TRUE,FALSE,pantoprazole P#3001k200042,,
1730,penicillin G potassium,FALSE,Medication,anti-infective,penicillins,Penicillin G K 20 million units CMPD,Not Recorded,none,24,,?,none,,,none,TRUE,FALSE,Penicillin G K,,
1732,penicillin G potassium,FALSE,Medication,anti-infective,penicillins,"Penicillin G K 5,000,000 unit(s)/ns IVPB",Not Recorded,none,10705,,?,5000000.0 unit,unit,5000000,none,TRUE,FALSE,penicillin g k in ns,,
1734,penicillin G potassium,FALSE,Medication,anti-infective,penicillins,Penicillin G Pot. 0.1units/mL for Desensitization,Not Recorded,none,16,,?,0.1 unit,unit,0.1,none,TRUE,FALSE,Penicillin G Pot./ns,,
1735,penicillin G potassium,FALSE,Medication,anti-infective,penicillins,Penicillin G Pot. 1000 units/mL for Desensitization,Not Recorded,none,15,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,Penicillin G Pot./ns,,
1736,penicillin G potassium,FALSE,Medication,anti-infective,penicillins,Penicillin G Pot. 10units/mL for Desensitization,Not Recorded,none,16,,?,10.0 unit,unit,10,none,TRUE,FALSE,Penicillin G Pot./ns,,
1740,penicillin G potassium,FALSE,Medication,anti-infective,penicillins,"Penicillin G Pot. 50,000 units/mL for Desensitization",Not Recorded,none,26,,?,50000.0 unit,unit,50000,none,TRUE,FALSE,Penicillin G Pot./ns,,
1746,perflutren,FALSE,Medication,other,other,Perflutren,Not Recorded,none,375,,?,none,,,none,TRUE,FALSE,perflutren,,
1747,hyperal peripheral,TRUE,Parenteral Nutrition,other,other,Peripheral Parenteral Nutrition,Not Recorded,none,360683,84 mL / hr,,none,,,none,TRUE,FALSE,Peripheral Parenteral Nutrition (hyperal),,
1748,hyperal peripheral,TRUE,Parenteral Nutrition,other,other,Peripheral TPN,Not Recorded,none,45390,84 mL / hr,,none,,,none,TRUE,FALSE,Peripheral TPN,,
1772,,,,,,Piperacillin/Tazobactam  2.25gm/NS IVPB,Not Recorded,none,648,,,2.25 gm,gm,2.25,none,TRUE,FALSE,,,
1776,,,,,,Polyethylene Glycol pwdr 17gm unit dose,Not Recorded,none,1,,,17.0 gm,gm,17,none,TRUE,FALSE,,,
1796,Potassium Level Recheck Reminder,FALSE,Medication,other,other,Potassium Level Recheck Reminder,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,potassium level recheck reminder,,
1808,famotidine,FALSE,Medication,antihistamine,acid_suppressant,Preop famotidine,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,famotidine,,
1809,PrismaSol B22GK4/0 w/o Calcium,TRUE,Dialysis Solution,fluid_electrolyte,other,PrismaSol B22GK4/0 w/out Calcium soln,Not Recorded,none,6,,,none,,,none,TRUE,FALSE,prismaSol B22GK4/0,,
1810,Prismasate BK4/0 w/o Calcium,TRUE,Dialysis Solution,fluid_electrolyte,other,Prismasate B22GK4/0 w/o Calcium,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,prismasate b22gk4/0,,
1823,promethazine,FALSE,Medication,antiemetic,other,Promethazine 12.5mg IV,Not Recorded,none,145,,,12.5 mg,mg,12.5,none,TRUE,FALSE,promethazine inj,,
1836,prothrombin complex concentrate,FALSE,Medication,other,other,Prothrombin Complex concentrate (Bebulin),Not Recorded,none,40,,21 units / mL,none,,,none,TRUE,FALSE,prothrombin complex conc.,,
1837,prothrombin complex conc human,FALSE,Medication,other,other,Prothrombin complex (Human) (Kcentra),Not Recorded,none,1552,,21 units / mL,none,,,none,TRUE,FALSE,prothrombin complex,,
1848,RHo (D) immune globulin,FALSE,Medication,other,other,RHo (D) immune globulin 300 mcg (Rhogam IM),Not Recorded,none,7,,,300.0 mcg,mcg,300,none,TRUE,FALSE,RHo (D) immune globulin,,
1862,rocuronium,FALSE,Medication,neuromuscular_blocker,other,Rocuronium 10 mg/mL per mL,Not Recorded,none,8,,,10.0 mg,mg,10,none,TRUE,FALSE,rocuronium,,
1881,secretin,FALSE,Medication,other,other,Secretin 16mcg synthetic human,Not Recorded,none,14,,,16.0 mcg,mcg,16,none,TRUE,FALSE,secretin,,
1910,sodium benzoate-sodium phenylacetate,FALSE,Medication,other,other,Sodium benzoate-Sodium phenylacetate 10%,Not Recorded,none,56,,,none,,,none,TRUE,FALSE,sod.benzoate-sod.phenylacetate,,
1911,Standard PAL Line IV fluid,TRUE,IV Line Fluid,other,other,Standard PAL Line IV fluid,Not Recorded,none,167,,?,none,,,none,TRUE,FALSE,Standard PAL Line fluid,,
1912,Standard UAC Line IV fluid,TRUE,IV Line Fluid,other,other,Standard UAC Line IV fluid,Not Recorded,none,153,,?,none,,,none,TRUE,FALSE,Standard UAC Line fluid,,
1913,Standard UVC Line IV fluid,TRUE,IV Line Fluid,other,other,Standard UVC Line IV fluid,Not Recorded,none,101,,?,none,,,none,TRUE,FALSE,Standard UVC Line fluid,,
1947,thrombin topical,FALSE,Medication,other,other,Thrombin 5000 unit recombinant powder,Not Recorded,none,2,,,5000.0 unit,unit,5000,none,TRUE,FALSE,thrombin,,
1949,ticarcillin-clavulanate,FALSE,Medication,anti-infective,penicillins,Ticar/Clav 3.1 IVPB,Not Recorded,none,110,,10 mg / mL,none,,,none,TRUE,FALSE,ticarcillin-clavulanate/ns,,
1954,,,,,,Tobramycin Intermittent Dosing by Pharmacist,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,,,
1965,tranexamic acid,FALSE,Medication,other,other,Tranexamic acid 2gm bolus dose,Not Recorded,none,77,,,2.0 gm,gm,2,none,TRUE,FALSE,tranexamic acid,,
1977,citric acid-sodium citrate,TRUE,Electrolyte Solution (Other),other,other,Tri-sodium Citrate,Not Recorded,none,15,,?,none,,,none,TRUE,FALSE,sod. citrate-citric acid,,
1980,sodium citrate,TRUE,Electrolyte Solution (Other),other,other,Trisodium citrate solution,Not Recorded,none,1,,?,none,,,none,TRUE,FALSE,anticoag. sodium citrate,,
1989,vancomycin,FALSE,Medication,anti-infective,glycopeptide,Vancomycin 1500mg/NS ivpb (EUOSH ONLY),Not Recorded,none,68672,,500 mg / 100 mL,1500.0 mg,mg,1500,none,TRUE,FALSE,vancomycin in ns,,
1999,vancomycin,FALSE,Medication,anti-infective,glycopeptide,Vancomycin 500mg (10gm vial),Not Recorded,none,87110,,500 mg / 100 mL,500.0 mg,mg,500,none,TRUE,FALSE,vancomycin,,
2005,Vancomycin Intermittent Dosing by Pharmacist,FALSE,Medication,anti-infective,glycopeptide,Vancomycin Intermittent Dosing by Pharmacist,Not Recorded,none,1,,500 mg / 100 mL,none,,,none,TRUE,FALSE,vancomycin pulse dosing,,
2006,Vancomycin Intermittent Dosing by Pharmacist,FALSE,Medication,anti-infective,glycopeptide,Vancomycin Intermittent Dosing by Pharmacist,Not Recorded,none,2,,500 mg / 100 mL,none,,,none,TRUE,FALSE,vancomycin pulse dosing,,
2010,vasopressin,FALSE,Medication,pressor,vasopressor,Vasopressin/Placebo for study,Not Recorded,none,6,,500 mg / 100 mL,none,,,none,TRUE,FALSE,vasopressin/placebo (P#IDS22),,
2055,alteplase,FALSE,Medication,other,other,alteplase per 10 mg,Milligram/Hour,none,1817,,,10.0 mg,mg,10,none,TRUE,FALSE,alteplase,,
2056,alteplase,FALSE,Medication,other,other,alteplase per 12.5mg ADD,Not Recorded,none,13635,,,12.5 mg,mg,12.5,none,TRUE,FALSE,alteplase,,
2059,anti-inhibitor coagulant complex,FALSE,Medication,other,other,anti-inhibitor coagulant complex 1000 units,Not Recorded,none,114,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,anti-inhibitor coagulant complex,,
2060,anti-inhibitor coagulant complex,FALSE,Medication,other,other,anti-inhibitor coagulant complex 2500 units,Not Recorded,none,570,,?,2500.0 unit,unit,2500,none,TRUE,FALSE,anti-inhibitor coagulant complex,,
2061,anti-inhibitor coagulant complex,FALSE,Medication,other,other,anti-inhibitor coagulant complex 50 units,Not Recorded,none,36,,?,50.0 unit,unit,50,none,TRUE,FALSE,anti-inhibitor coagulant complex,,
2063,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 1000 units,Not Recorded,none,194,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,factor 8,,
2064,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 1000 units,Not Recorded,none,194,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,factor 8 (Kogenate),,
2065,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 1000 units,Not Recorded,none,67,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,factor 8,,
2066,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 1000 units,Not Recorded,none,67,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,factor 8 (Kogenate),,
2068,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 2000 units,Not Recorded,none,388,,?,2000.0 unit,unit,2000,none,TRUE,FALSE,factor 8,,
2069,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 2000 units,Not Recorded,none,388,,?,2000.0 unit,unit,2000,none,TRUE,FALSE,factor 8 (Kogenate),,
2070,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 2000 units,Not Recorded,none,84,,?,2000.0 unit,unit,2000,none,TRUE,FALSE,factor 8,,
2071,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 2000 units,Not Recorded,none,84,,?,2000.0 unit,unit,2000,none,TRUE,FALSE,factor 8 (Kogenate),,
2072,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 250 units,Not Recorded,none,5,,?,250.0 unit,unit,250,none,TRUE,FALSE,factor 8,,
2073,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 3000 units,Not Recorded,none,61,,?,3000.0 unit,unit,3000,none,TRUE,FALSE,factor 8,,
2074,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 3000 units,Not Recorded,none,61,,?,3000.0 unit,unit,3000,none,TRUE,FALSE,factor 8 (Kogenate),,
2075,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 3000 units,Not Recorded,none,86,,?,3000.0 unit,unit,3000,none,TRUE,FALSE,factor 8,,
2076,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 3000 units,Not Recorded,none,86,,?,3000.0 unit,unit,3000,none,TRUE,FALSE,factor 8 (Kogenate),,
2077,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 500 units,Not Recorded,none,59,,?,500.0 unit,unit,500,none,TRUE,FALSE,factor 8,,
2078,antihemophilic factor,FALSE,Medication,other,other,antihemophilic factor 8 recombinant 500 units,Not Recorded,none,3,,?,500.0 unit,unit,500,none,TRUE,FALSE,factor 8,,
2079,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand 500 units,Not Recorded,none,10,,?,500.0 unit,unit,500,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2080,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand 500 units (HUMATE P),Not Recorded,none,2,,?,500.0 unit,unit,500,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2081,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand 500 units (HUMATE P),Not Recorded,none,2,,?,500.0 unit,unit,500,none,TRUE,FALSE,antihemoph F8-vonWill HUMATE P,,
2082,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand 500 units (HUMATE P),Not Recorded,none,1,,?,500.0 unit,unit,500,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2083,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand 500 units (HUMATE P),Not Recorded,none,1,,?,500.0 unit,unit,500,none,TRUE,FALSE,antihemoph F8-vonWill HUMATE P,,
2084,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor (WILATE) 1000U,Not Recorded,none,137,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,antihemoph-vonwillebrand (WILATE),,
2085,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor (WILATE) 500U,Not Recorded,none,7,,?,500.0 unit,unit,500,none,TRUE,FALSE,antihemoph-vonwille WILATE,,
2086,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1000 units,Not Recorded,none,46,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2087,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1000 units (HUMATE P),Not Recorded,none,19,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2088,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1000 units (HUMATE P),Not Recorded,none,19,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,antihemoph F8-vonWill HUMATE P,,
2089,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1000 units (HUMATE P),Not Recorded,none,57,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2090,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1000 units (HUMATE P),Not Recorded,none,57,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,antihemoph F8-vonWill HUMATE P,,
2091,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1600 units,Not Recorded,none,48,,?,1600.0 unit,unit,1600,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2092,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1600 units (HUMATE P),Not Recorded,none,2,,?,1600.0 unit,unit,1600,none,TRUE,FALSE,antihemoph F8-vonWill HUMATE P,,
2093,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1600 units (HUMATE P),Not Recorded,none,2,,?,1600.0 unit,unit,1600,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2094,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1600 units (HUMATE P),Not Recorded,none,1,,?,1600.0 unit,unit,1600,none,TRUE,FALSE,antihemoph F8-vonWill HUMATE P,,
2095,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 1600 units (HUMATE P),Not Recorded,none,1,,?,1600.0 unit,unit,1600,none,TRUE,FALSE,antihemophilic F8-von Willebrand,,
2096,antihemophilic factor-von Willebrand factor inj,FALSE,Medication,other,other,antihemophilic factor-von Willebrand factor 2400 units,Not Recorded,none,8,,?,2400.0 unit,unit,2400,none,TRUE,FALSE,antihemophilic factor-von Willebrand factor,,
2169,coagulation factor IX,FALSE,Medication,other,other,coagulation factor IX recombinant 1000 units,Not Recorded,none,10,,?,1000.0 unit,unit,1000,none,TRUE,FALSE,factor 9,,
2170,coagulation factor IX,FALSE,Medication,other,other,coagulation factor IX recombinant 2000 units,Not Recorded,none,2,,?,2000.0 unit,unit,2000,none,TRUE,FALSE,factor 9,,
2171,coagulation factor IX,FALSE,Medication,other,other,coagulation factor IX recombinant 3000 units,Not Recorded,none,89,,?,3000.0 unit,unit,3000,none,TRUE,FALSE,factor 9,,
2173,coagulation factor Xa,FALSE,Medication,other,other,"coagulation factor Xa (recombinant), inactivated-zhzo (ANDEXXA)",Milligram/Hour,none,53,,?,none,,,none,TRUE,FALSE,coagulation factor Xa,,
2174,cytarabine liposomal-daunorubicin liposomal,FALSE,Medication,other,other,cytarabine lipo-daunorub lipo 100mg-44mg,Not Recorded,none,3,,5 mg / mL,100.0 mg,mg,100,none,TRUE,FALSE,cytarabine liposomal-daunorubicin liposomal,,
2175,cytarabine liposomal-daunorubicin liposomal,FALSE,Medication,other,other,cytarabine lipo-daunorub lipo 100mg-44mg,Not Recorded,none,3,,5 mg / mL,100.0 mg,mg,100,none,TRUE,FALSE,cytarabine-daunorubicin lipo,,
2176,cytarabine liposomal-daunorubicin liposomal,FALSE,Medication,other,other,cytarabine lipo-daunorub lipo 100mg-44mg,Not Recorded,none,151,,5 mg / mL,100.0 mg,mg,100,none,TRUE,FALSE,cytarabine liposomal-daunorubicin liposomal,,
2177,cytarabine liposomal-daunorubicin liposomal,FALSE,Medication,other,other,cytarabine lipo-daunorub lipo 100mg-44mg,Not Recorded,none,151,,5 mg / mL,100.0 mg,mg,100,none,TRUE,FALSE,cytarabine-daunorubicin lipo,,
2185,diltiazem,FALSE,Medication,bp_lowering,other,dilTIAZem 5 mg/mL ADD,Milligram/Hour,none,87,,1 mg / mL,5.0 mg,mg,5,none,TRUE,FALSE,dilTIAZem,,
2189,,,,,,esmolol 10 mg/mL bolus from bag,Not Recorded,none,19,,,10.0 mg,mg,10,none,TRUE,FALSE,,,
2194,fluconazole,FALSE,Medication,anti-infective,antifungals,fluconazole 40 mg/mL UD Liquid,Not Recorded,none,4,,2 mg / mL,40.0 mg,mg,40,none,TRUE,FALSE,fluconazole,,
2200,heparin,FALSE,Medication,anticoagulant,other,hePARIN Vas-Cath 1000 unit(s)/mL,Not Recorded,none,324,,25000 units / 250 mL,1000.0 unit,unit,1000,none,TRUE,FALSE,hePARIN vascath,,
2202,,,,,,heparin 100 units/mL re-bolus from bag,Not Recorded,none,214,,,100.0 unit,unit,100,none,TRUE,FALSE,,,
2205,hepatitis B immune globulin,FALSE,Medication,other,other,hepatitis B immune globulin /NS IVPB,Not Recorded,none,132,,?,none,,,none,TRUE,FALSE,hepatitis B immune globulin/NS IVPB,,
2206,hepatitis B immune globulin,FALSE,Medication,other,other,hepatitis B immune globulin /NS IVPB,Not Recorded,none,132,,?,none,,,none,TRUE,FALSE,hepatitis B immune glob./NS,,
2207,hepatitis B immune globulin,FALSE,Medication,other,other,hepatitis B immune globulin /NS IVPB,Not Recorded,none,9,,?,none,,,none,TRUE,FALSE,hepatitis B immune globulin/NS IVPB,,
2208,hepatitis B immune globulin,FALSE,Medication,other,other,hepatitis B immune globulin /NS IVPB,Not Recorded,none,9,,?,none,,,none,TRUE,FALSE,hepatitis B immune glob./NS,,
2214,immune globulin intravenous,FALSE,Medication,other,other,immune globulin intravenous 10% 10g (Gammagard S/D Low IgA),Not Recorded,none,33,,50 mg / mL,10.0 g,g,10,none,TRUE,FALSE,immune globulin intravenous 10%,,
2215,immune globulin intravenous,FALSE,Medication,other,other,immune globulin intravenous 10% 5g (Gammagard  S/D Low IgA),Not Recorded,none,5,,50 mg / mL,5.0 g,g,5,none,TRUE,FALSE,immune globulin intravenous 10%,,
2220,indocyanine green,FALSE,Medication,other,other,indocyanine green 25 mg,Not Recorded,none,2416,,,25.0 mg,mg,25,none,TRUE,FALSE,indocyanine green,,
2223,insulin isophane (NPH),FALSE,Medication,insulin,other,insulin isophane (NPH) 100 units/mL,Not Recorded,none,1,,,100.0 unit,unit,100,none,TRUE,FALSE,insulin isophane (NPH),,
2231,insulin pump patient - lispro,FALSE,Medication,insulin,other,insulin pump patient - lispro,Not Recorded,none,1,,,none,,,none,TRUE,FALSE,insulin pump patient - lispro,,
2232,insulin pump patient - regular,FALSE,Medication,insulin,other,insulin pump patient - regular,Not Recorded,none,5,,,none,,,none,TRUE,FALSE,insulin pump patient - regular,,
2233,,,,,,insulin regular 1 unit/mL bolus from bag,Not Recorded,none,98,,,1.0 unit,unit,1,none,TRUE,FALSE,,,
2240,ketamine,FALSE,Medication,analgesic,other,ketamine Bolus from bag,Not Recorded,none,231,,,none,,,none,TRUE,FALSE,ketamine Bolus from bag,,
2262,metroNIDAZOLE,FALSE,Medication,anti-infective,metronidazole,metroNIDAZOLE 5mg/ml CMPD,Not Recorded,none,968,,500 mg / 100 mL,5.0 mg,mg,5,none,TRUE,FALSE,metroNIDAZOLE / NS,,
2267,Misc Medication TNF,FALSE,Medication,other,other,nf bulk,Not Recorded,none,15,,?,none,,,none,TRUE,FALSE,nf bulk,,
2268,Misc Medication TNF,FALSE,Medication,other,other,nf chemo,Not Recorded,none,1511,,?,none,,,none,TRUE,FALSE,nf chemo,,
2269,Misc Medication TNF,FALSE,Medication,other,other,nf ivpb,Not Recorded,none,9203,,?,none,,,none,TRUE,FALSE,nf ivpb,,
2270,Misc Medication TNF,FALSE,Medication,other,other,nf med,Not Recorded,none,4802,,?,none,,,none,TRUE,FALSE,nf med,,
2277,morphine,FALSE,Medication,analgesic,opioids,nn-morphine 10 mg/mL ADD,Milligram/Kilogram/Hour,none,95,,500 mg / 500 mL,10.0 mg,mg,10,none,TRUE,FALSE,morphine,,
2345,von Willebrand factor,FALSE,Medication,other,other,von Willebrand factor recombinant 900-1700 units,Not Recorded,none,8,,?,1700.0 unit,unit,1700,none,TRUE,FALSE,von Willebrand factor,,
2360,ketamine,FALSE,Medication,analgesic,other,zzzPRMX ketamine 400 mg Drip DBL (FOR ICU),Not Recorded,none,86,,200 mg / 50 mL,400.0 mg,mg,400,none,TRUE,FALSE,ketamine drip,,
