formulary_name,med_name_generic,med_action_dose_unit,volume_given,volume_unit,volume_numeric,count
FAT EMULSION PLANT BASED (SOY) 20 % IV EMUL,Fat Emulsion Plant Based (Soy),mL/hr,.19,mL/hr,.19,6
FAT EMULSION PLANT BASED (SOY) 20 % IV EMUL,Fat Emulsion Plant Based (Soy),mL/hr,.43,mL/hr,.43,9
FAT EMULSION PLANT BASED (SOY) 20 % IV EMUL,Fat Emulsion Plant Based (Soy),mL/hr,.14,mL/hr,.14,5
FAT EMULSION PLANT BASED (SOY) 20 % IV EMUL,Fat Emulsion Plant Based (Soy),mL/hr,.12,mL/hr,.12,2
FAT EMULSION PLANT BASED (SOY) 20 % IV EMUL,Fat Emulsion Plant Based (Soy),mL/hr,.1,mL/hr,.1,56
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.66,mL/hr,.66,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.85,mL/hr,.85,51
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.64,mL/hr,.64,8
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.67,mL/hr,.67,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.65,mL/hr,.65,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.68,mL/hr,.68,9
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.84,mL/hr,.84,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.73,mL/hr,.73,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.74,mL/hr,.74,19
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.75,mL/hr,.75,23
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.8,mL/hr,.8,989
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.62,mL/hr,.62,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.7,mL/hr,.7,970
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.6,mL/hr,.6,1466
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.51,mL/hr,.51,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.56,mL/hr,.56,12
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.55,mL/hr,.55,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.53,mL/hr,.53,23
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.52,mL/hr,.52,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.5,mL/hr,.5,1084
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.49,mL/hr,.49,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.48,mL/hr,.48,30
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.47,mL/hr,.47,4
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.46,mL/hr,.46,6
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.45,mL/hr,.45,10
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.44,mL/hr,.44,32
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.43,mL/hr,.43,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.58,mL/hr,.58,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.9,mL/hr,.9,805
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,8,mL/hr,8,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.94,mL/hr,.94,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/kg/min,.25,mL/kg/min,.25,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,8.3,mL/hr,8.3,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.42,mL/hr,.42,9
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,6,mL/hr,6,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,3.1,mL/hr,3.1,7
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,3,mL/hr,3,11
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,2.8,mL/hr,2.8,4
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,2.5,mL/hr,2.5,12
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,2.4,mL/hr,2.4,46
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,2.3,mL/hr,2.3,74
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,2.2,mL/hr,2.2,77
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,2.1,mL/hr,2.1,56
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,2,mL/hr,2,143
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,11,mL/hr,11,4
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.9,mL/hr,1.9,77
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.8,mL/hr,1.8,107
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.7,mL/hr,1.7,98
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.6,mL/hr,1.6,124
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.5,mL/hr,1.5,165
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.4,mL/hr,1.4,275
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.35,mL/hr,1.35,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.3,mL/hr,1.3,324
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.25,mL/hr,1.25,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.2,mL/hr,1.2,504
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.1,mL/hr,1.1,326
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1,mL/hr,1,798
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.98,mL/hr,.98,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.93,mL/hr,.93,7
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.4,mL/hr,.4,880
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.34,mL/hr,.34,5
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.38,mL/hr,.38,6
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,50,mL,50,4
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,48,mL,48,4
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,46,mL,46,5
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,44,mL,44,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,42,mL,42,11
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,40,mL,40,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,38,mL,38,12
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,36,mL,36,19
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,35,mL,35,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,34,mL,34,18
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,32,mL,32,18
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,30,mL,30,24
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,28,mL,28,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,26,mL,26,21
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,250,mL,250,8
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,25,mL,25,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,24,mL,24,25
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,22,mL,22,15
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.39,mL/hr,.39,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,18,mL,18,25
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,16,mL,16,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,150,mL,150,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,15,mL,15,4
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,14,mL,14,9
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,12,mL,12,17
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,100,mL,100,20
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,10,mL,10,9
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,53,mL,53,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,54,mL,54,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,20,mL,20,29
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,80,mL,80,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.375,mL/hr,.375,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.37,mL/hr,.37,11
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.36,mL/hr,.36,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.35,mL/hr,.35,21
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,8,mL,8,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.33,mL/hr,.33,11
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.32,mL/hr,.32,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.31,mL/hr,.31,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.3,mL/hr,.3,880
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.29,mL/hr,.29,2
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.28,mL/hr,.28,9
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.27,mL/hr,.27,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.25,mL/hr,.25,61
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.26,mL/hr,.26,9
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.14,mL/hr,.14,51
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.23,mL/hr,.23,23
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.22,mL/hr,.22,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.2,mL/hr,.2,678
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.18,mL/hr,.18,11
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.17,mL/hr,.17,9
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.16,mL/hr,.16,10
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.15,mL/hr,.15,52
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.24,mL/hr,.24,1
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.13,mL/hr,.13,10
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.12,mL/hr,.12,3
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL/hr,.1,mL/hr,.1,198
FAT EMULSION PLANT BASED 20 % IV EMUL,Fat Emulsion Plant Based,mL,90,mL,90,3
FAT EMULSION PLANT BASED 30 % IV EMUL,Fat Emulsion Plant Based,mL/hr,1.2,mL/hr,1.2,2
FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN,Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML,mcg/hr,100,mcg,100,1
FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN,Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML,mcg/kg/hr,25,mcg,25,10
FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN,Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML,mcg,75,mcg,75,1
FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN,Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML,mcg/kg/hr,50,mcg,50,8
FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN,Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML,mcg,100,mcg,100,1
FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN,Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML,mL/hr,100,mcg,100,32
FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN,Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML,mcg,50,mcg,50,3
FENTANYL DRIP SYRINGE,fentanyl,mcg/hr,0-400,mcg/hr,0-400,10
FENTANYL DRIP SYRINGE,fentanyl,mcg/hr,0-300,mcg/hr,0-300,204
FENTANYL DRIP SYRINGE,fentanyl,mcg/hr,0-500,mcg/hr,0-500,127
FENTANYL DRIP SYRINGE,fentanyl,mcg/hr,0-25,mcg/hr,0-25,106
FENTANYL DRIP SYRINGE,fentanyl,mcg/hr,0-200,mcg/hr,0-200,315
FENTANYL DRIP SYRINGE,fentanyl,mcg/hr,0-250,mcg/hr,0-250,146
FILGRASTIM - SNDZ 5 MCG/ML D5W (NICU) IV SYRINGE,Filgrastim-sndz,mcg,10,mcg/kg,10,1
FLUCONAZOLE IN SODIUM CHLORIDE 200-0.9 MG/100ML-% IV SOLN,Fluconazole in Sodium Chloride,mg,200,mg,200,3379
FLUCONAZOLE IN SODIUM CHLORIDE 400-0.9 MG/200ML-% IV SOLN,Fluconazole in Sodium Chloride,mg,200,mg,200,5
FLUCONAZOLE IN SODIUM CHLORIDE 400-0.9 MG/200ML-% IV SOLN,Fluconazole in Sodium Chloride,mg,400,mg,400,4642
FLUCONAZOLE IN SODIUM CHLORIDE 400-0.9 MG/200ML-% IV SOLN,Fluconazole in Sodium Chloride,mg,800,mg,800,5
FLUMAZENIL 0.5 MG/5ML IV SOLN,Flumazenil,mg,.5,mg,.5,28
FLUMAZENIL 0.5 MG/5ML IV SOLN,Flumazenil,mg,.2,mg,.2,61
FLUMAZENIL 0.5 MG/5ML IV SOLN,Flumazenil,mg,.2-1,mg,.2-1,1
FLUOROURACIL 1 GM/20ML IV SOLN,Fluorouracil,mg,400,mg/m2,400,8
FLUOROURACIL 5 GM/100ML IV SOLN,Fluorouracil,mg,400,mg/m2,400,7
FUROSEMIDE 10 MG/ML IJ SOLN,Furosemide,mg,20,mg,20,1
FUROSEMIDE 10 MG/ML IJ SOLN,Furosemide,mg,40,mg,40,16
FUROSEMIDE 10 MG/ML IJ SOLN,Furosemide,mg,60,mg,60,2
FUROSEMIDE 10 MG/ML IJ SOLN,Furosemide,mg,80,mg,80,9
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,30,mL,30,78
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,4,mL,4,3
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,4.5,mL,4.5,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,40,mL,40,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,5,mL,5,19
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,5.5,mL,5.5,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,6.5,mL,6.5,3
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,3,mL,3,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,7,mL,7,92
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,7.5,mL,7.5,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,8,mL,8,86
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,9,mL,9,42
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mg,20,mL,20,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,6,mL,6,60
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,27,mL,27,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,.6,mL,.6,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,20,mL,20,1354
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,19,mL,19,27
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,18.3,mL,18.3,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,18,mL,18,82
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,17,mL,17,69
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,16,mL,16,30
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,15.5,mL,15.5,1
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,15,mL,15,2317
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,14,mL,14,98
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,13,mL,13,101
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,12,mL,12,166
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,11,mL,11,14
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,10,mL,10,2093
GADOBENATE DIMEGLUMINE 529 MG/ML IV SOLN,Gadobenate Dimeglumine,mL,25,mL,25,1
GADOBUTROL 1 MMOL/ML IV SOLN,Gadobutrol,mL,0.1,mL/kg,0.1,5
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,16.5,mL,16.5,12
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,16.7,mL,16.7,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,17,mL,17,92
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,17.2,mL,17.2,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,17.4,mL,17.4,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,17.5,mL,17.5,5
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,17.6,mL,17.6,3
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,17.7,mL,17.7,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,171.1,mL,171.1,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,18,mL,18,133
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,18.2,mL,18.2,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,18.5,mL,18.5,4
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,18.6,mL,18.6,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,18.7,mL,18.7,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,35,mL,35,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,19,mL,19,46
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,19.5,mL,19.5,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,19.6,mL,19.6,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,19.9,mL,19.9,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,20,mL,20,1281
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,30,mL,30,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,16.4,mL,16.4,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,6,mL,6,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,7,mL,7,9
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,8,mL,8,15
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,9,mL,9,14
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,9.5,mL,9.5,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,9.7,mL,9.7,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,9.8,mL,9.8,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,18.9,mL,18.9,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,16.2,mL,16.2,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,15.8,mL,15.8,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,12.5,mL,12.5,4
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,.2,mL/kg,.2,23
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,10,mL,10,662
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,10.8,mL,10.8,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,11,mL,11,15
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,11.1,mL,11.1,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,11.3,mL,11.3,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,11.5,mL,11.5,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,12,mL,12,67
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,12.1,mL,12.1,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,16,mL,16,41
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,12.7,mL,12.7,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,12.8,mL,12.8,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,13,mL,13,119
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,13.1,mL,13.1,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,12.6,mL,12.6,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,13.5,mL,13.5,3
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,15.5,mL,15.5,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,15.4,mL,15.4,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,13.2,mL,13.2,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,15,mL,15,1076
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,14.7,mL,14.7,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,14.5,mL,14.5,6
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,14.4,mL,14.4,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,15.3,mL,15.3,2
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,14.1,mL,14.1,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,14,mL,14,98
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,13.8,mL,13.8,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,13.7,mL,13.7,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,13.6,mL,13.6,1
GADOTERIDOL 279.3 MG/ML IV SOLN,Gadoteridol,mL,14.2,mL,14.2,2
