Unnamed: 0,med_name,med_class,super_table_col_name
343,sulfamethoxazole-trimethoprim,other,other
345,iron sucrose,other,other
348,cycloSPORINE,other,other
349,cosyntropin,other,other
350,prochlorperazine,antiemetic,other
352,linezolid,anti-infective,oxazolidinones
361,etoposide,other,other
366,aztreonam,anti-infective,monobactams
373,valproic acid,neurologic,anticonvulsant
374,rifAMPin,anti-infective,antimycobacterial agents
376,tobramycin,anti-infective,aminoglycosides
378,doripenem,anti-infective,carbapenems
380,darbepoetin alfa,other,other
382,colistimethate,other,other
388,Amino Acids 3% and Glycerin 3% with Electrolytes (ProcalAmine) intravenous solution,other,other
390,carboplatin,other,other
394,aminocaproic acid,other,other
402,argatroban,other,other
403,ertapenem,anti-infective,carbapenems
405,imipenem-cilastatin,anti-infective,carbapenems
409,bivalirudin,other,other
418,inFLIXimab,other,other
423,pamidronate,other,other
424,adenosine,other,other
429,vinCRIStine,other,other
431,insulin aspart,endocrine,diabetes
432,butorphanol,other,other
442,tirofiban,other,other
447,ceftaroline,anti-infective,cephalosporins
450,decitabine,other,other
454,cisplatin,other,other
455,paricalcitol,other,other
464,acetaZOLAMIDE,other,other
466,melphalan,other,other
470,fosaprepitant,other,other
471,aldesleukin,other,other
481,immune globulin intravenous,other,other
483,isavuconazonium,other,other
484,fluorescein ophthalmic,other,other
491,foscarnet,anti-infective,antiviral
494,methotrexate,other,other
497,physostigmine,other,other
501,enoxaparin,anticoagulant,other
503,coagulation factor VIIa,other,other
505,hetastarch,fluid_electrolyte,other
507,Dextrose 5% with 0.2% NaCl intravenous solution,fluid_electrolyte,other
514,arginine,other,other
518,glucagon,endocrine,diabetes
524,ANES amiodarone 750 mg/500 mL D5W Premix,antiarrhythmics,other
525,enalapril,other,other
527,epoetin alfa,other,other
528,methadone,analgesic,opioids
535,ifosfamide,other,other
538,ibutilide,other,other
541,Factor VIII injection,other,other
545,conjugated estrogens,other,other
546,posaconazole,anti-infective,antifungals
549,avibactam-cefTAZidime,anti-infective,cephalosporins
552,ferumoxytol,other,other
555,ceftolozane-tazobactam,anti-infective,cephalosporins
556,meperidine,other,other
563,potassium acetate,other,other
565,amphotericin B liposomal,anti-infective,antifungals
568,IDArubicin,other,other
574,isoproterenol,other,other
575,anti-inhibitor coagulant complex,other,other
