Unnamed: 0,med_name,is_fluids,fluid_type,med_class,med_subclass
80,cefuroxime,FALSE,Medication,anti-infective,cephalosporins
1058,celecoxib,FALSE,Medication,analgesic,nsaid
224,central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other
1240,cetuximab,FALSE,Medication,other,other
3757,chloramphenicol,FALSE,Medication,anti-infective,other
7724,chloroprocaine,FALSE,Medication,other,other
293,chlorothiazide,FALSE,Medication,diuretic,other
717,chlorproMAZINE,FALSE,Medication,other,other
7316,chromic chloride hexahydrate,FALSE,Medication,other,other
1012,cidofovir,FALSE,Medication,anti-infective,antiviral
277,ciprofloxacin,FALSE,Medication,anti-infective,fluoroquinolones
161,cisatracurium,FALSE,Medication,neuromuscular_blocker,other
454,cisplatin,FALSE,Medication,other,other
967,citric acid-sodium citrate,TRUE,Electrolyte Solution (Other),other,other
1065,cladribine,FALSE,Medication,other,other
750,clevidipine,FALSE,Medication,bp_lowering,other
177,clindamycin,FALSE,Medication,anti-infective,lincosamides
1909,clofarabine,FALSE,Medication,other,other
1658,cloNIDine,FALSE,Medication,bp_lowering,other
2299,clopidogrel,FALSE,Medication,other,other
634,coagulation factor IX,FALSE,Medication,other,other
503,coagulation factor VIIa,FALSE,Medication,other,other
6204,coagulation factor Xa,FALSE,Medication,other,other
1077,cocaine topical,FALSE,Medication,other,other
382,colistimethate,FALSE,Medication,anti-infective,polymixin
1122,conivaptan,FALSE,Medication,other,other
545,conjugated estrogens,FALSE,Medication,other,other
581,copper chloride,FALSE,Medication,other,other
2478,copper sulfate,FALSE,Medication,other,other
3536,corticorelin,FALSE,Medication,other,other
349,cosyntropin,FALSE,Medication,other,other
681,cyanocobalamin,FALSE,Medication,vitamin_supplement,other
328,cyclophosphamide,FALSE,Medication,other,other
348,cycloSPORINE,FALSE,Medication,other,other
79,cytarabine,FALSE,Medication,other,other
3529,cytarabine liposomal-daunorubicin liposomal,FALSE,Medication,other,other
742,cytomegalovirus immune globulin,FALSE,Medication,other,other
8958,D10W 0.45%NS,TRUE,Hypertonic Crystalloid,other,other
9050,D12.5%W,TRUE,Hypertonic Crystalloid,other,other
8581,D12.5W 0.2%NS,TRUE,Hypertonic Crystalloid,other,other
8689,D12.5W 0.45%NS,TRUE,Hypertonic Crystalloid,other,other
9000,D15%W 250 ml,TRUE,Hypertonic Crystalloid,other,other
8675,D20W,TRUE,Hypertonic Crystalloid,other,other
8876,D20W 0.2%NS,TRUE,Hypertonic Crystalloid,other,other
8713,D25W 250mL,TRUE,Hypertonic Crystalloid,other,other
945,dacarbazine,FALSE,Medication,other,other
7455,DACTINomycin,FALSE,Medication,other,other
3502,dalbavancin,FALSE,Medication,anti-infective,glycopeptide
842,dalfopristin-quinupristin,FALSE,Medication,anti-infective,streptogramin
918,dantrolene,FALSE,Medication,other,other
205,DAPTOmycin,FALSE,Medication,anti-infective,lipopeptide
7736,daratumumab,FALSE,Medication,other,other
380,darbepoetin alfa,FALSE,Medication,other,other
944,DAUNOrubicin,FALSE,Medication,other,other
450,decitabine,FALSE,Medication,other,other
1218,deferoxamine,FALSE,Medication,other,other
6077,defibrotide,FALSE,Medication,other,other
9076,Description Missing,FALSE,Medication,other,other
307,desmopressin,FALSE,Medication,other,other
54,dexamethasone,FALSE,Medication,corticosteroids,other
26,dexmedetomidine,FALSE,Medication,sedative,anesthetic
2335,dexrazoxane,FALSE,Medication,other,other
1873,"dextran, high molecular weight",TRUE,Hypertonic Crystalloid,fluid_electrolyte,other
2034,"dextran, low molecular weight",TRUE,Hypertonic Crystalloid,fluid_electrolyte,other
63,Dextrose 10% in Water intravenous solution,TRUE,Hypertonic Crystalloid,fluid_electrolyte,other
846,Dextrose 10% with 0.2% NaCl intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other
140,Dextrose 20% in Water intravenous solution,TRUE,Hypertonic Crystalloid,fluid_electrolyte,other
6499,Dextrose 30% in Water,TRUE,Hypertonic Crystalloid,other,other
9,Dextrose 5% in Lactated Ringers intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other
818,Dextrose 5% in Lactated Ringers with KCl 20 mEq/l intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other
35,Dextrose 5% in Water intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other
233,Dextrose 5% in Water with KCl 20 mEq/l intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other
41,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other
507,Dextrose 5% with 0.2% NaCl intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other
44,Dextrose 5% with 0.45% NaCl intravenous solution,TRUE,Hypotonic Crystalloid,fluid_electrolyte,other
169,Dextrose 5% with 0.9% NaCl intravenous solution,TRUE,Isotonic Crystalloid,fluid_electrolyte,other
61,Dextrose 50% in Water intravenous solution,TRUE,Hypertonic Crystalloid,endocrine,diabetes
804,Dextrose 70% in Water intravenous solution,TRUE,Hypertonic Crystalloid,fluid_electrolyte,other
6062,Dianeal Low Calcium with 1.5% Dextrose,TRUE,Dialysis Solution,fluid_electrolyte,other
5213,Dianeal PD-2 with 1.5% Dextrose,TRUE,Dialysis Solution,other,other
199,diazePAM,FALSE,Medication,sedative,benzodiazepine
1224,dicyclomine,FALSE,Medication,other,other
283,digoxin,FALSE,Medication,antiarrhythmics,other
1018,digoxin immune FAB,FALSE,Medication,other,other
230,dihydroergotamine,FALSE,Medication,other,other
170,diltiazem,FALSE,Medication,bp_lowering,other
6,diphenhydrAMINE,FALSE,Medication,antihistamine,other
8769,"diphtheria/pertussis, acel/tetanus adult (Tdap)",FALSE,Medication,other,other
3384,divalproex sodium,FALSE,Medication,other,other
132,DOBUTamine,FALSE,Medication,pressor,inotrope
792,DOCEtaxel,FALSE,Medication,other,other
7814,docusate,FALSE,Medication,other,other
908,dofetilide,FALSE,Medication,antiarrhythmics,other
318,DOPamine,FALSE,Medication,pressor,inotrope
378,doripenem,FALSE,Medication,anti-infective,carbapenems
314,DOXOrubicin,FALSE,Medication,other,other
706,DOXOrubicin liposomal,FALSE,Medication,other,other
102,doxycycline,FALSE,Medication,anti-infective,tetracyclines
7250,droperidol,FALSE,Medication,antiemetic,other
2439,eculizumab,FALSE,Medication,other,other
1262,edrophonium,FALSE,Medication,other,other
110,Electrolyte (Plasma-Lyte) intravenous solution,TRUE,Electrolyte Solution,other,other
180,Empty Container,FALSE,Medication,other,other
525,enalapril,FALSE,Medication,bp_lowering,other
501,enoxaparin,FALSE,Medication,anticoagulant,other
112,ephedrine,FALSE,Medication,other,other
6258,Epidural Infusion,FALSE,Medication,other,other
23,epinephrine,FALSE,Medication,pressor,inotrope
1146,epinephrine-lidocaine,FALSE,Medication,antiarrhythmics,other
527,epoetin alfa,FALSE,Medication,other,other
290,epoprostenol,FALSE,Medication,bp_lowering,other
3941,Epoprostenol CADD Conc-Dose-Rate Confirm,FALSE,Medication,other,other
4988,epoprostenol diluent,FALSE,Medication,other,other
5939,eravacycline,FALSE,Medication,anti-infective,tetracyclines
1163,eribulin,FALSE,Medication,other,other
403,ertapenem,FALSE,Medication,anti-infective,carbapenems
226,erythromycin,FALSE,Medication,anti-infective,macrolide antibiotics
88,esmolol,FALSE,Medication,bp_lowering,beta_blocker
6544,estradiol,FALSE,Medication,other,other
580,ethacrynic acid,FALSE,Medication,diuretic,other
1828,ethanol,FALSE,Medication,other,other
212,ethiodized oil,FALSE,Medication,other,other
320,etomidate,FALSE,Medication,sedative,anesthetic
361,etoposide,FALSE,Medication,other,other
541,Factor VIII injection,FALSE,Medication,other,other
0,famotidine,FALSE,Medication,antihistamine,acid_suppressant
274,"fat emulsion, intravenous",TRUE,Parenteral Nutrition,other,other
51,fentaNYL,FALSE,Medication,analgesic,opioids
1249,fentanyl bolus from current pca,FALSE,Medication,analgesic,opioids
5177,Fentanyl Patch Removal,FALSE,Medication,removal,other
3445,fentanyl-ropivacaine,FALSE,Medication,analgesic,opioids
552,ferumoxytol,FALSE,Medication,other,other
1121,fibrinogen,FALSE,Medication,other,other
2337,filgrastim,FALSE,Medication,other,other
1060,Flolan Cassette,FALSE,Medication,other,other
173,fluconazole,FALSE,Medication,anti-infective,antifungals
