formulary_name,med_name_generic,med_name
Lidocaine 1% 5mL inj,lidocaine 1%,lidocaine
Hetastarch 6%/ NaCl 0.9% 500 mL bag,hetastarch 6% / ns,hetastarch
Ketorolac 60 mg/2 mL inj,ketorolac,ketorolac
Not Recorded,Not Recorded,moxifloxacin
Butorphanol 2 mg/mL inj,butorphanol,butorphanol
Idarucizumab 2.5gm/50ml inj,idarucizumab,idaruCIZUmab
Ondansetron 40 mg/20 mL inj (MDV),ondansetron,ondansetron
Hydrocortisone 500 mg inj,hydrocortisone,hydrocortisone
EPInephrine 1mg/ml 30 mL inj,EPInephrine,epinephrine
HePARIN Flush neonate 1unit/mL in 1/2NS (Art-line),hePARIN flush in 1/2 NS neonate,heparin flush
"Polymyxin B 500,000 unit inj",polymyxin b sulfate,polymyxin B sulfate
"Bacitracin 50,000 unit inj",bacitracin,bacitracin
Not Recorded,Not Recorded,ertapenem
Not Recorded,Not Recorded,Dextrose 10% in Water intravenous solution
PRMX EPInephrine 4mg/NS drip,EPInephrine in ns,epinephrine
Not Recorded,Not Recorded,potassium phosphate
Lidocaine 0.5% PF 50 mL MDV inj,lidocaine 0.5%,lidocaine
D5.2NS + 20 mEq KCl 1000 mL IV,d5w.2ns + kcl,Dextrose 5% with 0.2% NaCl and KCl 20 mEq/L intravenous solution
ANES REMIfentanil 25 mcg/mL inj,REMIfentanil,remifentanil
ANES Aminocaproic 250 mg/1 mL inj,aminocaproic acid,aminocaproic acid
Not Recorded,Not Recorded,diphenhydrAMINE
Piperacillin-Tazobactam  4.5 gm inj,piperacillin-tazobactam,piperacillin-tazobactam
Clindamycin 600 mg inj,clindamycin,clindamycin
LeveTIRACETAM 1000mg tab,leveTIRACETAM,levETIRAcetam
Coagulation Factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),coagulation factor VIIa
Deferoxamine 500 mg inj,deferoxamine,deferoxamine
Estrogens 25 mg/5 mL inj.,"estrogens, conjugated",conjugated estrogens
Acetaminophen 650 mg supp,acetaminophen,acetaminophen
Not Recorded,Not Recorded,"fat emulsion, intravenous"
Fomepizole 1500mg/1.5mL,fomepizole,fomepizole
Hydromorphone 0.4mg/mL+Ketamine 1mg/mL PCA (ortho OR),hydromorphone  0.4mg+ ketamine 1mg pca,HYDROmorphone
PHENYLephrine 0.5% nasal spray 15mL,PHENYLephrine 0.5%,phenylephrine nasal
LevoFLOXACIN 500mg inj,LevoFLOXACIN,levoFLOXacin
Oxacillin 1000mg inj,oxacillin,oxacillin
"ANES HePARIN 25,000 units/250 mL Premix std*",hePARIN premix,heparin
zzzQuinidine Gluc 80 mg/mL 10mL inj,quiNIDine,quinidine
Pamidronate 90 mg/10 mL inj,pamidronate,pamidronate
MVI Pediatric 10mL inj,multivit ped inj,multivitamin
Not Recorded,Not Recorded,alteplase
Not Recorded,Not Recorded,metoclopramide
Coagulation Factor 7a (VIIa) 2000 mcg,coagulation factor 7a (VIIa),coagulation factor VIIa
Acetaminophen 325 mg tab,acetaminophen,acetaminophen
Ascorbic 500 mg/mL 50 mL inj,ascorbic acid,ascorbic acid
Morphine 5 mg/1 mL inj,morphine,morphine
Sargramustim 250 mcg inj,sargramostim,sargramostim
Trastuzumab 440 mg inj,trastuzumab,trastuzumab
ED-Calcium Gluconate 2gm IVPB for ED use only,calcium gluconate/ns,calcium gluconate
ANES Magnesium Sulf 500 mg/1 mL OR syringe,magnesium sulfate,magnesium sulfate
Dexamethasone 20mg/NS IVPB,dexamethasone/ns,dexamethasone
Not Recorded,Not Recorded,iron sucrose
Not Recorded,Not Recorded,vecuronium
Not Recorded,Not Recorded,ephedrine
Neonatal TPN,Neonatal TPN,hyperal neonate
Nafcillin 20mg/mL neonate syringe,nafcillin/ns in syringe,nafcillin
Chloraseptic throat spray,chloraseptic,phenol topical
Hydromorphone 10 mg/mL 5 mL inj,hydromorphone-HP,HYDROmorphone
Not Recorded,Not Recorded,sulfamethoxazole-trimethoprim
Bleomycin 15 units inj,bleomycin,bleomycin
OXALIplatin 50 mg inj,OXALIplatin,oxaliplatin
Epoprostenol Cassette,flolan casstte,Flolan Cassette
Glycopyrrolate 0.2 mg/mL 5mL inj,glycopyrrolate,glycopyrrolate
Not Recorded,Not Recorded,hydrALAZINE
Calcium gluconate 50mg/mL/NS neonate syringe,calcium gluconate in NS syringe,calcium gluconate
ANES Flumazenil 0.1 mg/1 mL inj,flumazenil,flumazenil
ANES Hyperal Peripheral,Hyperal - Peripheral,hyperal peripheral
Procainamid 1gm/10 mL inj ADD,procainamide add,procainamide
Not Recorded,Not Recorded,bumetanide
Aprepitant 40 mg caps,aprepitant,aprepitant
amiodarone 500 mg/250 mL CATH LAB,amiodarone,amiodarone
Lidocaine 2% PF 5 mL inj,lidocaine 2%,lidocaine
Sodium Bicarb 10 mEq/10 mL  inj,sodium bicarbonate,sodium bicarbonate
antihemophilic factor 8 recombinant 2000 units,factor 8,antihemophilic factor
Nafcillin 1gm/50 mL Iso-Dex,nafcillin in Iso-Dex,nafcillin
ProtAMINE 10mg/mL 25mL inj,protAMINE,protamine
Oxytocin 10 units/mL inj 10mL,oxytocin,oxytocin
SUfentanil 250 mcg/5 mL inj,SUfentanil,SUFentanil
Coagulation Factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),coagulation factor VIIa
Not Recorded,Not Recorded,Dextrose 5% with 0.2% NaCl intravenous solution
Neostigmine 1 mg/mL 10 mL inj,neostigmine,neostigmine
Not Recorded,Not Recorded,ANES Bupivicaine 0.15%/NS 250 mL Epidural
leucovorin 500 mg/50mL inj,leucovorin,leucovorin
Not Recorded,Not Recorded,ketorolac
Lidocaine 2% inj 20mL,lidocaine 2%,lidocaine
Lidocaine 1% 50 mg/5 mL syringe (cardiac),lidocaine 1%,lidocaine
Ampicillin 10 gm inj,ampicillin,ampicillin
RHo (D) immune globulin 300 mcg/2 mL inj,RHo (D) immune globulin,RHo (D) immune globulin
Not Recorded,Not Recorded,protamine
NS inj (Preservative Free),ns pf.,Sodium Chloride 0.9% intravenous solution
Not Recorded,Not Recorded,ceftaroline
Antivenin (Crotalidae) polyvalent inj,"crotalidae, antivenin",antivenin (Crotalidae) polyvalent
Not Recorded,Not Recorded,ciprofloxacin
nf bulk,nf bulk,Misc Medication TNF
Lorazepam 1 mg tab,lorazepam,LORazepam
Ticagrelor 90 mg tab,ticagrelor,ticagrelor
Amiodarone 200 mg tab,amiodarone,amiodarone
Gabapentin 100 mg cap,gabapentin,gabapentin
"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine,antihemophilic factor
Not Recorded,Not Recorded,cycloSPORINE
Coagulation factor 7a (VIIa) 1000 mcg,coagulation factor 7a (VIIa),coagulation factor VIIa
Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe,acetylcholine i-cornonary High conc.,Acetylcholine I-coronary 18mcg/mL High conc. 20mL syringe
anti-inhibitor coagulant complex 50 units,anti-inhibitor coagulant complex,anti-inhibitor coagulant complex
"Epoetin 2,000 units/ 1 mL inj",epoetin alfa,epoetin alfa
Anti-Thymocyte Globulin for study,thymocyt glob/PBO p# ITN028A1,anti-thymocyte globulin (rabbit)
Not Recorded,Not Recorded,lacosamide
Dantrolene 250 mg inj,dantrolene,dantrolene
Gabapentin 400 mg cap,gabapentin,gabapentin
Darbepoetin Alfa 25 mcg/0.42 mL syr.,darbepoetin alfa,darbepoetin alfa
ANES LeveTIRACETAM 500mg/5mL,leveTIRACETAM,levETIRAcetam
Iohexol 350 50 mL inj,iohexol,iohexol
Neonate Starter Hyperal 250mL,neonate starter hyperal,Neonate Starter Hyperal
Alemtuzumab 30 mg/mL inj,alemtuzumab,alemtuzumab
ANES Octreotide  500  mcg/100 mL NS Drip Std*,octreotide,octreotide
NS 10ml PF vial,ns pf,sodium chloride
Sodium Chloride 3% 4mL inhalation soln.,sodium chloride 3%,Sodium Chloride 3%
ANES Ranitidine 25 mg/mL inj,ranitidine,raNITIdine
ANES Diltiazem 5 mg/1 mL inj,diltiazem,diltiazem
Not Recorded,Not Recorded,ondansetron
MethaDONE 5 mg/ 5 mL oral Liq,methaDONE,methadone
ANES Diazepam 5 mg/mL inj,diazepam,diazePAM
Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe,acetylcholine i-cornonary low conc.,Acetylcholine I-coronary 0.18mcg/mL Low conc. 20mL syringe
OXALIplatin 100mg inj,OXALIplatin,oxaliplatin
Not Recorded,Not Recorded,phenytoin
Not Recorded,Not Recorded,naloxone
alteplase inj for bolus,alteplase,alteplase
Alteplase Intrathecal/Intravent syringe,alteplase intra-thecal syringe,alteplase
Acetaminophen 650/20.3  mL liq,acetaminophen,acetaminophen
Glycopyrrolate 0.2 mg/mL 20 mL inj,glycopyrrolate,glycopyrrolate
Ampicillin 500mg IVPB,ampicillin in ns,ampicillin
insulin pump patient - regular,insulin pump patient - regular,insulin pump patient - regular
Morphine 10 mg/5 mL liq,morphine,morphine
Dexamethasone 4 mg tab,dexamethasone,dexamethasone
Not Recorded,Not Recorded,bivalirudin
Leucovorin 200  mg/10  mL inj,leucovorin,leucovorin
Arginine 10% 300 mL,arginine 10%,arginine
Magnesium Sulf 5 gm/10mL OR syringe,magnesium sulfate,magnesium sulfate
Octreotide 30 mg LAR Kit,octreotide,octreotide
Not Recorded,Not Recorded,penicillin G potassium
Promethazine 25 mg supp,promethazine supp,promethazine
FentaNYL 50 mcg/mL 10mL inj,fentaNYL,fentaNYL
Doxycycline hyclate 100 mg tab,doxycycline,doxycycline
Not Recorded,Not Recorded,oxacillin
Clopidogrel 75 mg tab,clopidogrel,clopidogrel
Lidocaine Viscous 2%  UD,lidocaine viscous 2%,lidocaine topical
Bupivacaine 0.5% 10 mL inj,bupivacaine 0.5%,bupivacaine
Not Recorded,Not Recorded,methadone
Methylergonovine 0.2 mg/1 mL inj,methylergonovine,methylergonovine
Pyridostigmine 10 mg/2 mL inj,pyridostigmine,pyridostigmine
VinORELBine 10 mg/1 mL inj,vinORELBine,vinorelbine
"Alcohol, Ethyl (Dehydrated) 5 mL inj","alcohol, ethyl",ethanol
Not Recorded,Not Recorded,hydromor/ketamine bolus from current pca
Not Recorded,Not Recorded,voriconazole
Leucovorin 350 mg/17.5mL inj,leucovorin,leucovorin
Sodium Acetate 2 mEq/mL 20 mL inj,sodium acetate,sodium acetate
ANES Isoproterenol 1 mg/250 mL drip std*,isoproterenol,isoproterenol
Mag Sulf 6gm/NS 100mL ivpb,magnesium sulfate in ns,magnesium sulfate
Levothyroxine 25 mcg tab,levothyroxine,levothyroxine
ANES REMIfentanil 5 mcg/mL inj,REMIfentanil,remifentanil
antihemophilic factor-von Willebrand 500 units,antihemophilic F8-von Willebrand,antihemophilic factor-von Willebrand factor inj
Tetanus/Dipth. Tox. Adsb. 0.5 ml inj,Tetanus/Diptheria toxoid,tetanus-diphth toxoids (Td) adult/adol
Olanzapine 10 mg IM,olanzapine,OLANZapine
Coagulation factor 7a (VIIa) 5000 mcg,coagulation factor 7a (VIIa),coagulation factor VIIa
Penicillin G Pot. 1000 units/mL for Desensitization,Penicillin G Pot./ns,penicillin G potassium
antihemophilic factor 8 recombinant 3000 units,factor 8,antihemophilic factor
Leucovorin 50  mg inj,leucovorin,leucovorin
"Lidocaine 1% w/Epi 1:100,000 inj 20 mL",lidocaine 1% w/ epi,epinephrine-lidocaine
Bupivacaine  0.5% w/Epi 10 mL inj,bupivacaine 0.5% w/epi,bupivacaine-epinephrine
Diltiazem 50 mg/10 mL inj,diltiazem,diltiazem
Lidocaine 1% PF 5 mL inj,lidocaine 1% PF,lidocaine
Darbepoetin alfa 100 mcg/0.5 mL syringe,darbepoetin alfa,darbepoetin alfa
Digoxin Immune Fab 40mg (Digifab),digoxin immune fab,digoxin immune FAB
Not Recorded,Not Recorded,metoprolol
"Penicillin G Pot. 50,000 units/mL for Desensitization",Penicillin G Pot./ns,penicillin G potassium
Azathioprine 100 mg inj,azathioprine,azaTHIOprine
Sodium Chloride 0.9% 5mL Flush syr. (neonate),sodium chloride flush,sodium chloride
Dexamethson 10 mg/mL  10 mL inj,dexamethasone,dexamethasone
Treprostinil 20mg/20mL inj,trepostinil,treprostinil
Aspirin 300 mg supp,aspirin,aspirin
Zinecard 500 mg inj cardio tox,dexrazoxane,dexrazoxane
TACRolimus 0.5 mg cap,TACRolimus,tacrolimus
Filgrastim 480 mcg/0.8 mL syr,filgrastim,filgrastim
MetoCLOPRAMIDE 5 mg/mL 10 mL inj,metoCLOPRAMIDE,metoclopramide
Hydromorphone 2 mg tab,hydromorphone,HYDROmorphone
Sodium Tetradecyl sulfate 3% inj,sodium tetradecyl 3%,sodium tetradecyl sulfate
Glycopyrrolate 200mcg/mL oral neonate,glycopyrrolate,glycopyrrolate
Ziprasidone 20 mg/ 1 mL inj,ziprasidone,ziprasidone
DiphenhydrAMINE 25 mg cap,diphenhydrAMINE,diphenhydrAMINE
Atropine 0.4mg/mL 20mL,atropine,atropine
Linezolid 200 mg/100 mL premix,linezolid premix,linezolid
Acyclovir 800 mg tablet,acyclovir,acyclovir
Lidocaine 4% topical sol 50 mL,lidocaine 4%,lidocaine topical
PEMEtrexED 500 mg inj,pemetrexed,PEMEtrexed
Not Recorded,Not Recorded,sodium nitroprusside
Doxorubicin 2  mg/ 1 mL inj,doxorubicin,DOXOrubicin
Acetaminophen 325 mg supp,acetaminophen,acetaminophen
DOXOrubicin  LYOPHILIZED 50mg inj,DOXOrubicin LYOPH,DOXOrubicin
Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syringe,"fat emulsion, intravenous"
Morphine 1 mg/mL neonate syringe,morphine in syringe,morphine
Not Recorded,Not Recorded,morphine bolus from current pca
Not Recorded,Not Recorded,sodium phosphate
KCl 20 mEq SA tab,potassium chloride tab SA,potassium chloride
Propofol 500 mg/50 mL syringe,propofol,propofol
Not Recorded,Not Recorded,epoprostenol
PHENYLephrine 50 mg/ 5 mL inj,PHENYLephrine,phenylephrine
Bortezomib 3.5 mg inj (IV),bortezomib,bortezomib
Cidofovir 375 mg/ 5mL inj,cidofovir,cidofovir
Neostigmine 1 mg/mL inj,neostigmine,neostigmine
Not Recorded,Not Recorded,mannitol
Ado-Trastuzumab emtansine 100mg inj.,ado-trastuzumab emtansine,ado-trastuzumab emtansine
CARBOplatin 150mg inj,CARBOplatin,carboplatin
Not Recorded,Not Recorded,chlorothiazide
Glycopyrrolate 1 mg tab,glycopyrrolate,glycopyrrolate
Famotidine 40 mg tab,fAMOTIDine,famotidine
Not Recorded,Not Recorded,coagulation factor IX
Nafcillin 1gm inj,nafcillin,nafcillin
Not Recorded,Not Recorded,tranexamic acid
Amikacin Nebulized Soln.,amikacin,amikacin
ANES Isoproterenol 200 mcg/1 mL inj,isoproterenol,isoproterenol
Lidocaine 1% 20 mL inj.,lidocaine 1%,lidocaine
"Epoetin 40,000 units/ 1 mL",epoetin,epoetin alfa
Lidocaine 1.5% w/epi 30 mL,lidocaine 1.5%/epi,epinephrine-lidocaine
DOPamine 400 mg/5 mL inj,DOPamine,DOPamine
Vancomycin 250 mg/5 mL oral soln.,vancomycin,vancomycin
Glycopyrrolate 10 mcg/mL neonate syringe,glycopyrrolate,glycopyrrolate
Not Recorded,Not Recorded,enalapril
Ropivacaine 1% 10mg/mL 20mL,ropivacaine 1%,ropivacaine
Not Recorded,Not Recorded,amphotericin B liposomal
Tranexamic acid 1000 mg/NS 100mL,tranexamic acid,tranexamic acid
Aspirin Buffered 325 mg tab,"aspirin, buffered",Al hydroxide/ASA/Ca carbonate/Mg hydroxide
Trepostinil 5 mg/mL 20mL inj,treprostinil,treprostinil
Treprostinil 10 mg/mL 20mL,treprostinil,treprostinil
"HePARIN 1,000 units/500 mL NS bag",hePARIN/ns,heparin flush
VinBLAStine 10 mg/10 mL inj,vinBLAStine,vinBLAStine
"HePARIN 2,000 units/1,000 mL NS bag",hePARIN/ns,heparin flush
Not Recorded,Not Recorded,iodixanol
Abciximab 10 mg/5 mL inj,abciximab,abciximab
"HePARIN 5,000 units/ mL 10 mL inj",hePARIN,heparin
Insulin Isophane Human recomb. 100 units/mL inj,insulin isophane (NPH),insulin isophane (NPH)
LACOSamide 50 mg tab,LACOSamide,lacosamide
Not Recorded,Not Recorded,nalbuphine
NTG 0.4 mg=1/150Gr SL tab,nitroglycerin,nitroglycerin
Hydromorphone 4 mg tab,hydromorphone,HYDROmorphone
Alcohol (Dehydrated) 1mL inj,ethyl alcohol,ethanol
Phytonadione 5 mg tab,phytonadione,phytonadione
coagulation factor IX recombinant 1000 units,factor 9,coagulation factor IX
Heparin 4units/mL 1000mL (Neuro-Intervent Radiology),heparin in ns,heparin flush
Antihemophilic factor-von Willebrand factor inj,antihemophilic factor-von Willebrand,antihemophilic factor-von Willebrand factor inj
Labetalol 300 mg tab,labetalol,labetalol
CefTAZIDime 40mg/mL NS neonate syringe,cefTAZIDime in NS syringe,cefTAZidime
DiphenhydrAMINE 25 mg/10 mL liq,diphenhydrAMINE,diphenhydrAMINE
Amifostine 500 mg inj,amifostine,amifostine
Mycophenolate 500 mg tab,mycophenolate,mycophenolate mofetil
Not Recorded,Not Recorded,verapamil
Not Recorded,Not Recorded,tromethamine
Amino Acid 3% UAC Line Fluid,amino acid 3% UAC,Amino Acid 3% UAC Line Fluid
Sodium  Bicarbonate 2.5 mEq/5mL inj,sod bicarbonate inj,sodium bicarbonate
cefaZOLIN 2 g/20 mL OR syringe,ceFAZolin,ceFAZolin
Tranexamic acid 2gm bolus dose,tranexamic acid,tranexamic acid
Edrophonium 10 mg/mL per mL,edrophonium,edrophonium
Not Recorded,Not Recorded,avibactam-cefTAZidime
Immune globulin 5 gm inj (Gammagard),immune globulin human SF,immune globulin intravenous
Aspirin 325 mg tab,aspirin,aspirin
DOXOrubicin 2 mg/mL PF 25mL for orderset only,DOXOrubicin,DOXOrubicin
MethaDONE 10 mg tab,methaDONE,methadone
Lidocaine topical 4% kit,lidocaine topical 4%,lidocaine topical
Levothyroxine 88 mcg tab,levothyroxine,levothyroxine
Physostigmine 2 mg/2 mL inj,physostigmine,physostigmine
Not Recorded,Not Recorded,glucagon
HePARIN Flush 100 Units/ mL 3 mL,hePARIN,heparin flush
bendamustine 45 mg/0.5mL inj,bendamustine,bendamustine
Not Recorded,Not Recorded,fosphenytoin
Not Recorded,Not Recorded,prochlorperazine
Potassium  Acet 100mEq/50mL inj,potassium acetate,potassium acetate
Ropivacaine 2 mg/mL 100 mL inj,ropivacaine 0.2%,ropivacaine
"Alteplase,Cathflo 20mg/20mL syringe for i-arterial",alteplase in syringe,alteplase
Not Recorded,Not Recorded,etomidate
Aprepitant 80 mg cap,aprepitant,aprepitant
Rasburicase 7.5 mg inj.,rasburicase,rasburicase
Sodium Bicarbonate 650 mg tab,sodium bicarbonate,sodium bicarbonate
Pertuzumab 420 mg inj,pertuzumab,pertuzumab
influenza virus vaccine (Fluarix) 0.5mL inj,influenza virus 0.5 mL vaccine,"influenza virus vaccine, inactivated"
MethylPREDNISolone 2000mg inj,methylPREDNISolone,methylPREDNISolone
Eculizumab 300 mg/30mL inj.,eculizumab,eculizumab
"Epoprostenol 1,000,000 ng (1mg) inhale (Veletri)",epoprostenol inhale,epoprostenol
Vedolizumab 300 mg inj.,vedolizumab,vedolizumab
Lidocaine 2% inj. 50mL inj,lidocaine,lidocaine
Meropenem 20mg/mL for Desensitization,meropenem/ns,meropenem
Phytonadione Ped 1 mg inj,phytonadione ped,phytonadione
Famotidine 40 mg/4 mL inj,fAMOTIDine,famotidine
coagulation factor IX recombinant 3000 units,factor 9,coagulation factor IX
antihemophilic factor 8 recombinant 1000 units,factor 8,antihemophilic factor
Loratadine 10 mg tab,loratadine,loratadine
Not Recorded,Not Recorded,anti-inhibitor coagulant complex
HePARIN Beef 10000 units/10mL inj,hePARIN beef,heparin
Darbepoetin alfa 100 mcg/0.5 mL syringe- APPRISE,darbepoetin alfa,darbepoetin alfa
LACOSamide 100 mg tab,LACOSamide,lacosamide
"Bag, Sterile Empty","Bag, Sterile Empty","bag, sterile"
Fluorescein 1mg ophth strip,fluorescein,fluorescein ophthalmic
Bupivacaine 0.25% 30 mL inj,bupivacaine 0.25%,bupivacaine
Sugammadex 200 mg/2mL inj,sugammadex,sugammadex
KCl 20 mEq packet,potassium chloride,potassium chloride
Heparin 2000 unit/2mL inj,heparin,heparin
Not Recorded,Not Recorded,dantrolene
DiphenhydrAMINE 25mg/NS IVPB,diphenhydrAMINE/ns,diphenhydrAMINE
Nelarabine 250 mg/ 50mL inj,nelarabine,nelarabine
Not Recorded,Not Recorded,adenosine
ANES Erythromycin 500 mg/100 mL NS IVPB,erythromycin,erythromycin
hepatitis B immune globulin /NS IVPB,hepatitis B immune globulin/NS IVPB,hepatitis B immune globulin
Albumin 5% 50 mL (2.5gm) inj,albumin 5%,albumin human
Thrombin 5000 unit recombinant powder,thrombin,thrombin topical
"Water, Sterile 20 mL inj","water, sterile",sterile water
Not Recorded,Not Recorded,antithrombin III
TOPOtecan 4 mg/ 4 mL inj,TOPOtecan,topotecan
Methocarbamol 500 mg tab,methocarbamol,methocarbamol
Not Recorded,Not Recorded,prothrombin complex conc human
Not Recorded,Not Recorded,methylene blue
Tirofiban 50 mcg/ mL 250 mL Drip*,tirofiban/ns,tirofiban
Magnesium Citrate oral soln Bulk,magnesium citrate,magnesium citrate
MetoCLOPRAMIDE 10 mg tab,metoCLOPRAMIDE,metoclopramide
CeTUXimab 2 mg/mL 50 mL inj,ceTUXimab,cetuximab
Furosemide 40 mg/5 mL liq,fUROSEMide,furosemide
Copper sulfate 0.4 mg/mL inj,copper sulfate,copper sulfate
Insulin Glargine (Human),"insulin, glargine",insulin glargine
Nafcillin 10mg/mL for Desensitization,nafcillin/ns for desensitization,nafcillin
DAUNOrubicin 20 mg inj,DAUNOrubicin,DAUNOrubicin
CefTAZIDime 1gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,cefTAZidime
KCl 20 mEq/15 mL oral liq,potassium chloride,potassium chloride
HydrALAZINE 10 mg tab,hydrALAZINE,hydrALAZINE
"Water,St. 1000 mL  irrigation btl","water, sterile irr btl",sterile water
albuterol 2.5 mg/0.5mL neb,albuterol,albuterol
Ceftriaxone 1gm/ 50mL NS,ceftriaxone in NS,cefTRIAXone
ketamine Bolus from bag,ketamine Bolus from bag,ketamine
DOCEtaxel 20mg/1mL inj,DOCEtaxel,DOCEtaxel
Furosemide 100 mg/10 mL inj ADD,fUROSEMide add,furosemide
CefTAZIDime 2gm/50 mL Iso-Dex,cefTAZIDime in Iso-Dex,cefTAZidime
Rocuronium 10 mg/mL per mL,rocuronium,rocuronium
Amiodarone 900 mg Drip,amiodarone 900 mg drip,amiodarone
Antithrombin III 500 units-bolus,antithrombin III in syringe,antithrombin III
RHo (D) immune globulin 1500 intl units/1.3 mL solu,RHo (D) immune globulin,RHo (D) immune globulin
Not Recorded,Not Recorded,anti-thymocyte globulin (rabbit)
Tobramycin 80 mg/ 100 mL NS,tobramycin,tobramycin
Zoledronic acid 4 mg/100 mL premix IVPB,zoledronic acid,zoledronic acid
Methotrexate Int Dose,methotrexate sodium,methotrexate
RHo (D) immune globulin 300 mcg/1.3 mL inj,RHo (D) immune globulin,RHo (D) immune globulin
Gentamicin 8mg Intrathecal syringe,gentamicin intrathecal syringe,gentamicin
DOXOrubicin  LYOPH 50mg for orderset only,DOXOrubicin LYOPH,DOXOrubicin
DOCEtaxel 80mg/4mL inj,DOCEtaxel,DOCEtaxel
NS 1000 mL irrigation  btl,ns irrigation btl,sodium chloride
ANES Fosphenytoin 50 mgpe/mL inj,fosphenytoin,fosphenytoin
Lidocaine 2% PF 10 mL inj,lidocaine 2%,lidocaine
Fentanyl 25 mcg/hr patch,fentanyl,fentaNYL
LeveTIRACETAM 500mg/5mL soln.,leveTIRACETAM,levETIRAcetam
Not Recorded,Not Recorded,antihemophilic factor
Caffeine-Sod Benz 500 mg/2 mL inj,caffeine-sodium benzoate,caffeine-sodium benzoate
Hydrocortisone 100mg/60mL enema,hydrocortisone,hydrocortisone
Not Recorded,Not Recorded,pentamidine
Benzocaine 20% oral aerosol spray,benzocaine 20%,benzocaine topical
albuterol 2.5 mg/ 0.5 ml neb,albuterol,albuterol
MethaDONE 5 mg tab,methaDONE,methadone
DOCEtaxel 10 mg/mL inj,DOCEtaxel,DOCEtaxel
Piperacil/Tazobactam  2.25gm inj,piperacillin-tazobact,piperacillin-tazobactam
Not Recorded,Not Recorded,cefOXitin
Penicillin G Pot. 0.1units/mL for Desensitization,Penicillin G Pot./ns,penicillin G potassium
Not Recorded,Not Recorded,insulin aspart
NiCARdipine 30 mg cap,niCARdipine,niCARdipine
HePARIN 100 units/mL 10mL syr.,hePARIN flush,heparin flush
Penicillin G Pot. 10units/mL for Desensitization,Penicillin G Pot./ns,penicillin G potassium
Not Recorded,Not Recorded,PHENobarbital
Vecuronium 20 mg inj,vecuronium,vecuronium
"ANES penicillin 2,000,000 U/50 mL IVPB",penicillin 2MU IVPB,penicillin G potassium
Succinylcholine 20mg/mL 10mL syringe,succinylcholine,succinylcholine
Procainamide 1gm/10 mL inj,procainamide,procainamide
"Water,Sterile 10 mL inj","water, sterile",sterile water
Succinylcholine 200mg syr for pyxis,succinylchloline,succinylcholine
Not Recorded,Not Recorded,posaconazole
Aprepitant 125 mg cap,aprepitant,aprepitant
Not Recorded,Not Recorded,levothyroxine
HydrOXYzine HCL 10 mg tab,hydrOXYzine,hydrOXYzine
Levothyroxine 100 mcg tab,levothyroxine,levothyroxine
Famotidine 20 mg tab,fAMOTIDine,famotidine
D5W 1000 mL (Polyolefin) for chemo,d5w (polyolefin),Dextrose 5% in Water intravenous solution
Ceftriaxone 250mg/mL IM neonate syringe,ceftriaxone,cefTRIAXone
Dexamethasone 10mg/NS IVPB,dexamethasone/ns,dexamethasone
Acetaminophen 160 mg/5 mL liq. 120mL,acetaminophen,acetaminophen
Sodium  Bicarbonate 0.5meq/mL neonate syringe,sod bicarbonate,sodium bicarbonate
Aminophylline 500 mg/ 20 mL inj,aminophylline,aminophylline
Fentanyl 50 mcg/hr patch,fentanyl,fentaNYL
Nafcillin 0.1mg/mL for Desensitization,nafcillin/ns for desensitization,nafcillin
D5.2NS 500 mL IV bag,d5.2ns,Dextrose 5% with 0.2% NaCl intravenous solution
NTG 0.3 mg=1/200Gr SL tab,nitroglycerin,nitroglycerin
Desmopressin 0.4 mcg/mL SubQ syringe,desmopress in syringe,desmopressin
Factor 9 (IX) inj Bolus,factor 9 (IX) in syringe,coagulation factor IX
Pantoprazole 40 mg tab,pantoprazole,pantoprazole
nitroprusside 25 mg/250 mL NS Drip CATH LAB,nitroprusside 25 mg drip CATH LAB,sodium nitroprusside
Vecuronium 1mg/mL 10mL syringe,vecuronium,vecuronium
Nitroglycerin 25 mg/5 mL inj,nitroglycerin,nitroglycerin
MethylPREDNISolone 4 mg tab,methylPREDNISolone,methylPREDNISolone
Anticoagulant Citrate Soln-A 500mL,anticoagulant citrate dext-A,Anticoagulant Citrate Soln
cefaZOLIN 2 gm OR syringe,cefaZOLIN,ceFAZolin
Potassium Chloride 10 mEq tab,potassium chloride,potassium chloride
Calcitonin 400 IU/2 mL inj,calcitonin,calcitonin
Topiramate 100 mg tab,topiramate,topiramate
MetoCLOPRAMIDE 5 mg tab,metoCLOPRAMIDE,metoclopramide
MethaDONE 10 mg/mL 20 mL inj,methaDONE,methadone
calcium gluconate 1 gm/100 mL NS IVPB,calcium gluconate/NS,calcium gluconate
Celecoxib 100 mg cap,celecoxib,celecoxib
Desmopressin 4 mcg/mL SubQ syringe,desmopressin in syringe,desmopressin
Visipaque 320 mg 200 mL btl,iodixanol,iodixanol
