formulary_name,med_name_generic,med_name
PRMX Insulin Reg Hum.,insulin reg human premix,insulin regular
ANES PHENYLephrine 25mg/250 mL NS drip std*,PHENYLephrine in ns,phenylephrine
ANES protAMINE 10 mg/mL inj,protAMINE,protamine
ANES Esmolol 10mg/mL OR syringe,esmolol,esmolol
MethylPREDNISolone 125 mg/2 mL  inj,methylPREDNISolone,methylPREDNISolone
Metronidazole 500 mg/NS 100 mL,metronidazole / NS,metroNIDAZOLE
Ceftriaxone 2gm/50 mL Iso-Dex,ceftriaxone in Iso-Dex,cefTRIAXone
ANES hePARIN 1000 units/mL 1 mL inj,hePARIN,heparin
ANES Dexmedetomidine 400 mcg/100 mL NS Drip Std*,dexmedetomidine NS drip,dexmedetomidine
Vasopressin 20 units/ 1 mL (Vasostrict),vasopressin,vasopressin
KCl 20 mEq/50 mL St. Water premix,potassium chloride in sterile water,potassium chloride
Albumin Human 5% 250 mL,albumin 5%,albumin human
MetoPROLOL 5 mg/5 mL inj,metoPROLOL,metoprolol
ProtAMINE 10 mg/mL 5 mL inj,protAMINE,protamine
PRMX Propofol 1000 mg/100 mL std*,propofol,propofol
cefaZOLIN 1 gm OR syringe,cefaZOLIN,ceFAZolin
PRMX Esmolol 2.5gm/250 mL Drip std*,esmolol,esmolol
Doxycycline 100 mg inj,doxycycline,doxycycline
Ketorolac 30 mg inj,ketorolac,ketorolac
Ampicillin-Sulbactam 3gm inj,ampicillin-sulbactam,ampicillin-sulbactam
Furosemide 100 mg/10 mL inj,fUROSEMide,furosemide
Magnesium Sulf 2gm/50mL IVPB,magnesium sulfate,magnesium sulfate
D5W 500 mL (Polyolefin),d5w (polyolefin),Dextrose 5% in Water intravenous solution
Furosemide 20 mg/2 mL inj,fUROSEMide,furosemide
ANES PHENYLephrine 100mcg/mL OR syringe,PHENYLephrine,phenylephrine
Plasma-Lyte A 1000 mL bag,plasmalyte a,Electrolyte (Plasma-Lyte) intravenous solution
ANES Neostigmine 1 mg/mL inj,neostigmine,neostigmine
EPHEDrine 5mg/mL OR syringe,ePHEDrine,ephedrine
Lidocaine 2% 10 mL inj,lidocaine 2%,lidocaine
Ketorolac 15 mg inj,ketorolac,ketorolac
Glycopyrrolate 0.2 mg/1 mL inj,glycopyrrolate,glycopyrrolate
ANES Famotidine 10 mg/1 mL inj,fAMOTIDine,famotidine
cefOXiitin 2 gm inj,cefoxitin,cefOXitin
ANES Tranexamic acid 100 mg/100mL NS,tranexamic acid,tranexamic acid
Azithromycin 500mg/NS 250ml IVPB,Azithromycin in ns,azithromycin
NACL 0.45% +20 mEq KCl 1000 mL,nacl 0.45% + kcl,potassium chloride-sodium chloride
Hydromorphone 2 mg/1 mL inj,hydromorphone,HYDROmorphone
D5W 250mL (Polyolefin),d5w (polyolefin),Dextrose 5% in Water intravenous solution
PRMX PHENYLephrine 25mg/NS drip std*,PHENYLephrine in ns,phenylephrine
NS 250mL (Polyolefin),nacl 0.9% (polyolefin),Sodium Chloride 0.9% intravenous solution
Sodium Bicarb 50 mEq/50mL syringe,sodium bicarbonate,sodium bicarbonate
Ketamine HCl 200 mg/20 mL inj,ketamine,ketamine
NOREPInephrine 4mg/4mL inj,NOREPInephrine,norepinephrine
PHENYLephrine 10 mg/ 1 mL inj,PHENYLephrine,phenylephrine
NS 500 mL IV bag,nacl 0.9%,Sodium Chloride 0.9% intravenous solution
Vancomycin 500mg (10gm vial),vancomycin,vancomycin
LevoFLOXACIN 500 mg/100 mL D5W,LevoFLOXACIN in d5w,levoFLOXacin
PRMX DOBUTamine 500 mg Drip Std*,DOBUTamine/d5w,DOBUTamine
CefTAZIDime 2gm/NS IVPB,cefTAZIDime in ns,cefTAZidime
"HePARIN (1000unit/mL)10,000 units/10 mL inj",hePARIN,heparin
