med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic
fentaNYL,FALSE,Medication,analgesic,opioids,ANES Fentanyl 50 mcg/1 mL inj,Not Recorded,1.0 mL,556934,mL,1,50.0 mcg,mcg,50,50.0 mcg/1.0 ML,FALSE,TRUE,fentanyl
flumazenil,FALSE,Medication,benzodiazepine antagonist,other,ANES Flumazenil 0.1 mg/1 mL inj,Not Recorded,1.0 mL,170,mL,1,0.1 mg,mg,0.1,0.1 mg/1.0 ML,FALSE,TRUE,flumazenil
fosphenytoin,FALSE,Medication,anticonvulsant,other,ANES Fosphenytoin 50 mgpe/mL inj,Not Recorded,none,16,,,none,,,none,FALSE,TRUE,fosphenytoin
furosemide,FALSE,Medication,diuretic,other,ANES Furosemide 10 mg/1 mL inj,Not Recorded,1.0 mL,2075,mL,1,10.0 mg,mg,10,10.0 mg/1.0 ML,FALSE,TRUE,fUROSEMide
heparin,FALSE,Medication,anticoagulant,other,"ANES HePARIN 1,000 units/mL 30 mL inj",Not Recorded,30.0 mL,4303,mL,30,1000.0 unit,unit,1000,none,FALSE,TRUE,hePARIN
heparin,FALSE,Medication,anticoagulant,other,"ANES HePARIN 25,000 units/250 mL Premix std*",Not Recorded,250.0 mL,400,mL,250,25000.0 unit,unit,25000,0.0 unit/250.0 ML,TRUE,TRUE,hePARIN premix
hydrALAZINE,FALSE,Medication,bp_lowering,other,ANES HydrALAZINE 4 mg/mL inj,Not Recorded,none,2480,,,4.0 mg,mg,4,none,FALSE,TRUE,hydrALAZINE
hydrALAZINE,FALSE,Medication,bp_lowering,other,ANES HydrALAZINE 5 mg/mL inj,Not Recorded,none,4511,,,5.0 mg,mg,5,none,FALSE,TRUE,hydrALAZINE
hydrocortisone,FALSE,Medication,corticosteroids,other,ANES Hydrocortisone 50 mg/mL inj,Not Recorded,none,1427,,,50.0 mg,mg,50,none,FALSE,TRUE,hydrocortisone
,,,,,ANES Hydromorphone 0.001%/NS Epidural,Not Recorded,none,1,,,none,,,none,FALSE,TRUE,
HYDROmorphone,FALSE,Medication,analgesic,opioids,ANES Hydromorphone 0.002% epidural,Not Recorded,none,1,,,none,,,none,FALSE,TRUE,hydromorphone 0.002%/ns
central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other,ANES Hyperal Central,Not Recorded,none,580,,,none,,,none,TRUE,TRUE,Hyperal - Central
hyperal peripheral,TRUE,Parenteral Nutrition,other,other,ANES Hyperal Peripheral,Not Recorded,none,138,,,none,,,none,TRUE,TRUE,Hyperal - Peripheral
insulin aspart,FALSE,Medication,insulin,other,ANES Insulin Aspart 10 unit(s)/mL OR syringe,Not Recorded,none,1,,,10.0 unit,unit,10,none,FALSE,TRUE,insulin aspart
insulin regular,FALSE,Medication,insulin,other,ANES Insulin Reg Human 100units Drip std*,Not Recorded,none,12394,,,100.0 unit,unit,100,none,TRUE,TRUE,insulin reg human in ns
insulin regular,FALSE,Medication,insulin,other,ANES Insulin Reg Human 250units Drip std*,Not Recorded,none,15665,,,250.0 unit,unit,250,none,TRUE,TRUE,insulin reg human in ns
isoproterenol,FALSE,Medication,pressor,vasopressor,ANES Isoproterenol 1 mg/250 mL drip std*,Not Recorded,250.0 mL,23,mL,250,1.0 mg,mg,1,1.0 mg/250.0 ML,TRUE,TRUE,isoproterenol
isoproterenol,FALSE,Medication,pressor,vasopressor,ANES Isoproterenol 200 mcg/1 mL inj,Not Recorded,1.0 mL,47,mL,1,200.0 mcg,mcg,200,200.0 mcg/1.0 ML,FALSE,TRUE,isoproterenol
ketamine,FALSE,Medication,analgesic,other,ANES Ketamine 50 mg/1 mL inj,Not Recorded,1.0 mL,7268,mL,1,50.0 mg,mg,50,50.0 mg/1.0 ML,FALSE,TRUE,ketamine
labetalol,FALSE,Medication,bp_lowering,beta_blocker,ANES Labetalol 5 mg/1 mL inj,Not Recorded,1.0 mL,21486,mL,1,5.0 mg,mg,5,5.0 mg/1.0 ML,FALSE,TRUE,labetalol
levETIRAcetam,FALSE,Medication,anticonvulsant,other,ANES LeveTIRACETAM 500mg/5mL,Not Recorded,5.0 mL,89,mL,5,500.0 mg,mg,500,500.0 mg/5.0 ML,TRUE,TRUE,leveTIRACETAM
lidocaine,FALSE,Medication,antiarrhythmics,other,ANES Lidocaine 2 gm/250 mL D5W Drip std*,Not Recorded,250.0 mL,9359,mL,250,2.0 gm,gm,2,none,TRUE,TRUE,lidocaine in d5w
magnesium sulfate,TRUE,Electrolyte Solution (Magnesium),fluid_electrolyte,other,ANES Magnesium Sulf 500 mg/1 mL OR syringe,Not Recorded,1.0 mL,139,mL,1,500.0 mg,mg,500,500.0 mg/1.0 ML,FALSE,TRUE,magnesium sulfate
,,,,,ANES Meperidine 0.1%/Bupivacaine 0.1% epidural,Not Recorded,none,2,,,none,,,none,FALSE,TRUE,
methylPREDNISolone,FALSE,Medication,corticosteroids,other,ANES MethylPREDNISolone 62.5 mg/1 mL  inj,Not Recorded,1.0 mL,2027,mL,1,62.5 mg,mg,62.5,62.5 mg/1.0 ML,FALSE,TRUE,methylPREDNISolone
methyldopa,FALSE,Medication,bp_lowering,other,ANES Methyldopa 50 mg/mL inj,Not Recorded,none,1,,,50.0 mg,mg,50,none,FALSE,TRUE,methyldopa
metoclopramide,FALSE,Medication,antiemetic,other,ANES MetoCLOPRAMIDE 5 mg/1 mL inj,Not Recorded,1.0 mL,361,mL,1,5.0 mg,mg,5,5.0 mg/1.0 ML,FALSE,TRUE,metoCLOPRAMIDE
metoprolol,FALSE,Medication,bp_lowering,beta_blocker,ANES MetoPROLOL 1 mg/mL inj,Not Recorded,none,9906,,,1.0 mg,mg,1,none,FALSE,TRUE,metoPROLOL
midazolam,FALSE,Medication,sedative,benzodiazepine,ANES Midazolam 1mg/mL inj 5 mL,Not Recorded,5.0 mL,140813,mL,5,1.0 mg,mg,1,none,FALSE,TRUE,midazolam
milrinone,FALSE,Medication,bp_lowering,other,ANES Milrinone 1 mg/mL inj,Not Recorded,none,336,,,1.0 mg,mg,1,none,FALSE,TRUE,milrinone
milrinone,FALSE,Medication,bp_lowering,other,ANES Milrinone 40 mg Drip std*,Not Recorded,none,4668,,,40.0 mg,mg,40,none,TRUE,TRUE,milrinone/d5w
morphine,FALSE,Medication,analgesic,opioids,ANES Morphine-PF 0.5 mg/mL inj,Not Recorded,none,23,,,0.5 mg,mg,0.5,none,FALSE,TRUE,morphine
norepinephrine,FALSE,Medication,pressor,vasopressor,ANES NOREPInephrine 4mg Drip std*,Not Recorded,none,85943,,,4.0 mg,mg,4,none,TRUE,TRUE,NOREPInephrine in d5w
neostigmine,FALSE,Medication,reversal_agent,other,ANES Neostigmine 1 mg/mL inj,Not Recorded,none,46603,,,1.0 mg,mg,1,none,FALSE,TRUE,neostigmine
nitroglycerin,FALSE,Medication,bp_lowering,other,ANES Nitroglycerin 50 mg/250 mL D5W Drip std*,Not Recorded,250.0 mL,1015,mL,250,50.0 mg,mg,50,50.0 mg/250.0 ML,TRUE,TRUE,nitroglycerin/d5w
sodium nitroprusside,FALSE,Medication,bp_lowering,other,ANES Nitroprusside 50 mg/250 mL NS Drip Std*,Not Recorded,250.0 mL,119,mL,250,50.0 mg,mg,50,50.0 mg/250.0 ML,TRUE,TRUE,nitroprusside
octreotide,FALSE,Medication,other,other,ANES Octreotide  500  mcg/100 mL NS Drip Std*,Not Recorded,100.0 mL,131,mL,100,500.0 mcg,mcg,500,500.0 mcg/100.0 ML,TRUE,TRUE,octreotide
ondansetron,FALSE,Medication,antiemetic,other,ANES Ondansetron 2 mg/1 mL inj,Not Recorded,1.0 mL,58596,mL,1,2.0 mg,mg,2,2.0 mg/1.0 ML,FALSE,TRUE,ondansetron
phenylephrine,FALSE,Medication,pressor,vasopressor,ANES PHENYLephrine 100mcg/mL OR syringe,Not Recorded,none,472922,,,100.0 mcg,mcg,100,none,FALSE,TRUE,PHENYLephrine
phenylephrine,FALSE,Medication,pressor,vasopressor,ANES PHENYLephrine 25mg/250 mL NS drip std*,Not Recorded,250.0 mL,45734,mL,250,25.0 mg,mg,25,25.0 mg/250.0 ML,TRUE,TRUE,PHENYLephrine in ns
piperacillin-tazobactam,FALSE,Medication,anti-infective,penicillins,ANES Piperacillin-Tazobactam 3.375gm inj,Not Recorded,none,7,,,3.375 gm,gm,3.375,none,FALSE,TRUE,piperacillin-tazobactam
procainamide,FALSE,Medication,antiarrhythmics,other,ANES Procainamide 100 mg/mL inj,Not Recorded,none,3,,,100.0 mg,mg,100,none,FALSE,TRUE,procainamide
propofol,FALSE,Medication,sedative,anesthetic,ANES Propofol 10 mg/1 mL inj,Not Recorded,1.0 mL,361295,mL,1,10.0 mg,mg,10,10.0 mg/1.0 ML,FALSE,TRUE,propofol
propofol,FALSE,Medication,sedative,anesthetic,ANES Propofol 1000 mg/100 mL Drip std*,Not Recorded,100.0 mL,28607,mL,100,1000.0 mg,mg,1000,1000.0 mg/100.0 ML,TRUE,TRUE,propofol
remifentanil,FALSE,Medication,analgesic,opioids,ANES REMIfentanil 10 mcg/mL inj,Not Recorded,none,705,,,10.0 mcg,mcg,10,none,FALSE,TRUE,REMIfentanil
remifentanil,FALSE,Medication,analgesic,opioids,ANES REMIfentanil 25 mcg/mL inj,Not Recorded,none,54,,,25.0 mcg,mcg,25,none,FALSE,TRUE,REMIfentanil
remifentanil,FALSE,Medication,analgesic,opioids,ANES REMIfentanil 5 mcg/mL inj,Not Recorded,none,52,,,5.0 mcg,mcg,5,none,FALSE,TRUE,REMIfentanil
remifentanil,FALSE,Medication,analgesic,opioids,ANES REMIfentanil 50 mcg/mL inj,Not Recorded,none,232,,,50.0 mcg,mcg,50,none,FALSE,TRUE,REMIfentanil
raNITIdine,FALSE,Medication,antihistamine,acid_suppressant,ANES Ranitidine 25 mg/mL inj,Not Recorded,none,20,,,25.0 mg,mg,25,none,FALSE,TRUE,ranitidine
rocuronium,FALSE,Medication,neuromuscular_blocker,other,ANES Rocuronium 10 mg/mL 10 mL inj,Not Recorded,10.0 mL,330545,mL,10,10.0 mg,mg,10,none,FALSE,TRUE,rocuronium
SUFentanil,FALSE,Medication,analgesic,opioids,ANES SUfentanil 50 mcg/mL inj,Not Recorded,none,5761,,,50.0 mcg,mcg,50,none,FALSE,TRUE,SUfentanil
sodium bicarbonate,TRUE,Electrolyte Solution (Bicarbonate),fluid_electrolyte,other,ANES Sodium Bicarb 1 mEq/mL syringe,Not Recorded,none,4751,,,1.0 mEq,mEq,1,none,FALSE,TRUE,sodium bicarbonate
succinylcholine,FALSE,Medication,neuromuscular_blocker,other,ANES Succinylcholine 20mg/ml 10ml OR syringe,Not Recorded,10.0 mL,51614,mL,10,20.0 mg,mg,20,none,FALSE,TRUE,succinylcholine
tranexamic acid,FALSE,Medication,other,other,ANES Tranexamic acid 100 mg/100mL NS,Not Recorded,100.0 mL,55771,mL,100,100.0 mg,mg,100,100.0 mg/100.0 ML,TRUE,TRUE,tranexamic acid
tranexamic acid,FALSE,Medication,other,other,ANES Tranexamic acid 50 mg/mL inj,Not Recorded,none,13001,,,50.0 mg,mg,50,none,FALSE,TRUE,tranexamic acid
vasopressin,FALSE,Medication,pressor,vasopressor,ANES Vasopressin 2 units/mL inj,Not Recorded,none,15725,,,2.0 unit,unit,2,none,FALSE,TRUE,vasopressin
vecuronium,FALSE,Medication,neuromuscular_blocker,other,ANES Vecuronium 1 mg/mL inj,Not Recorded,none,44930,,,1.0 mg,mg,1,none,FALSE,TRUE,vecuronium
verapamil,FALSE,Medication,bp_lowering,other,ANES Verapamil 2.5 mg/mL inj,Not Recorded,none,50,,,2.5 mg,mg,2.5,none,FALSE,TRUE,verapamil
albuterol,FALSE,Medication,other,other,ANES albuterol CFC free 90 mcg/inh,Not Recorded,none,923,,,90.0 mcg,mcg,90,none,TRUE,TRUE,albuterol
ANES amiodarone 750 mg/500 mL D5W Premix,FALSE,Medication,antiarrhythmics,other,ANES amiodarone 750 mg/500 mL D5W Premix,Not Recorded,500.0 mL,1518,mL,500,750.0 mg,mg,750,750.0 mg/500.0 ML,TRUE,TRUE,amiodarone 750mg/500mL D5W drip
basiliximab,FALSE,Medication,other,other,ANES basiliximab 20mg/50 mL NS,Not Recorded,50.0 mL,2952,mL,50,20.0 mg,mg,20,20.0 mg/50.0 ML,TRUE,TRUE,basiliximab
bivalirudin,FALSE,Medication,other,other,ANES bivalirudin 250 mg / 50 mL NS,Not Recorded,50.0 mL,353,mL,50,250.0 mg,mg,250,250.0 mg/50.0 ML,TRUE,TRUE,bivalirudin
bupivacaine,FALSE,Medication,other,other,ANES bupivacaine 0.25%/ns epidural,Not Recorded,none,7,,,none,,,none,FALSE,TRUE,bupivacaine 0.25%/ns epidural
cisatracurium,FALSE,Medication,neuromuscular_blocker,other,ANES cisatracurium 2 mg/mL 10 mL inj,Not Recorded,10.0 mL,13123,mL,10,2.0 mg,mg,2,none,FALSE,TRUE,cisatracurium
,,,,,ANES citric acid-sodium citrate soln,Not Recorded,none,15,,,none,,,none,TRUE,TRUE,
desmopressin,FALSE,Medication,other,other,ANES desmopressin 40 mcg/50 mL NS,Not Recorded,50.0 mL,508,mL,50,40.0 mcg,mcg,40,40.0 mcg/50.0 ML,TRUE,TRUE,ANES desmopressin
epoprostenol,FALSE,Medication,bp_lowering,other,"ANES epoprostenol 20,000ng/mL inhale",Not Recorded,none,1319,,,20000.0 ng,ng,20000,none,FALSE,TRUE,epoprostenol inhale
heparin,FALSE,Medication,anticoagulant,other,ANES hePARIN 1000 units/mL 1 mL inj,Not Recorded,1.0 mL,27703,mL,1,1000.0 unit,unit,1000,none,FALSE,TRUE,hePARIN
ketamine,FALSE,Medication,analgesic,other,ANES ketamine 10 mg/1 mL,Not Recorded,1.0 mL,46914,mL,1,10.0 mg,mg,10,10.0 mg/1.0 ML,TRUE,TRUE,ketamine
ketamine,FALSE,Medication,analgesic,other,ANES ketamine 100 mg/1 mL,Not Recorded,1.0 mL,2192,mL,1,100.0 mg,mg,100,100.0 mg/1.0 ML,TRUE,TRUE,ketamine
ketamine,FALSE,Medication,analgesic,other,ANES ketamine 200 mg/50 mL drip,Not Recorded,50.0 mL,410,mL,50,200.0 mg,mg,200,200.0 mg/50.0 ML,TRUE,TRUE,ketamine
levothyroxine,FALSE,Medication,other,other,ANES levothyroxine 0.4 mcg/mL IV,Not Recorded,none,97,,,0.4 mcg,mcg,0.4,none,TRUE,TRUE,levothyroxine
methocarbamol,FALSE,Medication,other,other,ANES methocarbamol 500 mg/50 mL NS,Not Recorded,50.0 mL,1526,mL,50,500.0 mg,mg,500,500.0 mg/50.0 ML,TRUE,TRUE,methocarbamol
methylPREDNISolone,FALSE,Medication,corticosteroids,other,ANES methylPREDNISolone 500 mg/50 mL NS,Not Recorded,50.0 mL,2088,mL,50,500.0 mg,mg,500,500.0 mg/50.0 ML,TRUE,TRUE,methylPREDNISolone
micafungin,FALSE,Medication,anti-infective,antifungals,ANES micafungin 1.5 mg/mL,Not Recorded,none,14,,,1.5 mg,mg,1.5,none,TRUE,TRUE,micafungin
mycophenolate mofetil,FALSE,Medication,other,other,ANES mycophenolate 750mg/250 mL D5W,Not Recorded,250.0 mL,195,mL,250,750.0 mg,mg,750,750.0 mg/250.0 ML,TRUE,TRUE,mycophenolate mofetil
niCARdipine,FALSE,Medication,bp_lowering,other,ANES niCARdipine 40 mg/200mL NS  Drip std*,Not Recorded,200.0 mL,2131,mL,200,40.0 mg,mg,40,40.0 mg/200.0 ML,TRUE,TRUE,ANES niCARdipine/NS drip
oxytocin,FALSE,Medication,other,other,ANES oxytocin 10 units/mL,Not Recorded,none,2,,,10.0 unit,unit,10,none,TRUE,TRUE,oxytocin
penicillin G potassium,FALSE,Medication,anti-infective,penicillins,"ANES penicillin 2,000,000 U/50 mL IVPB",Not Recorded,50.0 mL,6,mL,50,2000000.0 unit,unit,2000000,0.0 unit/50.0 ML,TRUE,TRUE,penicillin 2MU IVPB
protamine,FALSE,Medication,reversal_agent,anticoagulant,ANES protAMINE 10 mg/mL inj,Not Recorded,none,20363,,,10.0 mg,mg,10,none,FALSE,TRUE,protAMINE
sugammadex,FALSE,Medication,reversal_agent,other,ANES sugammadex 100 mg/mL soln,Not Recorded,none,75288,,,100.0 mg,mg,100,none,TRUE,TRUE,sugammadex
ANES vasopressin 200 unit/500 mL NS drip,FALSE,Medication,pressor,vasopressor,ANES vasopressin 20 unit/50 mL NS drip,Not Recorded,50.0 mL,6369,mL,50,20.0 unit,unit,20,20.0 unit/50.0 ML,TRUE,TRUE,vasopressin 100 drip
