med_name,is_fluids,fluid_type,med_class,med_subclass,formulary_name,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,med_name_generic
"Bag, PCA  Infusion",FALSE,Medication,other,other,"Bag, PCA  Infusion",Not Recorded,none,210,,,none,,,none,TRUE,FALSE,pca -  bag
"bag, sterile",FALSE,Medication,other,other,"Bag, Sterile Empty",Not Recorded,none,647,,,none,,,none,FALSE,FALSE,"Bag, Sterile Empty"
,,,,,"Bag, Sterile Empty for IVPB",Not Recorded,none,108,,,none,,,none,FALSE,FALSE,
,,,,,"Bag, sterile for invst study",Not Recorded,none,2,,,none,,,none,FALSE,FALSE,
basiliximab,FALSE,Medication,other,other,Basiliximab 20mg inj,Not Recorded,none,2647,,,20.0 mg,mg,20,none,FALSE,FALSE,basiliximab
Belatacept,FALSE,Medication,other,other,Belatacept 250mg inj,Not Recorded,none,1990,,,250.0 mg,mg,250,none,FALSE,FALSE,belatacept
,,,,,Bendamustine 100 mg inj,Not Recorded,none,4,,,100.0 mg,mg,100,none,FALSE,FALSE,
bendamustine,FALSE,Medication,other,other,Bendamustine 100 mg/4mL inj,Not Recorded,4.0 mL,70,mL,4,100.0 mg,mg,100,100.0 mg/4.0 ML,FALSE,FALSE,bendamustine
benzocaine topical,FALSE,Medication,other,other,Benzocaine 20% Mouth Gel,Not Recorded,none,1,,,none,,,none,FALSE,FALSE,benzocaine 20%
benzocaine topical,FALSE,Medication,other,other,Benzocaine 20% oral aerosol spray,Not Recorded,none,48,,,none,,,none,FALSE,FALSE,benzocaine 20%
,,,,,Benzocaine topical 20% spray 0.5mL UD,Not Recorded,0.5 mL,1,mL,0.5,none,,,none,FALSE,FALSE,
benztropine,FALSE,Medication,other,other,Benztropine 2 mg/2 mL inj,Not Recorded,2.0 mL,115,mL,2,2.0 mg,mg,2,2.0 mg/2.0 ML,FALSE,FALSE,benztropine
betamethasone,FALSE,Medication,other,other,BetamethPhos/Acetate 6 mg/mL 5 mL inj,Not Recorded,5.0 mL,3,mL,5,6.0 mg,mg,6,none,FALSE,FALSE,betamethasone
bevacizumab,FALSE,Medication,other,other,Bevacizumab 100mg/4mL,Not Recorded,4.0 mL,39,mL,4,100.0 mg,mg,100,100.0 mg/4.0 ML,TRUE,FALSE,bevacizumab
bevacizumab,FALSE,Medication,other,other,Bevacizumab 400mg inj,Not Recorded,none,26,,,400.0 mg,mg,400,none,FALSE,FALSE,bevacizumab
bivalirudin,FALSE,Medication,other,other,Bivalirudin 250mg/NS,Not Recorded,none,71146,,,250.0 mg,mg,250,none,TRUE,FALSE,bivalirudin in ns
bleomycin,FALSE,Medication,other,other,Bleomycin 15 units inj,Not Recorded,none,36,,,15.0 unit,unit,15,none,FALSE,FALSE,bleomycin
bleomycin,FALSE,Medication,other,other,Bleomycin 30 units inj.,Not Recorded,none,2,,,30.0 unit,unit,30,none,FALSE,FALSE,bleomycin
blinatumomab,FALSE,Medication,other,other,Blinatumomab 35 mcg inj,Not Recorded,none,300,,,35.0 mcg,mcg,35,none,FALSE,FALSE,blinatumomab
bortezomib,FALSE,Medication,other,other,Bortezomib 3.5 mg inj (IV),Not Recorded,none,32,,,3.5 mg,mg,3.5,none,FALSE,FALSE,bortezomib
bortezomib,FALSE,Medication,other,other,Bortezomib 3.5 mg inj (SubQ),Not Recorded,none,2,,,3.5 mg,mg,3.5,none,FALSE,FALSE,bortezomib in syringe
ciprofloxacin,FALSE,Medication,anti-infective,fluoroquinolones,Brand necessary-Ciprofloxacin 400mg/200mL D5W premix ivpb,Not Recorded,200.0 mL,4125,mL,200,400.0 mg,mg,400,400.0 mg/200.0 ML,TRUE,FALSE,ciprofloxacin in D5W
brentuximab vedotin,FALSE,Medication,other,other,Brentuximab vedotin 50 mg inj,Not Recorded,none,10,,,50.0 mg,mg,50,none,FALSE,FALSE,brentuximab vedotin
bumetanide,FALSE,Medication,diuretic,other,Bumetanide 0.25 mg/mL 10 mL inj,Milligram/Hour,10.0 mL,50371,mL,10,0.25 mg,mg,0.25,none,FALSE,FALSE,bumetanide
bumetanide,FALSE,Medication,diuretic,other,Bumetanide 1 mg/4 mL inj,Not Recorded,4.0 mL,11559,mL,4,1.0 mg,mg,1,1.0 mg/4.0 ML,FALSE,FALSE,bumetanide
bupivacaine-epinephrine,FALSE,Medication,other,other,Bupivacaine  0.25% w/Epi  30 mL,Not Recorded,30.0 mL,37,mL,30,none,,,none,TRUE,FALSE,bupivacaine 0.25% w/epi
,,,,,Bupivacaine  0.25% w/Epi  PF 30 mL,Not Recorded,30.0 mL,2,mL,30,none,,,none,TRUE,FALSE,
bupivacaine-epinephrine,FALSE,Medication,other,other,Bupivacaine  0.5% w/Epi 10 mL inj,Not Recorded,10.0 mL,10,mL,10,none,,,none,FALSE,FALSE,bupivacaine 0.5% w/epi
bupivacaine,FALSE,Medication,other,other,Bupivacaine 0.25% 30 mL inj,Not Recorded,30.0 mL,19,mL,30,none,,,none,FALSE,FALSE,bupivacaine 0.25%
bupivacaine,FALSE,Medication,other,other,Bupivacaine 0.25% pf  10mL inj,Not Recorded,10.0 mL,13,mL,10,none,,,none,FALSE,FALSE,bupivacaine 0.25% pf
bupivacaine,FALSE,Medication,other,other,Bupivacaine 0.25% pf 30mL inj,Not Recorded,30.0 mL,5,mL,30,none,,,none,FALSE,FALSE,bupivacaine 0.25% pf
bupivacaine,FALSE,Medication,other,other,Bupivacaine 0.5% 10 mL inj,Not Recorded,10.0 mL,152,mL,10,none,,,none,FALSE,FALSE,bupivacaine 0.5%
,,,,,Bupivacaine 0.5% pf 10 mL inj,Not Recorded,10.0 mL,43,mL,10,none,,,none,FALSE,FALSE,
bupivacaine,FALSE,Medication,other,other,Bupivacaine 0.5% pf 30 mL inj,Not Recorded,30.0 mL,2909,mL,30,none,,,none,FALSE,FALSE,bupivacaine 0.5%
bupivacaine,FALSE,Medication,other,other,Bupivacaine 0.5% pf inj 10mL,Not Recorded,10.0 mL,4,mL,10,none,,,none,FALSE,FALSE,bupivacaine 0.5% pf
bupivacaine,FALSE,Medication,other,other,Bupivacaine 0.75% 10 mL inj pf,Not Recorded,10.0 mL,4,mL,10,none,,,none,FALSE,FALSE,bupivacaine 0.75%
bupivacaine,FALSE,Medication,other,other,Bupivacaine Spinal 0.75% 2 mL inj,Not Recorded,2.0 mL,10,mL,2,none,,,none,FALSE,FALSE,bupivacaine 0.75%
bupivacaine liposome,FALSE,Medication,other,other,Bupivacaine liposome 1.3% (13.3 mg/mL) inj. 20mL,Not Recorded,20.0 mL,7,mL,20,13.3 mg,mg,13.3,none,FALSE,FALSE,bupivacaine liposome
buprenorphine,FALSE,Medication,analgesic,opioids,Buprenorphone 0.3 mg/ 1 mL inj,Not Recorded,1.0 mL,11,mL,1,0.3 mg,mg,0.3,0.3 mg/1.0 ML,FALSE,FALSE,buprenorphine
busulfan,FALSE,Medication,other,other,Busulfan 6mg/mL 10 mL inj,Not Recorded,10.0 mL,1722,mL,10,6.0 mg,mg,6,none,FALSE,FALSE,busulfan
butorphanol,FALSE,Medication,other,other,Butorphanol 2 mg/mL inj,Not Recorded,none,312,,,2.0 mg,mg,2,none,FALSE,FALSE,butorphanol
,,,,,Butorphanol 4 mg/2 mL inj,Not Recorded,2.0 mL,15,mL,2,4.0 mg,mg,4,4.0 mg/2.0 ML,FALSE,FALSE,
"C1 esterase inhibitor, human",FALSE,Medication,other,other,C1 Esterase Inhibitor 500 units inj (Berinert),Not Recorded,none,19,,,500.0 unit,unit,500,none,FALSE,FALSE,C1 esterase inhibitor
,,,,,C1 Esterase Inhibitor 500 units inj (Berinert) (pt. Own Med),Not Recorded,none,2,,,500.0 unit,unit,500,none,FALSE,FALSE,
"C1 esterase inhibitor, human",FALSE,Medication,other,other,"C1 esterase inhibitor, human 500 units (Cinryze)",Not Recorded,none,1,,,500.0 unit,unit,500,none,TRUE,FALSE,"C1 esterase inhibitor, human"
carboplatin,FALSE,Medication,other,other,CARBOplatin 10 mg/mL inj,Not Recorded,none,1441,,,10.0 mg,mg,10,none,FALSE,FALSE,CARBOplatin
carboplatin,FALSE,Medication,other,other,CARBOplatin 150mg inj,Not Recorded,none,3,,,150.0 mg,mg,150,none,FALSE,FALSE,CARBOplatin
cisplatin,FALSE,Medication,other,other,CISplatin 100 mg/100mL inj,Not Recorded,100.0 mL,13,mL,100,100.0 mg,mg,100,100.0 mg/100.0 ML,FALSE,FALSE,CISplatin
cisplatin,FALSE,Medication,other,other,CISplatin 200  mg/200  mL inj,Not Recorded,200.0 mL,4265,mL,200,200.0 mg,mg,200,200.0 mg/200.0 ML,FALSE,FALSE,CISplatin
fentaNYL,FALSE,Medication,analgesic,opioids,"CMPD fentanyl  2,500 mcg vial",Not Recorded,none,15018,,,2500.0 mcg,mcg,2500,none,TRUE,FALSE,fentanyl citrate
carvedilol,FALSE,Medication,bp_lowering,beta_blocker,CaRVEDILOL 12.5 mg tab,Not Recorded,none,1,,,12.5 mg,mg,12.5,none,FALSE,FALSE,CaRVEDILOL
,,,,,CaRVEDILOL 25 mg tab,Not Recorded,none,1,,,25.0 mg,mg,25,none,FALSE,FALSE,
caffeine,FALSE,Medication,other,other,Caffeine Citrate 20mg/mL neonate syringe,Not Recorded,none,439,,,20.0 mg,mg,20,none,FALSE,FALSE,caffeine citrate syringe
caffeine,FALSE,Medication,other,other,Caffeine Citrate 60mg/3ml inj,Not Recorded,3.0 mL,6,mL,3,60.0 mg,mg,60,60.0 mg/3.0 ML,FALSE,FALSE,caffeine citrate
caffeine-sodium benzoate,FALSE,Medication,other,other,Caffeine-Sod Benz 500 mg/2 mL inj,Not Recorded,2.0 mL,182,mL,2,500.0 mg,mg,500,500.0 mg/2.0 ML,FALSE,FALSE,caffeine-sodium benzoate
calcitonin,FALSE,Medication,other,other,Calcitonin 400 IU/2 mL inj,Not Recorded,2.0 mL,2,mL,2,400.0 IU,IU,400,400.0 IU/2.0 ML,FALSE,FALSE,calcitonin
calcitriol,FALSE,Medication,other,other,Calcitriol 1 mcg/1 mL inj,Not Recorded,1.0 mL,446,mL,1,1.0 mcg,mcg,1,1.0 mcg/1.0 ML,FALSE,FALSE,calcitriol
calcium chloride,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Calcium Chloride  1gm/10 mL inj vial,Not Recorded,10.0 mL,2793,mL,10,1.0 gm,gm,1,none,FALSE,FALSE,calcium chloride
calcium chloride,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Calcium Chloride  1gm/10 mL syringe,Not Recorded,10.0 mL,32810,mL,10,1.0 gm,gm,1,none,FALSE,FALSE,calcium chloride
,,,,,Calcium Chloride (45x) 6.3gm granules,Not Recorded,none,7,,,6.3 gm,gm,6.3,none,FALSE,FALSE,
calcium glubionate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Calcium Glubionate 1.8 gm/5 ml liq 15 mL,Not Recorded,5.0 mL,1,mL,5,1.8 gm,gm,1.8,none,TRUE,FALSE,calcium glubionate
calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Calcium Gluconate 1 gm/10 mL inj,Not Recorded,10.0 mL,143562,mL,10,1.0 gm,gm,1,none,FALSE,FALSE,calcium gluconate
calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Calcium Gluconate 1 gm/10 mL inj ADD,Grams/Hour,10.0 mL,29686,mL,10,1.0 gm,gm,1,none,FALSE,FALSE,calcium gluconate
,,,,,Calcium chloride 5.1gm granules,Not Recorded,none,1,,,5.1 gm,gm,5.1,none,FALSE,FALSE,
calcium gluconate,TRUE,Electrolyte Solution (Calcium),fluid_electrolyte,other,Calcium gluconate 50mg/mL/NS neonate syringe,Not Recorded,none,168,,,50.0 mg,mg,50,none,FALSE,FALSE,calcium gluconate in NS syringe
,,,,,Carbidopa-Levodopa 25/100 CR tab,Not Recorded,none,1,,,none,,,none,FALSE,FALSE,
carbidopa-levodopa,FALSE,Medication,other,other,Carbidopa-Levodopa 25/100 tab,Not Recorded,none,1,,,100.0 tab,tab,100,none,FALSE,FALSE,carbidopa-levodopa 25/100
,,,,,Carbidopa/Entacapone/Levodopa 37.5 mg-200 mg-150 mg tabl,Not Recorded,none,1,,,37.5 mg,mg,37.5,none,FALSE,FALSE,
carboprost,FALSE,Medication,other,other,Carboprost Trm 250 mcg/ 1 mL,Not Recorded,1.0 mL,8,mL,1,250.0 mcg,mcg,250,250.0 mcg/1.0 ML,TRUE,FALSE,carboprost
carfilzomib,FALSE,Medication,other,other,Carfilzomib 60 mg inj,Not Recorded,none,19,,,60.0 mg,mg,60,none,FALSE,FALSE,carfilzomib
carmustine,FALSE,Medication,other,other,Carmustine 100 mg inj,Not Recorded,none,321,,,100.0 mg,mg,100,none,FALSE,FALSE,carmustine
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CeFAZOLIN 2 g/50 mL,Not Recorded,50.0 mL,90075,mL,50,2.0 g,g,2,2.0 g/50.0 ML,TRUE,FALSE,ceFAZolin in iso-dex
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CeFAZOLIN 2 g/50 mL,Not Recorded,50.0 mL,90075,mL,50,2.0 g,g,2,2.0 g/50.0 ML,TRUE,FALSE,ceFAZolin ivpb
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CeFAZOLIN 2 g/50 mL,Not Recorded,50.0 mL,104079,mL,50,2.0 g,g,2,2.0 g/50.0 ML,TRUE,FALSE,ceFAZolin in iso-dex
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CeFAZOLIN 2 g/50 mL,Not Recorded,50.0 mL,104079,mL,50,2.0 g,g,2,2.0 g/50.0 ML,TRUE,FALSE,ceFAZolin ivpb
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CeFAZolin 500mg (10gm vial),Not Recorded,none,3100,,,500.0 mg,mg,500,none,TRUE,FALSE,ceFAZolin
cetuximab,FALSE,Medication,other,other,CeTUXimab 2 mg/mL 50 mL inj,Not Recorded,50.0 mL,3,mL,50,2.0 mg,mg,2,none,FALSE,FALSE,ceTUXimab
cefepime,FALSE,Medication,anti-infective,cephalosporins,CefEPIME 1 gm/D5W 50mL IVPB,Not Recorded,50.0 mL,8193,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,cefepime in D5W
cefepime,FALSE,Medication,anti-infective,cephalosporins,CefEPIME 1 gm/ns 100ml,Not Recorded,100.0 mL,496,mL,100,1.0 gm,gm,1,none,TRUE,FALSE,cefEPIME in NS
cefepime,FALSE,Medication,anti-infective,cephalosporins,CefEPIME 20mg/mL neonate syringe,Not Recorded,none,32,,,20.0 mg,mg,20,none,FALSE,FALSE,cefEPIME in syringe
cefepime,FALSE,Medication,anti-infective,cephalosporins,CefEPIME 2gm/D5W 50mL IVPB,Not Recorded,50.0 mL,73715,mL,50,2.0 gm,gm,2,none,TRUE,FALSE,cefEPIME in d5W
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 1gm IVPB,Not Recorded,none,8950,,,1.0 gm,gm,1,none,TRUE,FALSE,cefTAZIDime in ns
,,,,,CefTAZIDime 1gm/50 mL IVPB,Not Recorded,50.0 mL,506,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,
,,,,,CefTAZIDime 1gm/50 mL IVPB,Not Recorded,50.0 mL,109,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 1gm/50 mL Iso-Dex,Not Recorded,50.0 mL,31,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,cefTAZIDime in Iso-Dex
,,,,,CefTAZIDime 2gm/100 mL IVPB,Not Recorded,100.0 mL,5,mL,100,2.0 gm,gm,2,none,TRUE,FALSE,
,,,,,CefTAZIDime 2gm/100 mL IVPB,Not Recorded,100.0 mL,1008,mL,100,2.0 gm,gm,2,none,TRUE,FALSE,
,,,,,CefTAZIDime 2gm/50 mL IVPB,Not Recorded,50.0 mL,6021,mL,50,2.0 gm,gm,2,none,TRUE,FALSE,
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 2gm/50 mL Iso-Dex,Not Recorded,50.0 mL,4467,mL,50,2.0 gm,gm,2,none,TRUE,FALSE,cefTAZIDime in Iso-Dex
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 2gm/NS IVPB,Not Recorded,none,45946,,,2.0 gm,gm,2,none,TRUE,FALSE,cefTAZIDime in ns
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 40mg/mL NS neonate syringe,Not Recorded,none,74,,,40.0 mg,mg,40,none,FALSE,FALSE,cefTAZIDime in NS syringe
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 40mg/mL NS neonate syringe,Not Recorded,none,74,,,40.0 mg,mg,40,none,FALSE,FALSE,cefTAZidime in NS syringe
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 40mg/mL NS neonate syringe,Not Recorded,none,212,,,40.0 mg,mg,40,none,FALSE,FALSE,cefTAZIDime in NS syringe
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZIDime 40mg/mL NS neonate syringe,Not Recorded,none,212,,,40.0 mg,mg,40,none,FALSE,FALSE,cefTAZidime in NS syringe
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,CefTAZidime 2.25mg/0.1mL for Intravitreal inj.,Not Recorded,0.1 mL,9,mL,0.1,2.25 mg,mg,2.25,2.25 mg/0.1 ML,FALSE,FALSE,cefTAZidime intravitreal
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CefaZOLIN 1gm/50 mL Iso-Dex,Not Recorded,50.0 mL,98944,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,cefaZOLIN in iso-dex
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,CefaZOLIN 20mg/mL/NS neonate syringe,Not Recorded,none,25,,,20.0 mg,mg,20,none,FALSE,FALSE,cefaZOLIN in NS syringe
ceFAZolin,FALSE,Medication,anti-infective,cephalosporins,Cefazolin 2 gm/NS IVPB,Not Recorded,none,3551,,,2.0 gm,gm,2,none,TRUE,FALSE,cefazolin in ns
Cefepime 2gm Desensitization Rx Protocol- initiate,FALSE,Medication,anti-infective,cephalosporins,Cefepime 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,2,,,2.0 gm,gm,2,none,TRUE,FALSE,Cefepime 2gm Desensitization Rx Protocol- initiate
,,,,,Cefotaxime 1 gm inj,Not Recorded,none,6,,,1.0 gm,gm,1,none,FALSE,FALSE,
cefotaxime,FALSE,Medication,anti-infective,cephalosporins,Cefotaxime 50mg/mL neonate syringe,Not Recorded,none,108,,,50.0 mg,mg,50,none,FALSE,FALSE,cefotaxime in syringe
cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 1gm in Iso Dex,Not Recorded,none,2264,,,1.0 gm,gm,1,none,TRUE,FALSE,cefoxitin in iso dex
cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 1gm in NS,Not Recorded,none,57,,,1.0 gm,gm,1,none,TRUE,FALSE,cefOXitin in NS
cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 2gm in Iso Dex,Not Recorded,none,8513,,,2.0 gm,gm,2,none,TRUE,FALSE,cefoxitin in iso dex
cefOXitin,FALSE,Medication,anti-infective,cephalosporins,Cefoxitin 2gm in NS,Not Recorded,none,1000,,,2.0 gm,gm,2,none,TRUE,FALSE,cefOXitin in NS
ceftaroline,FALSE,Medication,anti-infective,cephalosporins,Ceftaroline 400 mg inj,Not Recorded,none,6123,,,400.0 mg,mg,400,none,FALSE,FALSE,ceftaroline
ceftaroline,FALSE,Medication,anti-infective,cephalosporins,Ceftaroline 600 mg inj,Not Recorded,none,17749,,,600.0 mg,mg,600,none,FALSE,FALSE,ceftaroline
cefTAZidime,FALSE,Medication,anti-infective,cephalosporins,Ceftazidime 10mg/mL 2mL lock soln.,Not Recorded,2.0 mL,5,mL,2,10.0 mg,mg,10,none,TRUE,FALSE,ceftazidime lock soln.
ceftolozane-tazobactam,FALSE,Medication,anti-infective,cephalosporins,Ceftolozane-Tazobactam 1500mg inj,Not Recorded,none,6239,,,1500.0 mg,mg,1500,none,FALSE,FALSE,ceftolozane-tazobactam
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 1gm/ 50mL NS,Not Recorded,50.0 mL,2105,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,ceftriaxone in NS
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 1gm/50 mL Iso-Dex,Not Recorded,50.0 mL,52262,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,ceftriaxone in iso-dex
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 1gm/50 mL NS,Not Recorded,50.0 mL,20410,mL,50,1.0 gm,gm,1,none,TRUE,FALSE,ceftriaxone in NS
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 250 mg for neonate,Not Recorded,none,2,,,250.0 mg,mg,250,none,TRUE,FALSE,ceftriaxone
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 250 mg inj,Not Recorded,none,208,,,250.0 mg,mg,250,none,FALSE,FALSE,ceftriaxone
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 250mg/mL IM neonate syringe,Not Recorded,none,9,,,250.0 mg,mg,250,none,FALSE,FALSE,ceftriaxone
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 2gm/50 mL Iso-Dex,Not Recorded,50.0 mL,47463,mL,50,2.0 gm,gm,2,none,TRUE,FALSE,ceftriaxone in Iso-Dex
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 2gm/50 mL NS,Not Recorded,50.0 mL,11746,mL,50,2.0 gm,gm,2,none,TRUE,FALSE,ceftriaxone in NS
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 40mg/mL/ neonate syringe,Not Recorded,none,2,,,40.0 mg,mg,40,none,FALSE,FALSE,ceftriaxone in syringe
cefTRIAXone,FALSE,Medication,anti-infective,cephalosporins,Ceftriaxone 40mg/mL/NS neonate syringe,Not Recorded,none,1,,,40.0 mg,mg,40,none,FALSE,FALSE,ceftriaxone in NS syringe
cefuroxime,FALSE,Medication,anti-infective,cephalosporins,Cefuroxime 1500 mg inj,Not Recorded,none,10250,,,1500.0 mg,mg,1500,none,FALSE,FALSE,cefuroxime
cefuroxime,FALSE,Medication,anti-infective,cephalosporins,Cefuroxime 1500mg/NS 100mL IVPB,Not Recorded,100.0 mL,35271,mL,100,1500.0 mg,mg,1500,none,TRUE,FALSE,cefuroxime in ns
cefuroxime,FALSE,Medication,anti-infective,cephalosporins,Cefuroxime 750 mg inj,Not Recorded,none,23,,,750.0 mg,mg,750,none,FALSE,FALSE,cefuroxime
,,,,,Cefuroxme 1.5 gm/50 mL Iso-Dex,Not Recorded,50.0 mL,1946,mL,50,1.5 gm,gm,1.5,none,TRUE,FALSE,
celecoxib,FALSE,Medication,analgesic,nsaid,Celecoxib 100 mg cap,Not Recorded,none,3,,,100.0 mg,mg,100,none,FALSE,FALSE,celecoxib
celecoxib,FALSE,Medication,analgesic,nsaid,Celecoxib 200 mg cap,Not Recorded,none,32,,,200.0 mg,mg,200,none,FALSE,FALSE,celecoxib
central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other,Central Parenteral Nutrition,Not Recorded,none,1352817,,,none,,,none,TRUE,FALSE,Central Parenteral Nutrition (hyperal)
central hyperalimentation (TPN),TRUE,Parenteral Nutrition,other,other,Central TPN,Not Recorded,none,127859,,,none,,,none,TRUE,FALSE,Central TPN
cetuximab,FALSE,Medication,other,other,Cetuximab 2 mg/mL 100mL,Not Recorded,100.0 mL,3,mL,100,2.0 mg,mg,2,none,TRUE,FALSE,cetuximab
chloramphenicol,FALSE,Medication,anti-infective,other,Chloramphenicol 1gm inj,Not Recorded,none,9,,,1.0 gm,gm,1,none,FALSE,FALSE,chloramphenicol
phenol topical,FALSE,Medication,other,other,Chloraseptic throat spray,Not Recorded,none,1,,,none,,,none,FALSE,FALSE,chloraseptic
chloroprocaine,FALSE,Medication,other,other,Chloroprocane-MPF 3% inj,Not Recorded,none,2,,,none,,,none,FALSE,FALSE,chloroprocaine 3%
chlorothiazide,FALSE,Medication,diuretic,other,Chlorothiazide 125 mg in syringe,Not Recorded,none,841,,,125.0 mg,mg,125,none,FALSE,FALSE,chlorothiazide syringe
chlorothiazide,FALSE,Medication,diuretic,other,Chlorothiazide 250 mg in syringe,Not Recorded,none,3396,,,250.0 mg,mg,250,none,FALSE,FALSE,chlorothiazide syringe
chlorothiazide,FALSE,Medication,diuretic,other,Chlorothiazide 250 mg tab,Not Recorded,none,1,,,250.0 mg,mg,250,none,FALSE,FALSE,chlorothiazide
chlorothiazide,FALSE,Medication,diuretic,other,Chlorothiazide 50 mg/1 mL liq Extemp,Not Recorded,1.0 mL,5,mL,1,50.0 mg,mg,50,50.0 mg/1.0 ML,TRUE,FALSE,chlorothiazide
chlorothiazide,FALSE,Medication,diuretic,other,Chlorothiazide 500 mg inj,Not Recorded,none,29588,,,500.0 mg,mg,500,none,FALSE,FALSE,chlorothiazide
chlorothiazide,FALSE,Medication,diuretic,other,Chlorothiazide 500 mg injection,Not Recorded,none,3087,,,500.0 mg,mg,500,none,FALSE,FALSE,chlorothiazide
chlorproMAZINE,FALSE,Medication,other,other,ChlorproMAZINE 25 mg/1 mL inj,Not Recorded,1.0 mL,197,mL,1,25.0 mg,mg,25,25.0 mg/1.0 ML,FALSE,FALSE,chlorproMAZINE
chromic chloride hexahydrate,FALSE,Medication,other,other,Chromic 4 mcg/ml Inj,Not Recorded,none,114,,,4.0 mcg,mcg,4,none,FALSE,FALSE,chromic chloride
cidofovir,FALSE,Medication,anti-infective,antiviral,Cidofovir 375 mg/ 5mL inj,Not Recorded,5.0 mL,45,mL,5,375.0 mg,mg,375,375.0 mg/5.0 ML,FALSE,FALSE,cidofovir
ciprofloxacin,FALSE,Medication,anti-infective,fluoroquinolones,Ciprofloxacin 200 mg/20 mL inj,Not Recorded,20.0 mL,12,mL,20,200.0 mg,mg,200,200.0 mg/20.0 ML,FALSE,FALSE,ciprofloxacin
ciprofloxacin,FALSE,Medication,anti-infective,fluoroquinolones,Ciprofloxacin 400 mg/40 mL inj,Not Recorded,40.0 mL,33,mL,40,400.0 mg,mg,400,400.0 mg/40.0 ML,FALSE,FALSE,ciprofloxacin
ciprofloxacin,FALSE,Medication,anti-infective,fluoroquinolones,Ciprofloxacin 500 mg tab,Not Recorded,none,1,,,500.0 mg,mg,500,none,FALSE,FALSE,ciprofloxacin
cisatracurium,FALSE,Medication,neuromuscular_blocker,other,Cisatracurium 10 mg/mL  20 mL inj,Microgram/Kilogram/Minute,20.0 mL,135832,mL,20,10.0 mg,mg,10,none,FALSE,FALSE,cisatracurium
cisatracurium,FALSE,Medication,neuromuscular_blocker,other,Cisatracurium 2 mg/mL 10 mL inj,Not Recorded,10.0 mL,714,mL,10,2.0 mg,mg,2,none,FALSE,FALSE,cisatracurium
cisatracurium,FALSE,Medication,neuromuscular_blocker,other,Cisatracurium 2mg/mL 10mL syringe,Not Recorded,10.0 mL,5,mL,10,2.0 mg,mg,2,none,FALSE,FALSE,cisatracurium
citric acid-sodium citrate,TRUE,Electrolyte Solution (Other),other,other,Citric Acid-Na Citrate (Bicitra)30 mL,Not Recorded,30.0 mL,19,mL,30,none,,,none,TRUE,FALSE,citric acid-na citrate
