Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,Unnamed: 8,primary_amount,amount_unit,amount_numeric,concentration,is_infusion,is_anesthesia,is_fluids
11,ANES Cefoxitin 2 gm/100 mL NS,cefoxitin,Not Recorded,100.0 mL,1425,mL,100.0,,2.0 gm,gm,2.0,none,True,True,False
12,ANES Clevidipine 25mg/50mL Drip std*,ANES clevidipine premix,Not Recorded,50.0 mL,527,mL,50.0,,25.0 mg,mg,25.0,25.0 mg/50.0 ML,True,True,False
13,ANES DOBUTamine 500 mg Drip Std*,DOBUTamine/d5w,Not Recorded,none,4046,,,,500.0 mg,mg,500.0,none,True,True,False
14,ANES DOPamine 400 mg Drip std*,DOPamine/d5w,Not Recorded,none,252,,,,400.0 mg,mg,400.0,none,True,True,False
15,ANES Dexmedetomidine 200 mcg/50 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded,50.0 mL,174,mL,50.0,,200.0 mcg,mcg,200.0,200.0 mcg/50.0 ML,True,True,False
16,ANES Dexmedetomidine 400 mcg/100 mL NS Drip Std*,dexmedetomidine NS drip,Not Recorded,100.0 mL,43043,mL,100.0,,400.0 mcg,mcg,400.0,400.0 mcg/100.0 ML,True,True,False
17,ANES Diazepam 5 mg/mL inj,diazepam,Not Recorded,none,3,,,,5.0 mg,mg,5.0,none,False,True,False
18,ANES Digoxin 0.25 mg/1 mL inj,digoxin,Not Recorded,1.0 mL,10,mL,1.0,,0.25 mg,mg,0.25,0.25 mg/1.0 ML,False,True,False
19,ANES Diltiazem 5 mg/1 mL inj,diltiazem,Not Recorded,1.0 mL,107,mL,1.0,,5.0 mg,mg,5.0,5.0 mg/1.0 ML,False,True,False
20,ANES EPInephrine 100 mcg/1 mL inj,EPInephrine,Not Recorded,1.0 mL,1862,mL,1.0,,100.0 mcg,mcg,100.0,100.0 mcg/1.0 ML,False,True,False
21,ANES EPInephrine 16mcg/mL Syr OR,EPInephrine,Not Recorded,none,4006,,,,16.0 mcg,mcg,16.0,none,False,True,False
22,ANES EPInephrine 4mg/D5W drip std*,EPInephrine in d5w,Not Recorded,none,19805,,,,4.0 mg,mg,4.0,none,True,True,False
23,ANES Erythromycin 500 mg/100 mL NS IVPB,erythromycin,Not Recorded,100.0 mL,6,mL,100.0,,500.0 mg,mg,500.0,500.0 mg/100.0 ML,True,True,False
24,ANES Esmolol 10mg/mL OR syringe,esmolol,Not Recorded,none,30961,,,,10.0 mg,mg,10.0,none,False,True,False
25,ANES Esmolol 2.5gm/250 mL Drip std*,esmolol,Not Recorded,250.0 mL,442,mL,250.0,,2.5 gm,gm,2.5,none,True,True,False
26,ANES Etomidate 2 mg/mL 20 mL inj,etomidate,Not Recorded,20.0 mL,4849,mL,20.0,,2.0 mg,mg,2.0,none,False,True,False
27,ANES Famotidine 10 mg/1 mL inj,fAMOTIDine,Not Recorded,1.0 mL,5798,mL,1.0,,10.0 mg,mg,10.0,10.0 mg/1.0 ML,False,True,False
28,ANES Fentanyl 50 mcg/1 mL inj,fentanyl,Not Recorded,1.0 mL,556934,mL,1.0,,50.0 mcg,mcg,50.0,50.0 mcg/1.0 ML,False,True,False
29,ANES Flumazenil 0.1 mg/1 mL inj,flumazenil,Not Recorded,1.0 mL,170,mL,1.0,,0.1 mg,mg,0.1,0.1 mg/1.0 ML,False,True,False
30,ANES Fosphenytoin 50 mgpe/mL inj,fosphenytoin,Not Recorded,none,16,,,,none,,,none,False,True,False
31,ANES Furosemide 10 mg/1 mL inj,fUROSEMide,Not Recorded,1.0 mL,2075,mL,1.0,,10.0 mg,mg,10.0,10.0 mg/1.0 ML,False,True,False
32,"ANES HePARIN 1,000 units/mL 30 mL inj",hePARIN,Not Recorded,30.0 mL,4303,mL,30.0,,1000.0 unit,unit,1000.0,none,False,True,False
33,"ANES HePARIN 25,000 units/250 mL Premix std*",hePARIN premix,Not Recorded,250.0 mL,400,mL,250.0,,25000.0 unit,unit,25000.0,0.0 unit/250.0 ML,True,True,False
34,ANES HydrALAZINE 4 mg/mL inj,hydrALAZINE,Not Recorded,none,2480,,,,4.0 mg,mg,4.0,none,False,True,False
35,ANES HydrALAZINE 5 mg/mL inj,hydrALAZINE,Not Recorded,none,4511,,,,5.0 mg,mg,5.0,none,False,True,False
36,ANES Hydrocortisone 50 mg/mL inj,hydrocortisone,Not Recorded,none,1427,,,,50.0 mg,mg,50.0,none,False,True,False
37,ANES Hydromorphone 0.001%/NS Epidural,Hydromorphone 0.001%/NS Epidural,Not Recorded,none,1,,,,none,,,none,False,True,False
38,ANES Hydromorphone 0.002% epidural,hydromorphone 0.002%/ns,Not Recorded,none,1,,,,none,,,none,False,True,False
39,ANES Hyperal Central,Hyperal - Central,Not Recorded,none,580,,,,none,,,none,True,True,False
40,ANES Hyperal Peripheral,Hyperal - Peripheral,Not Recorded,none,138,,,,none,,,none,True,True,False
41,ANES Insulin Aspart 10 unit(s)/mL OR syringe,insulin aspart,Not Recorded,none,1,,,,10.0 unit,unit,10.0,none,False,True,False
42,ANES Insulin Reg Human 100units Drip std*,insulin reg human in ns,Not Recorded,none,12394,,,,100.0 unit,unit,100.0,none,True,True,False
43,ANES Insulin Reg Human 250units Drip std*,insulin reg human in ns,Not Recorded,none,15665,,,,250.0 unit,unit,250.0,none,True,True,False
44,ANES Isoproterenol 1 mg/250 mL drip std*,isoproterenol,Not Recorded,250.0 mL,23,mL,250.0,,1.0 mg,mg,1.0,1.0 mg/250.0 ML,True,True,False
45,ANES Isoproterenol 200 mcg/1 mL inj,isoproterenol,Not Recorded,1.0 mL,47,mL,1.0,,200.0 mcg,mcg,200.0,200.0 mcg/1.0 ML,False,True,False
46,ANES Ketamine 50 mg/1 mL inj,ketamine,Not Recorded,1.0 mL,7268,mL,1.0,,50.0 mg,mg,50.0,50.0 mg/1.0 ML,False,True,False
47,ANES Labetalol 5 mg/1 mL inj,labetalol,Not Recorded,1.0 mL,21486,mL,1.0,,5.0 mg,mg,5.0,5.0 mg/1.0 ML,False,True,False
48,ANES LeveTIRACETAM 500mg/5mL,leveTIRACETAM,Not Recorded,5.0 mL,89,mL,5.0,,500.0 mg,mg,500.0,500.0 mg/5.0 ML,True,True,False
49,ANES Lidocaine 2 gm/250 mL D5W Drip std*,lidocaine in d5w,Not Recorded,250.0 mL,9359,mL,250.0,,2.0 gm,gm,2.0,none,True,True,False
50,ANES Magnesium Sulf 500 mg/1 mL OR syringe,magnesium sulfate,Not Recorded,1.0 mL,139,mL,1.0,,500.0 mg,mg,500.0,500.0 mg/1.0 ML,False,True,False
51,ANES Meperidine 0.1%/Bupivacaine 0.1% epidural,meperidine 0.1%/bupiv 0.1%/ns,Not Recorded,none,2,,,,none,,,none,False,True,False
52,ANES MethylPREDNISolone 62.5 mg/1 mL  inj,methylPREDNISolone,Not Recorded,1.0 mL,2027,mL,1.0,,62.5 mg,mg,62.5,62.5 mg/1.0 ML,False,True,False
53,ANES Methyldopa 50 mg/mL inj,methyldopa,Not Recorded,none,1,,,,50.0 mg,mg,50.0,none,False,True,False
54,ANES MetoCLOPRAMIDE 5 mg/1 mL inj,metoCLOPRAMIDE,Not Recorded,1.0 mL,361,mL,1.0,,5.0 mg,mg,5.0,5.0 mg/1.0 ML,False,True,False
